"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,19.19,-0.3,Usain BOLT,21 AUG 1986,JAM,1,"Olympiastadion, Berlin (GER)",20 AUG 2009,1352
1,2,19.26,0.7,Yohan BLAKE,26 DEC 1989,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",16 SEP 2011,1339
2,3,19.3,-0.9,Usain BOLT,21 AUG 1986,JAM,1,"National Stadium, Beijing (CHN)",20 AUG 2008,1338
3,4,19.31,0.4,Noah LYLES,18 JUL 1997,USA,1,"Hayward Field, Eugene, OR (USA)",21 JUL 2022,1331
4,5,19.32,0.4,Michael JOHNSON,13 SEP 1967,USA,1,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1329
5,5,19.32,0.4,Usain BOLT,21 AUG 1986,JAM,1,"Olympic Stadium, London (GBR)",09 AUG 2012,1329
6,7,19.4,0.8,Usain BOLT,21 AUG 1986,JAM,1,"DS, Daegu (KOR)",03 SEP 2011,1316
7,8,19.44,0.4,Yohan BLAKE,26 DEC 1989,JAM,2,"Olympic Stadium, London (GBR)",09 AUG 2012,1310
8,9,19.46,0.8,Noah LYLES,18 JUL 1997,USA,1,"Stade Louis II, Monaco (MON)",10 AUG 2022,1306
9,10,19.49,1.4,Erriyon KNIGHTON,29 JAN 2004,USA,1f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",30 APR 2022,1302
10,11,19.5,-0.1,Noah LYLES,18 JUL 1997,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2019,1300
11,12,19.52,1.5,Noah LYLES,18 JUL 1997,USA,1,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1297
12,12,19.52,-0.6,Noah LYLES,18 JUL 1997,USA,1,"Letzigrund, Zürich (SUI)",08 SEP 2022,1300
13,14,19.53,0.7,Walter DIX,31 JAN 1986,USA,2,"Boudewijnstadion, Bruxelles (BEL)",16 SEP 2011,1295
14,15,19.54,0.0,Yohan BLAKE,26 DEC 1989,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",07 SEP 2012,1293
15,16,19.55,-0.1,Usain BOLT,21 AUG 1986,JAM,1,"National Stadium, Beijing (CHN)",27 AUG 2015,1292
16,17,19.56,-0.8,Usain BOLT,21 AUG 1986,JAM,1,Kingston (JAM),01 MAY 2010,1294
17,17,19.56,1.3,Noah LYLES,18 JUL 1997,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2022,1290
18,19,19.57,0.0,Usain BOLT,21 AUG 1986,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009,1289
19,19,19.57,0.4,Justin GATLIN,10 FEB 1982,USA,1,"Hayward Field, Eugene, OR (USA)",28 JUN 2015,1289
20,21,19.58,1.3,Tyson GAY,09 AUG 1982,USA,1,"Icahn Stadium, New York, NY (USA)",30 MAY 2009,1287
21,21,19.58,1.4,Usain BOLT,21 AUG 1986,JAM,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",23 AUG 2012,1287
22,23,19.59,-0.9,Usain BOLT,21 AUG 1986,JAM,1f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",07 JUL 2009,1290
23,24,19.61,1.3,Noah LYLES,18 JUL 1997,USA,1,"Icahn Stadium, New York, NY (USA)",12 JUN 2022,1282
24,25,19.62,-0.3,Tyson GAY,09 AUG 1982,USA,1,"Indianapolis, IN (USA)",24 JUN 2007,1282
25,25,19.62,-0.5,Andre DE GRASSE,10 NOV 1994,CAN,1,"National Stadium, Tokyo (JPN)",04 AUG 2021,1284
26,25,19.62,1.1,Noah LYLES,18 JUL 1997,USA,1sf2,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1281
27,28,19.63,0.4,Xavier CARTER,08 DEC 1985,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006,1279
28,28,19.63,-0.9,Usain BOLT,21 AUG 1986,JAM,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 SEP 2008,1284
29,28,19.63,1.2,Reynier MENA,21 NOV 1996,CUB,1f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",03 JUL 2022,1279
30,31,19.65,0.0,Wallace SPEARMON,24 DEC 1984,USA,1,Daegu (KOR),28 SEP 2006,1276
31,31,19.65,0.9,Noah LYLES,18 JUL 1997,USA,1,"Stade Louis II, Monaco (MON)",20 JUL 2018,1276
32,31,19.65,0.2,Noah LYLES,18 JUL 1997,USA,1,"Stade Charléty, Paris (FRA)",24 AUG 2019,1276
33,34,19.66,1.7,Michael JOHNSON,13 SEP 1967,USA,1,"Atlanta, GA (USA)",23 JUN 1996,1274
34,34,19.66,0.0,Usain BOLT,21 AUG 1986,JAM,1,"Letzigrund, Zürich (SUI)",30 AUG 2012,1274
35,34,19.66,0.0,Usain BOLT,21 AUG 1986,JAM,1,"Luzhniki Stadion, Moskva (RUS)",17 AUG 2013,1274
36,37,19.67,-0.5,Usain BOLT,21 AUG 1986,JAM,1,"Olympic Stadium, Athina (GRE)",13 JUL 2008,1275
37,37,19.67,-0.2,Noah LYLES,18 JUL 1997,USA,1,"Letzigrund, Zürich (SUI)",30 AUG 2018,1273
38,37,19.67,-0.3,Noah LYLES,18 JUL 1997,USA,1,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,1273
39,37,19.67,0.3,Noah LYLES,18 JUL 1997,USA,1,"National Stadium, Kingston (JAM)",03 JUN 2023,1272
40,41,19.68,0.4,Frank FREDERICKS,02 OCT 1967,NAM,2,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1271
41,41,19.68,-0.1,Tyson GAY,09 AUG 1982,USA,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",10 SEP 2006,1271
42,41,19.68,-0.3,Usain BOLT,21 AUG 1986,JAM,1,Thessaloniki (GRE),13 SEP 2009,1272
43,41,19.68,-0.5,Justin GATLIN,10 FEB 1982,USA,1,"Stade Louis II, Monaco (MON)",18 JUL 2014,1274
44,41,19.68,0.9,Justin GATLIN,10 FEB 1982,USA,1,"Hayward Field, Eugene, OR (USA)",30 MAY 2015,1271
45,41,19.68,-0.5,Kenneth BEDNAREK,14 OCT 1998,USA,2,"National Stadium, Tokyo (JPN)",04 AUG 2021,1274
46,47,19.69,0.9,Walter DIX,31 JAN 1986,USA,1,"Gainesville, FL (USA)",26 MAY 2007,1269
47,47,19.69,-0.5,Clarence MUNYAI,20 FEB 1998,RSA,1sf1,Pretoria (RSA),16 MAR 2018,1272
48,47,19.69,2.0,Noah LYLES,18 JUL 1997,USA,1,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1269
49,47,19.69,0.4,Noah LYLES,18 JUL 1997,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2018,1269
50,47,19.69,-0.3,Erriyon KNIGHTON,29 JAN 2004,USA,2,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,1270
51,52,19.7,0.4,Tyson GAY,09 AUG 1982,USA,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",11 JUL 2006,1268
52,52,19.7,0.8,Walter DIX,31 JAN 1986,USA,2,"DS, Daegu (KOR)",03 SEP 2011,1268
53,52,19.7,0.7,Michael NORMAN,03 DEC 1997,USA,1,"Stadio Olimpico, Roma (ITA)",06 JUN 2019,1268
54,52,19.7,0.5,Kenneth BEDNAREK,14 OCT 1998,USA,1,"Letzigrund, Zürich (SUI)",09 SEP 2021,1268
55,56,19.71,1.8,Michael JOHNSON,13 SEP 1967,USA,1,Pietersburg (RSA),18 MAR 2000,1266
56,56,19.71,0.0,Justin GATLIN,10 FEB 1982,USA,1,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,1266
57,58,19.72,1.8,Pietro MENNEA,28 JUN 1952,ITA,1,Ciudad de México (MEX),12 SEP 1979,1264
58,58,19.72,1.8,Walter DIX,31 JAN 1986,USA,1,"Hayward Field, Eugene, OR (USA)",03 JUL 2010,1264
59,58,19.72,0.1,Tyson GAY,09 AUG 1982,USA,1,"Stade Louis II, Monaco (MON)",22 JUL 2010,1264
60,58,19.72,0.7,Noah LYLES,18 JUL 1997,USA,2,"Stadio Olimpico, Roma (ITA)",06 JUN 2019,1264
61,58,19.72,0.5,Andre DE GRASSE,10 NOV 1994,CAN,2,"Letzigrund, Zürich (SUI)",09 SEP 2021,1264
62,63,19.73,-0.2,Michael MARSH,04 AUG 1967,USA,1sf1,"Estadio Olímpico, Barcelona (ESP)",05 AUG 1992,1264
63,63,19.73,0.2,Usain BOLT,21 AUG 1986,JAM,1,Paris (FRA),06 JUL 2013,1263
