"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
64,63,19.73,0.8,Divine ODUDURU,07 OCT 1996,NGR,1,"Austin, TX (USA)",07 JUN 2019,1263
65,63,19.73,0.2,Andre DE GRASSE,10 NOV 1994,CAN,1sf3,"National Stadium, Tokyo (JPN)",03 AUG 2021,1263
66,67,19.74,-0.1,Justin GATLIN,10 FEB 1982,USA,2,"National Stadium, Beijing (CHN)",27 AUG 2015,1261
67,67,19.74,1.4,LaShawn MERRITT,27 JUN 1986,USA,1sf3,"Hayward Field, Eugene, OR (USA)",08 JUL 2016,1261
68,67,19.74,0.8,Noah LYLES,18 JUL 1997,USA,1,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2019,1261
69,67,19.74,0.3,Noah LYLES,18 JUL 1997,USA,1,"Hayward Field, Eugene, OR (USA)",27 JUN 2021,1261
70,67,19.74,-0.5,Noah LYLES,18 JUL 1997,USA,3,"National Stadium, Tokyo (JPN)",04 AUG 2021,1264
71,72,19.75,1.5,Carl LEWIS,01 JUL 1961,USA,1,"Indianapolis, IN (USA)",19 JUN 1983,1260
72,72,19.75,1.7,Joe DELOACH,05 JUN 1967,USA,1,"Olympic Stadium, Jamsil, Seoul (KOR)",28 SEP 1988,1260
73,72,19.75,0.2,Usain BOLT,21 AUG 1986,JAM,1,Kingston (JAM),24 JUN 2007,1260
74,72,19.75,1.6,Justin GATLIN,10 FEB 1982,USA,1,"Hayward Field, Eugene, OR (USA)",09 JUL 2016,1260
75,72,19.75,0.3,Steven GARDINER,12 SEP 1995,BAH,1f1,"Coral Gables, FL (USA)",07 APR 2018,1260
76,77,19.76,-0.8,Tyson GAY,09 AUG 1982,USA,1,"Yanmar Stadium Nagai, Osaka (JPN)",30 AUG 2007,1262
77,77,19.76,-0.4,Usain BOLT,21 AUG 1986,JAM,1,"Crystal Palace, London (GBR)",26 JUL 2008,1260
78,77,19.76,-0.8,Usain BOLT,21 AUG 1986,JAM,1,"Shanghai Stadium, Shanghai (CHN)",23 MAY 2010,1262
79,77,19.76,1.8,Tyson GAY,09 AUG 1982,USA,2,"Hayward Field, Eugene, OR (USA)",03 JUL 2010,1258
80,77,19.76,0.7,Ramil GULIYEV,29 MAY 1990,TUR,1,"Olympiastadion, Berlin (GER)",09 AUG 2018,1258
81,77,19.76,0.8,Divine ODUDURU,07 OCT 1996,NGR,1f5,"Waco, TX (USA)",20 APR 2019,1258
82,77,19.76,0.7,Noah LYLES,18 JUL 1997,USA,1,"Stade Louis II, Monaco (MON)",14 AUG 2020,1258
83,77,19.76,2.0,Fred KERLEY,07 MAY 1995,USA,1,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",18 SEP 2021,1258
84,77,19.76,1.3,Michael NORMAN,03 DEC 1997,USA,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2022,1258
85,77,19.76,0.6,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1sf2,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1258
86,87,19.77,0.6,Michael JOHNSON,13 SEP 1967,USA,1,Stockholm (SWE),08 JUL 1996,1256
87,87,19.77,0.7,Ato BOLDON,30 DEC 1973,TTO,1f1,Stuttgart (GER),13 JUL 1997,1256
88,87,19.77,0.0,Isaac MAKWALA,24 SEP 1985,BOT,1,"Moratalaz, Madrid (ESP)",14 JUL 2017,1256
89,87,19.77,0.3,Erriyon KNIGHTON,29 JAN 2004,USA,1sf3,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1256
90,87,19.77,0.4,Kenneth BEDNAREK,14 OCT 1998,USA,2,"Hayward Field, Eugene, OR (USA)",21 JUL 2022,1256
91,87,19.77,0.6,Erriyon KNIGHTON,29 JAN 2004,USA,1,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1256
92,93,19.78,0.0,Tyson GAY,09 AUG 1982,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",10 JUL 2007,1255
93,93,19.78,0.1,Yohan BLAKE,26 DEC 1989,JAM,2,"Stade Louis II, Monaco (MON)",22 JUL 2010,1255
94,93,19.78,0.9,LaShawn MERRITT,27 JUN 1986,USA,1f1,Nassau (BAH),16 APR 2016,1255
95,93,19.78,-0.3,Usain BOLT,21 AUG 1986,JAM,1sf2,"Estádio Olímpico, Rio de Janeiro (BRA)",17 AUG 2016,1256
96,93,19.78,-0.5,Usain BOLT,21 AUG 1986,JAM,1,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1258
97,93,19.78,-0.7,Noah LYLES,18 JUL 1997,USA,1,"Drake Stadium, Des Moines, IA (USA)",28 JUL 2019,1259
98,93,19.78,0.3,Kenneth BEDNAREK,14 OCT 1998,USA,2,"Hayward Field, Eugene, OR (USA)",27 JUN 2021,1255
99,100,19.79,1.7,Carl LEWIS,01 JUL 1961,USA,2,"Olympic Stadium, Jamsil, Seoul (KOR)",28 SEP 1988,1253
0,100,19.79,1.0,Michael JOHNSON,13 SEP 1967,USA,1,"New Orleans, LA (USA)",28 JUN 1992,1253
1,100,19.79,0.5,Michael JOHNSON,13 SEP 1967,USA,1,"Ullevi Stadium, Göteborg (SWE)",11 AUG 1995,1253
2,100,19.79,1.2,Shawn CRAWFORD,14 JAN 1978,USA,1,"Olympic Stadium, Athina (GRE)",26 AUG 2004,1253
3,100,19.79,0.2,Tyson GAY,09 AUG 1982,USA,1,"Boudewijnstadion, Bruxelles (BEL)",25 AUG 2006,1253
4,100,19.79,0.4,Wallace SPEARMON,24 DEC 1984,USA,1,"Letzigrund, Zürich (SUI)",19 AUG 2010,1253
5,100,19.79,1.7,Usain BOLT,21 AUG 1986,JAM,1,"Bislett Stadion, Oslo (NOR)",13 JUN 2013,1253
6,100,19.79,0.9,Warren WEIR,31 OCT 1989,JAM,1,Kingston (JAM),23 JUN 2013,1253
7,100,19.79,0.0,Warren WEIR,31 OCT 1989,JAM,2,"Luzhniki Stadion, Moskva (RUS)",17 AUG 2013,1253
8,100,19.79,1.6,LaShawn MERRITT,27 JUN 1986,USA,2,"Hayward Field, Eugene, OR (USA)",09 JUL 2016,1253
9,100,19.79,1.6,Fred KERLEY,07 MAY 1995,USA,1,"Stade Charléty, Paris (FRA)",28 AUG 2021,1253
10,100,19.79,1.6,Kenneth BEDNAREK,14 OCT 1998,USA,2,"Stade Charléty, Paris (FRA)",28 AUG 2021,1253
11,100,19.79,1.3,James DADZIE,17 MAY 2001,GHA,1f1,"Terry & Linda Fuller T&F Complex, Lubbock, TX (USA)",29 APR 2023,1253
12,113,19.8,-0.9,Carl LEWIS,01 JUL 1961,USA,1,"Memorial Coliseum, Los Angeles, CA (USA)",08 AUG 1984,1257
13,113,19.8,0.4,Ato BOLDON,30 DEC 1973,TTO,3,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1252
14,113,19.8,0.8,Christophe LEMAITRE,11 JUN 1990,FRA,3,"DS, Daegu (KOR)",03 SEP 2011,1252
15,113,19.8,-0.5,Yohan BLAKE,26 DEC 1989,JAM,1,Kingston (JAM),01 JUL 2012,1255
16,113,19.8,2.0,Rasheed DWYER,29 JAN 1989,JAM,1sf1,"CIBC, Toronto (CAN)",23 JUL 2015,1252
17,113,19.8,-0.3,Andre DE GRASSE,10 NOV 1994,CAN,2sf2,"Estádio Olímpico, Rio de Janeiro (BRA)",17 AUG 2016,1253
18,113,19.8,1.0,Kenneth BEDNAREK,14 OCT 1998,USA,1f1,"Montverde Academy, Montverde, FL (USA)",10 AUG 2020,1252
19,113,19.8,1.5,Kenneth BEDNAREK,14 OCT 1998,USA,2,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1252
20,113,19.8,1.6,Fred KERLEY,07 MAY 1995,USA,1,"Hilmer Lodge Stadium, Walnut, CA (USA)",16 APR 2022,1252
21,113,19.8,0.4,Erriyon KNIGHTON,29 JAN 2004,USA,3,"Hayward Field, Eugene, OR (USA)",21 JUL 2022,1252
22,113,19.8,1.1,Jereem RICHARDS,13 JAN 1994,TTO,1,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1252
23,124,19.81,0.3,Frank FREDERICKS,02 OCT 1967,NAM,1,Fukuoka (JPN),13 SEP 1997,1250
24,124,19.81,-0.3,Alonso EDWARD,08 DEC 1989,PAN,2,"Olympiastadion, Berlin (GER)",20 AUG 2009,1251
25,124,19.81,0.4,Churandy MARTINA,03 JUL 1984,NED,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",25 AUG 2016,1250
26,124,19.81,0.1,Akeem BLOOMFIELD,10 NOV 1997,JAM,1,"Olympic Stadium, London (GBR)",22 JUL 2018,1250
27,124,19.81,0.8,Terrance LAIRD,12 OCT 1998,USA,1,"Mike A. Myers Stadium, Austin, TX (USA)",27 MAR 2021,1250
28,124,19.81,1.2,Noah LYLES,18 JUL 1997,USA,1sf1,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,1250
29,130,19.82,2.0,Carl LEWIS,01 JUL 1961,USA,1,Sestriere (ITA),11 AUG 1988,1248
30,130,19.82,1.1,Frank FREDERICKS,02 OCT 1967,NAM,1,Oslo (NOR),05 JUL 1996,1248
31,130,19.82,1.6,Ato BOLDON,30 DEC 1973,TTO,1f1,Stockholm (SWE),07 JUL 1997,1248
32,130,19.82,1.3,Wallace SPEARMON,24 DEC 1984,USA,1,"Icahn Stadium, New York, NY (USA)",02 JUN 2007,1248
33,130,19.82,-0.2,Warren WEIR,31 OCT 1989,JAM,1,"Icahn Stadium, New York, NY (USA)",14 JUN 2014,1249
34,130,19.82,-0.8,Kenneth BEDNAREK,14 OCT 1998,USA,1,"Hobbs, NM (USA)",18 MAY 2019,1252
35,130,19.82,1.7,Terrance LAIRD,12 OCT 1998,USA,1,"Cushing Stadium, College Station, TX (USA)",15 MAY 2021,1248
36,130,19.82,0.6,Luxolo ADAMS,01 AUG 1996,RSA,1,"Stade Charléty, Paris (FRA)",18 JUN 2022,1248
37,138,19.83,0.9,Tommie SMITH,06 JUN 1944,USA,1,"Estadio Olímpico, Ciudad de México (MEX)",16 OCT 1968,1247
38,138,19.83,1.7,Michael JOHNSON,13 SEP 1967,USA,1,"Atlanta, GA (USA)",18 MAY 1996,1247
39,138,19.83,0.3,Usain BOLT,21 AUG 1986,JAM,1,Ostrava (CZE),12 JUN 2008,1247
40,138,19.83,-0.5,Usain BOLT,21 AUG 1986,JAM,2,Kingston (JAM),01 JUL 2012,1250
41,138,19.83,1.3,Noah LYLES,18 JUL 1997,USA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1247
42,138,19.83,0.3,Noah LYLES,18 JUL 1997,USA,1,"Khalifa International Stadium, Doha (QAT)",01 OCT 2019,1247
43,138,19.83,0.2,Kenneth BEDNAREK,14 OCT 1998,USA,2sf3,"National Stadium, Tokyo (JPN)",03 AUG 2021,1247
44,138,19.83,0.5,Fred KERLEY,07 MAY 1995,USA,3,"Letzigrund, Zürich (SUI)",09 SEP 2021,1247
45,138,19.83,1.6,Michael NORMAN,03 DEC 1997,USA,2,"Hilmer Lodge Stadium, Walnut, CA (USA)",16 APR 2022,1247
46,138,19.83,0.6,Joseph FAHNBULLEH,11 SEP 2001,LBR,1,"Hayward Field, Eugene, OR (USA)",10 JUN 2022,1247
47,138,19.83,-0.3,Fred KERLEY,07 MAY 1995,USA,3,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,1248
48,138,19.83,0.3,Jereem RICHARDS,13 JAN 1994,TTO,1f1,"Hasely Crawford Stadium, Port-of-Spain (TTO)",26 JUN 2022,1247
49,138,19.83,0.8,Noah LYLES,18 JUL 1997,USA,1,"Icahn Stadium, New York, NY (USA)",24 JUN 2023,1247
50,151,19.84,0.2,Carl LEWIS,01 JUL 1961,USA,1qf3,"Los Angeles, CA (USA)",19 JUN 1984,1245
51,151,19.84,1.7,Francis OBIKWELU,22 NOV 1978,NGR,1sf2,"La Cartuja, Sevilla (ESP)",25 AUG 1999,1245
52,151,19.84,0.2,Tyson GAY,09 AUG 1982,USA,1,"Crystal Palace, London (GBR)",28 JUL 2006,1245
53,151,19.84,0.4,Warren WEIR,31 OCT 1989,JAM,3,"Olympic Stadium, London (GBR)",09 AUG 2012,1245
54,151,19.84,1.2,Alonso EDWARD,08 DEC 1989,PAN,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",03 JUL 2014,1245
55,151,19.84,1.2,Wayde VAN NIEKERK,15 JUL 1992,RSA,1,Kingston (JAM),10 JUN 2017,1245
56,151,19.84,-0.6,Michael NORMAN,03 DEC 1997,USA,1,"Stade Charléty, Paris (FRA)",30 JUN 2018,1248
57,151,19.84,-0.4,Michael NORMAN,03 DEC 1997,USA,1,"Yanmar Stadium Nagai, Osaka (JPN)",19 MAY 2019,1247
58,151,19.84,0.3,Erriyon KNIGHTON,29 JAN 2004,USA,3,"Hayward Field, Eugene, OR (USA)",27 JUN 2021,1245
59,151,19.84,1.1,Kenneth BEDNAREK,14 OCT 1998,USA,2sf2,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1245
60,151,19.84,0.4,Joseph FAHNBULLEH,11 SEP 2001,LBR,4,"Hayward Field, Eugene, OR (USA)",21 JUL 2022,1245
61,151,19.84,0.8,Erriyon KNIGHTON,29 JAN 2004,USA,2,"Stade Louis II, Monaco (MON)",10 AUG 2022,1245
62,151,19.84,0.9,Udodi Chudi ONWUZURIKE,29 JAN 2003,NGR,1,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1245
63,164,19.85,0.4,Michael JOHNSON,13 SEP 1967,USA,1,Edinburgh (GBR),06 JUL 1990,1244
64,164,19.85,0.3,Frank FREDERICKS,02 OCT 1967,NAM,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993,1244
65,164,19.85,-0.9,Ato BOLDON,30 DEC 1973,TTO,1,Lausanne (SUI),03 JUL 1996,1249
66,164,19.85,1.1,Michael JOHNSON,13 SEP 1967,USA,2,Oslo (NOR),05 JUL 1996,1244
67,164,19.85,-0.3,John CAPEL,27 OCT 1978,USA,1,"Sacramento, CA (USA)",23 JUL 2000,1245
68,164,19.85,0.0,Shawn CRAWFORD,14 JAN 1978,USA,1,Pretoria (RSA),12 APR 2002,1244
69,164,19.85,-0.5,Konstantinos KENTERIS,11 JUL 1973,GRE,1,"Olympiastadion, München (GER)",09 AUG 2002,1247
70,164,19.85,-0.3,Wallace SPEARMON,24 DEC 1984,USA,3,"Olympiastadion, Berlin (GER)",20 AUG 2009,1245
71,164,19.85,0.6,Wallace SPEARMON,24 DEC 1984,USA,1,"Stadio Guidobaldi, Rieti (ITA)",29 AUG 2010,1244
72,164,19.85,1.4,Churandy MARTINA,03 JUL 1984,NED,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",23 AUG 2012,1244
73,164,19.85,0.0,Nickel ASHMEADE,07 APR 1990,JAM,2,"Letzigrund, Zürich (SUI)",30 AUG 2012,1244
74,164,19.85,1.9,Ameer WEBB,19 MAR 1991,USA,1,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2016,1244
75,164,19.85,-0.5,Christian COLEMAN,06 MAR 1996,USA,1sf1,"Lexington, KY (USA)",27 MAY 2017,1247
76,177,19.86,1.0,Don QUARRIE,25 FEB 1951,JAM,1,Cali (COL),03 AUG 1971,1242
77,177,19.86,-0.2,Carl LEWIS,01 JUL 1961,USA,1,"Los Angeles, CA (USA)",21 JUN 1984,1243
78,177,19.86,1.0,Michael MARSH,04 AUG 1967,USA,2,"New Orleans, LA (USA)",28 JUN 1992,1242
79,177,19.86,1.6,Maurice GREENE,23 JUL 1974,USA,2f1,Stockholm (SWE),07 JUL 1997,1242
80,177,19.86,0.4,Ato BOLDON,30 DEC 1973,TTO,1f2,Athina (GRE),16 JUN 1999,1242
81,177,19.86,1.7,Walter DIX,31 JAN 1986,USA,1,"Eugene, OR (USA)",06 JUL 2008,1242
82,177,19.86,1.7,Shawn CRAWFORD,14 JAN 1978,USA,2,"Eugene, OR (USA)",06 JUL 2008,1242
83,177,19.86,0.5,Walter DIX,31 JAN 1986,USA,1,"Stadio Olimpico, Roma (ITA)",10 JUN 2010,1242
84,177,19.86,0.4,Walter DIX,31 JAN 1986,USA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",08 JUL 2010,1242
85,177,19.86,0.4,Yohan BLAKE,26 DEC 1989,JAM,2,"Letzigrund, Zürich (SUI)",19 AUG 2010,1242
86,177,19.86,0.7,Usain BOLT,21 AUG 1986,JAM,1,"Bislett Stadion, Oslo (NOR)",09 JUN 2011,1242
87,177,19.86,1.5,Jason YOUNG,21 MAR 1991,JAM,1f1,Luzern (SUI),17 JUL 2012,1242
88,177,19.86,1.6,Isiah YOUNG,05 JAN 1990,USA,1,"Drake Stadium, Des Moines, IA (USA)",23 JUN 2013,1242
89,177,19.86,0.8,Ramil GULIYEV,29 MAY 1990,TUR,2,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2019,1242
90,177,19.86,0.1,Noah LYLES,18 JUL 1997,USA,1sf2,"Khalifa International Stadium, Doha (QAT)",30 SEP 2019,1242
91,177,19.86,0.8,Noah LYLES,18 JUL 1997,USA,1f1,"National Training Center, Clermont, FL (USA)",01 MAY 2022,1242
92,177,19.86,1.1,Jereem RICHARDS,13 JAN 1994,TTO,3sf2,"Hayward Field, Eugene, OR (USA)",19 JUL 2022,1242
93,177,19.86,0.9,Courtney LINDSEY,18 NOV 1998,USA,2,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1242
94,195,19.87,0.8,Lorenzo DANIEL,23 MAR 1966,USA,1,"Eugene, OR (USA)",03 JUN 1988,1241
95,195,19.87,1.8,John REGIS,13 OCT 1966,GBR,1,Sestriere (ITA),31 JUL 1994,1241
96,195,19.87,1.2,Jeff WILLIAMS,31 DEC 1965,USA,1,"Fresno, CA (USA)",13 APR 1996,1241
97,195,19.87,-1.2,Frank FREDERICKS,02 OCT 1967,NAM,1,Osaka (JPN),08 MAY 1999,1248
98,195,19.87,1.4,John CAPEL,27 OCT 1978,USA,1,"Boise, ID (USA)",05 JUN 1999,1241
99,195,19.87,0.1,Wallace SPEARMON,24 DEC 1984,USA,1,"Olympic Stadium, Athina (GRE)",17 SEP 2006,1241
0,195,19.87,-0.2,Warren WEIR,31 OCT 1989,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2013,1242
1,195,19.87,-0.2,Justin GATLIN,10 FEB 1982,USA,1sf2,"National Stadium, Beijing (CHN)",26 AUG 2015,1242
2,195,19.87,-0.1,Anaso JOBODWANA,30 JUL 1992,RSA,3,"National Stadium, Beijing (CHN)",27 AUG 2015,1241
3,195,19.87,-0.1,Alonso EDWARD,08 DEC 1989,PAN,4,"National Stadium, Beijing (CHN)",27 AUG 2015,1241
4,195,19.87,-0.1,Alex QUIÑÓNEZ,11 AUG 1989,ECU,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2019,1241
5,195,19.87,0.8,Andre DE GRASSE,10 NOV 1994,CAN,3,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2019,1241
