"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,37:25.21,Eiki TAKAHASHI,19 NOV 1992,JPN,1.0,"Juntendo University Stadium, Inzai (JPN)",14 NOV 2020,1241
1,2,37:25.90,Koki IKEDA,03 MAY 1998,JPN,2.0,"Juntendo University Stadium, Inzai (JPN)",14 NOV 2020,1241
2,3,37:35.00,Yuta KOGA,15 JUL 1999,JPN,3.0,"Juntendo University Stadium, Inzai (JPN)",14 NOV 2020,1234
3,4,37:53.09,Francisco Javier FERNÁNDEZ,06 MAR 1977,ESP,1.0,Santa Cruz de Tenerife (ESP),27 JUL 2008,1220
4,5,37:57.02,Perseus KARLSTRÖM,02 MAY 1990,SWE,,"Morton Stadium, Dublin (IRL)",26 JUN 2022,1217
5,6,37:58.08,Daisuke MATSUNAGA,24 MAR 1995,JPN,1.0,Kitami (JPN),07 JUL 2018,1217
6,7,37:58.6h,Ivano BRUGNETTI,01 SEP 1976,ITA,1.0,Sesto San Giovanni (ITA),23 JUL 2005,1216
7,8,38:01.5h,Eiki TAKAHASHI,19 NOV 1992,JPN,1.0,Nagasaki (JPN),13 DEC 2015,1214
8,9,38:02.60,Jozef PRIBILINEC,06 JUL 1960,TCH,1.0,Banská Bystrica (TCH),30 AUG 1985,1213
9,10,38:03.78,Declan TINGAY,06 FEB 1999,AUS,1.0,"AIS Athletics Track, Canberra (AUS)",02 FEB 2023,1212
10,11,38:03.95,Perseus KARLSTRÖM,02 MAY 1990,SWE,1.0,"Olympiastadion, Stockholm (SWE)",24 AUG 2019,1212
11,12,38:06.28,Miguel Ángel LÓPEZ,03 JUL 1988,ESP,1.0,Gijón (ESP),24 JUL 2016,1211
12,13,38:06.6h,David SMITH,24 JUL 1955,AUS,1.0,Sydney (AUS),25 SEP 1986,1210
13,14,38:08.13,Yohann DINIZ,01 JAN 1978,FRA,1.0,Reims (FRA),12 JUL 2014,1209
14,15,38:10.23,Yusuke SUZUKI,02 JAN 1988,JPN,1.0,Abashiri (JPN),16 JUL 2015,1208
15,16,38:12.13,Ronald WEIGEL,08 AUG 1959,GDR,1.0,Potsdam (GDR),11 MAY 1986,1206
