"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,5:10.68,Mahiedine MEKHISSI,15 MAR 1985,FRA,1,Reims (FRA),30 JUN 2010,1248
1,2,5:13.47,Bouabdellah TAHRI,20 DEC 1978,FRA,1,"Stade Raymond Petit, Tomblaine (FRA)",25 JUN 2010,1228
2,3,5:14.06,Soufiane EL BAKKALI,07 JAN 1996,MAR,1,"Sports Park Mladost, Zagreb (CRO)",11 SEP 2022,1224
3,4,5:14.43,Julius KARIUKI,12 JUN 1961,KEN,1,Rovereto (ITA),21 AUG 1990,1221
4,5,5:14.53,Saif Saaeed SHAHEEN,15 OCT 1982,QAT,1,Doha (QAT),13 MAY 2005,1220
5,6,5:15.36,Bouabdellah TAHRI,20 DEC 1978,FRA,1,"Stade Raymond Petit, Tomblaine (FRA)",26 JUN 2009,1215
6,7,5:15.96,Bouabdellah TAHRI,20 DEC 1978,FRA,1,"Tomblaine, Nancy (FRA)",19 JUN 2002,1210
7,8,5:16.22,Philip BARKUTWO,06 OCT 1966,KEN,2,Rovereto (ITA),21 AUG 1990,1209
8,9,5:16.46,Wesley KIPROTICH,01 AUG 1979,KEN,2,Doha (QAT),13 MAY 2005,1207
9,10,5:16.85,Eliud BARNGETUNY,20 MAY 1973,KEN,1,Parma (ITA),13 JUN 1995,1204
10,11,5:16.92,Víctor RUIZ,24 JUN 1993,ESP,1,"Pistes d'atletisme Gaetà Huguet, Castellón (ESP)",14 JUN 2023,1204
11,12,5:17.19,Bouabdellah TAHRI,20 DEC 1978,FRA,1,Strasbourg (FRA),28 JUN 2007,1202
12,13,5:18.28,Richard KOSGEI,29 DEC 1970,KEN,2,Parma (ITA),13 JUN 1995,1194
13,14,5:18.36,Alessandro LAMBRUSCHINI,07 JAN 1965,ITA,1,Verona (ITA),12 SEP 1989,1194
14,15,5:18.38,Azzedine BRAHMI,13 SEP 1966,ALG,1,Verona (ITA),17 JUN 1992,1193
15,16,5:18.51,John LANGAT,27 NOV 1974,KEN,1,Rovereto (ITA),29 AUG 2001,1192
16,17,5:18.60,Stanley KIBIWOTT,08 AUG 1969,KEN,2,Rovereto (ITA),29 AUG 2001,1192
17,18,5:18.61,John LANGAT,27 NOV 1974,KEN,1,Padova (ITA),26 AUG 2001,1192
18,19,5:18.65,Antonio David JIMÉNEZ,18 FEB 1977,ESP,1,Huelva (ESP),07 JUN 2005,1191
19,20,5:18.67,Eliud BARNGETUNY,20 MAY 1973,KEN,1,Rovereto (ITA),23 AUG 1995,1191
20,20,5:18.67,Benjamin KIGEN,05 JUL 1993,KEN,1,Andújar (ESP),02 JUN 2017,1191
21,22,5:18.68,Alessandro LAMBRUSCHINI,07 JAN 1965,ITA,3,Rovereto (ITA),21 AUG 1990,1191
22,23,5:18.88,Alessandro LAMBRUSCHINI,07 JAN 1965,ITA,1,Parma (ITA),23 JUL 1992,1190
23,24,5:19.05,Richard KOSGEI,29 DEC 1970,KEN,2,Rovereto (ITA),23 AUG 1995,1189
24,25,5:19.21,Joseph KETER,13 JUN 1969,KEN,3,Rovereto (ITA),23 AUG 1995,1188
25,26,5:19.33,Bouabdellah TAHRI,20 DEC 1978,FRA,1,Nancy (FRA),02 SEP 2001,1187
26,27,5:19.44,Alessandro LAMBRUSCHINI,07 JAN 1965,ITA,2,Verona (ITA),17 JUN 1992,1186
27,28,5:19.68,Samson OBWOCHA,07 OCT 1954,KEN,1,Birmingham (GBR),19 JUL 1986,1184
28,29,5:19.78,Paul Malakwen KOSGEI,22 APR 1978,KEN,1,La Spezia (ITA),20 JUN 1998,1184
29,30,5:19.86,Mark ROWLAND,07 MAR 1963,GBR,1,London (GBR),28 AUG 1988,1183
30,31,5:19.96,Roba GARI,12 APR 1982,ETH,1,Herrera (ESP),19 MAY 2007,1182
