"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,12:35.36,Joshua CHEPTEGEI,12 SEP 1996,UGA,1,"Stade Louis II, Monaco (MON)",14 AUG 2020,1302
1,2,12:37.35,Kenenisa BEKELE,13 JUN 1982,ETH,1,"FBK Stadium, Hengelo (NED)",31 MAY 2004,1294
2,3,12:39.36,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Helsinki (FIN),13 JUN 1998,1286
3,4,12:39.74,Daniel KOMEN,17 MAY 1976,KEN,1,Bruxelles (BEL),22 AUG 1997,1285
4,5,12:40.18,Kenenisa BEKELE,13 JUN 1982,ETH,1,Paris (FRA),01 JUL 2005,1283
5,6,12:40.45,Berihu AREGAWI,28 FEB 2001,ETH,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2023,1282
6,7,12:41.61,Joshua CHEPTEGEI,12 SEP 1996,UGA,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2023,1278
7,8,12:41.73,Yomif KEJELCHA,01 AUG 1997,ETH,1,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1278
8,8,12:41.73,Jacob KIPLIMO,14 NOV 2000,UGA,2,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1278
9,10,12:41.86,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Zürich (SUI),13 AUG 1997,1277
10,11,12:43.02,Selemon BAREGA,20 JAN 2000,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1273
11,12,12:44.39,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Zürich (SUI),16 AUG 1995,1268
12,13,12:44.90,Daniel KOMEN,17 MAY 1976,KEN,2,Zürich (SUI),13 AUG 1997,1266
13,14,12:45.09,Daniel KOMEN,17 MAY 1976,KEN,1,Zürich (SUI),14 AUG 1996,1265
14,15,12:45.71,Jacob KROP,04 JUN 2001,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",02 SEP 2022,1263
15,16,12:45.82,Hagos GEBRHIWET,11 MAY 1994,ETH,2,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1262
16,17,12:46.21,Telahun Haile BEKELE,13 MAY 1999,ETH,3,"Bislett Stadion, Oslo (NOR)",15 JUN 2023,1261
17,18,12:46.33,Nicholas KIPKORIR,29 SEP 1998,KEN,1,"Stadio Olimpico, Roma (ITA)",09 JUN 2022,1260
18,19,12:46.53,Eliud KIPCHOGE,05 NOV 1984,KEN,1,"Stadio Olimpico, Roma (ITA)",02 JUL 2004,1259
19,20,12:46.79,Yomif KEJELCHA,01 AUG 1997,ETH,3,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1259
20,20,12:46.79,Jacob KROP,04 JUN 2001,KEN,2,"Stadio Olimpico, Roma (ITA)",09 JUN 2022,1259
21,22,12:46.81,Dejen GEBREMESKEL,24 NOV 1989,ETH,1,Paris (FRA),06 JUL 2012,1258
22,23,12:46.96,Grant FISHER,22 APR 1997,USA,2,"Boudewijnstadion, Bruxelles (BEL)",02 SEP 2022,1258
23,24,12:47.04,Sileshi SIHINE,29 JAN 1983,ETH,2,"Stadio Olimpico, Roma (ITA)",02 JUL 2004,1258
24,25,12:47.20,Mohammed AHMED,05 JAN 1991,CAN,1,"Jesuit High School Track, Portland, OR (USA)",10 JUL 2020,1257
25,26,12:47.53,Hagos GEBRHIWET,11 MAY 1994,ETH,2,Paris (FRA),06 JUL 2012,1256
26,27,12:48.09,Kenenisa BEKELE,13 JUN 1982,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",25 AUG 2006,1254
27,28,12:48.25,Kenenisa BEKELE,13 JUN 1982,ETH,1,Zürich (SUI),18 AUG 2006,1253
28,29,12:48.45,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1252
29,30,12:48.63,Jacob KIPLIMO,14 NOV 2000,UGA,1,"Mestský Stadion, Ostrava (CZE)",08 SEP 2020,1252
30,31,12:48.64,Isiah Kiplangat KOECH,19 DEC 1993,KEN,3,Paris (FRA),06 JUL 2012,1252
31,32,12:48.66,Isaac Kiprono SONGOK,25 APR 1984,KEN,2,Zürich (SUI),18 AUG 2006,1252
32,33,12:48.77,Yenew ALAMIREW,27 MAY 1990,ETH,4,Paris (FRA),06 JUL 2012,1251
33,34,12:48.81,Stephen CHERONO,15 OCT 1982,KEN,1,Ostrava (CZE),12 JUN 2003,1251
34,35,12:48.98,Daniel KOMEN,17 MAY 1976,KEN,1,"Stadio Olimpico, Roma (ITA)",05 JUN 1997,1250
35,36,12:49.02,Hagos GEBRHIWET,11 MAY 1994,ETH,2,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1250
36,37,12:49.04,Thomas Pkemei LONGOSIWA,14 JAN 1982,KEN,5,Paris (FRA),06 JUL 2012,1250
37,38,12:49.08,Selemon BAREGA,20 JAN 2000,ETH,2,"Mestský Stadion, Ostrava (CZE)",08 SEP 2020,1250
38,39,12:49.28,Brahim LAHLAFI,15 APR 1968,MAR,1,Bruxelles (BEL),25 AUG 2000,1249
39,40,12:49.50,John KIPKOECH,29 DEC 1991,KEN,6,Paris (FRA),06 JUL 2012,1248
40,41,12:49.53,Kenenisa BEKELE,13 JUN 1982,ETH,1,Zaragoza (ESP),28 JUL 2007,1248
41,42,12:49.64,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Zürich (SUI),11 AUG 1999,1248
42,43,12:49.71,Mohammed MOURHIT,10 OCT 1970,BEL,2,Bruxelles (BEL),25 AUG 2000,1248
43,44,12:49.80,Hagos GEBRHIWET,11 MAY 1994,ETH,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2023,1247
44,45,12:49.81,Telahun Haile BEKELE,13 MAY 1999,ETH,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2023,1247
45,46,12:49.87,Paul TERGAT,17 JUN 1969,KEN,3,Zürich (SUI),13 AUG 1997,1247
46,47,12:50.05,Berihu AREGAWI,28 FEB 2001,ETH,1,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1246
47,48,12:50.12,Mohammed AHMED,05 JAN 1991,CAN,3,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1246
48,49,12:50.16,Sileshi SIHINE,29 JAN 1983,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,1246
49,50,12:50.18,Kenenisa BEKELE,13 JUN 1982,ETH,1,"Letzigrund, Zürich (SUI)",29 AUG 2008,1246
50,51,12:50.22,Eliud KIPCHOGE,05 NOV 1984,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",26 AUG 2005,1246
51,52,12:50.24,Hicham EL GUERROUJ,14 SEP 1974,MAR,2,Ostrava (CZE),12 JUN 2003,1246
52,53,12:50.25,Abderrahim GOUMRI,21 MAY 1976,MAR,2,"Boudewijnstadion, Bruxelles (BEL)",26 AUG 2005,1246
53,54,12:50.38,Eliud KIPCHOGE,05 NOV 1984,KEN,2,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,1245
54,55,12:50.55,Moses Ndiema MASAI,01 JUN 1986,KEN,1,"Olympiastadion, Berlin (GER)",01 JUN 2008,1244
55,56,12:50.72,Moses Ndiema KIPSIRO,02 SEP 1986,UGA,3,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,1244
56,57,12:50.79,Mohamed KATIR,17 FEB 1998,ESP,4,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1244
57,58,12:50.80,Salah HISSOU,16 JAN 1972,MAR,1,Roma (ITA),05 JUN 1996,1244
58,59,12:50.86,Ali SAIDI-SIEF,15 MAR 1978,ALG,1,"Stadio Olimpico, Roma (ITA)",30 JUN 2000,1243
59,60,12:50.97,Nicholas KIPKORIR,29 SEP 1998,KEN,3,"Boudewijnstadion, Bruxelles (BEL)",02 SEP 2022,1243
60,61,12:51.00,Joseph EBUYA,20 JUN 1987,KEN,4,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,1243
61,62,12:51.21,Eliud KIPCHOGE,05 NOV 1984,KEN,1,"Suhaim bin Hamad Stadium, Doha (QAT)",14 MAY 2010,1242
62,63,12:51.32,Kenenisa BEKELE,13 JUN 1982,ETH,1,Paris (FRA),08 JUL 2006,1242
63,64,12:51.34,Edwin Cheruiyot SOI,03 MAR 1986,KEN,1,"Stade Louis II, Monaco (MON)",19 JUL 2013,1242
