"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
64,65,12:51.44,Kenenisa BEKELE,13 JUN 1982,ETH,1,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1241
65,66,12:51.45,Vincent Kiprop CHEPKOK,05 JUL 1988,KEN,2,"Suhaim bin Hamad Stadium, Doha (QAT)",14 MAY 2010,1241
66,67,12:51.60,Daniel KOMEN,17 MAY 1976,KEN,1,Stockholm (SWE),08 JUL 1996,1241
67,68,12:51.78,Nicholas KIPKORIR,29 SEP 1998,KEN,2,"Stade Louis II, Monaco (MON)",14 AUG 2020,1240
68,69,12:51.93,Justyn KNIGHT,19 JUL 1996,CAN,5,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1239
69,70,12:51.95,Thomas Pkemei LONGOSIWA,14 JAN 1982,KEN,5,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007,1239
70,71,12:51.96,Albert ROP,17 JUL 1992,BRN,2,"Stade Louis II, Monaco (MON)",19 JUL 2013,1239
71,72,12:51.98,Saif Saaeed SHAHEEN,15 OCT 1982,QAT,2,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1239
72,73,12:52.09,Mohamed KATIR,17 FEB 1998,ESP,1,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023,1239
73,74,12:52.10,Yomif KEJELCHA,01 AUG 1997,ETH,3,"Stadio Olimpico, Roma (ITA)",09 JUN 2022,1239
74,75,12:52.12,Yomif KEJELCHA,01 AUG 1997,ETH,2,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023,1239
75,76,12:52.15,Domnic Lokinyomo LOBALU,16 AUG 1998,SSD,4,"Boudewijnstadion, Bruxelles (BEL)",02 SEP 2022,1239
76,77,12:52.26,Kenenisa BEKELE,13 JUN 1982,ETH,1,Oslo (NOR),27 JUN 2003,1238
77,78,12:52.29,Isaac Kiprono SONGOK,25 APR 1984,KEN,1,"Stadio Olimpico, Roma (ITA)",08 JUL 2005,1238
78,79,12:52.32,Kenenisa BEKELE,13 JUN 1982,ETH,1,"Letzigrund, Zürich (SUI)",28 AUG 2009,1238
79,80,12:52.33,Sammy KIPKETER,29 SEP 1981,KEN,2,Oslo (NOR),27 JUN 2003,1238
80,81,12:52.38,Daniel KOMEN,17 MAY 1976,KEN,1,"Arena Civica, Milano (ITA)",07 SEP 1996,1238
81,82,12:52.39,Salah HISSOU,16 JAN 1972,MAR,2,"Stadio Olimpico, Roma (ITA)",05 JUN 1997,1238
82,82,12:52.39,Isaac Kiprono SONGOK,25 APR 1984,KEN,3,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1238
83,84,12:52.40,Edwin Cheruiyot SOI,03 MAR 1986,KEN,2,Paris (FRA),08 JUL 2006,1238
84,85,12:52.45,Tariku BEKELE,28 FEB 1987,ETH,2,"Olympiastadion, Berlin (GER)",01 JUN 2008,1237
85,86,12:52.53,Salah HISSOU,16 JAN 1972,MAR,1,Milano (ITA),09 JUN 1999,1237
86,87,12:52.61,Eliud KIPCHOGE,05 NOV 1984,KEN,3,Oslo (NOR),27 JUN 2003,1237
87,88,12:52.70,Haile GEBRSELASSIE,18 APR 1973,ETH,2,Zürich (SUI),14 AUG 1996,1237
88,89,12:52.76,Eliud KIPCHOGE,05 NOV 1984,KEN,2,"Stadio Olimpico, Roma (ITA)",08 JUL 2005,1236
89,90,12:52.79,Eliud KIPCHOGE,05 NOV 1984,KEN,1,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003,1236
90,91,12:52.80,Gebregziabher GEBREMARIAM,12 OCT 1984,ETH,3,"Stadio Olimpico, Roma (ITA)",08 JUL 2005,1236
91,92,12:52.83,Hicham EL GUERROUJ,14 SEP 1974,MAR,2,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003,1236
92,93,12:52.97,Luis GRIJALVA,10 APR 1999,GUA,3,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023,1236
93,94,12:52.98,Telahun Haile BEKELE,13 MAY 1999,ETH,1,"Stadio Olimpico, Roma (ITA)",06 JUN 2019,1235
94,95,12:52.99,Abraham CHEBII,23 DEC 1979,KEN,4,Oslo (NOR),27 JUN 2003,1235
95,96,12:53.04,Selemon BAREGA,20 JAN 2000,ETH,2,"Stadio Olimpico, Roma (ITA)",06 JUN 2019,1235
96,97,12:53.11,Mo FARAH,23 MAR 1983,GBR,1,"Stade Louis II, Monaco (MON)",22 JUL 2011,1235
97,98,12:53.12,Kenenisa BEKELE,13 JUN 1982,ETH,3,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003,1235
98,99,12:53.19,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"Olympiastadion, Berlin (GER)",01 SEP 1995,1235
99,100,12:53.28,Getnet WALE,16 JUL 2000,ETH,1,"FBK Stadium, Hengelo (NED)",08 JUN 2021,1234
0,101,12:53.37,Abraham CHEBII,23 DEC 1979,KEN,1,Paris (FRA),04 JUL 2003,1234
1,102,12:53.41,Khalid BOULAMI,07 AUG 1969,MAR,4,Zürich (SUI),13 AUG 1997,1234
2,103,12:53.45,Salah HISSOU,16 JAN 1972,MAR,2,Zürich (SUI),11 AUG 1999,1234
3,104,12:53.46,Mark Kosgei KIPTOO,21 JUN 1976,KEN,1,"Olympiastadion, Stockholm (SWE)",06 AUG 2010,1234
4,105,12:53.56,Dejen GEBREMESKEL,24 NOV 1989,ETH,2,"Olympiastadion, Stockholm (SWE)",06 AUG 2010,1233
5,106,12:53.58,Imane MERGA,15 OCT 1988,ETH,3,"Olympiastadion, Stockholm (SWE)",06 AUG 2010,1233
6,107,12:53.60,Bernard LAGAT,12 DEC 1974,USA,2,"Stade Louis II, Monaco (MON)",22 JUL 2011,1233
7,108,12:53.66,Augustine Kiprono CHOGE,21 JAN 1987,KEN,4,"Stadio Olimpico, Roma (ITA)",08 JUL 2005,1233
8,109,12:53.72,Philip MOSIMA,02 JAN 1977,KEN,2,Roma (ITA),05 JUN 1996,1233
9,110,12:53.81,Tariku BEKELE,28 FEB 1987,ETH,4,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1232
10,110,12:53.81,Imane MERGA,15 OCT 1988,ETH,1,"Bislett Stadion, Oslo (NOR)",04 JUN 2010,1232
11,110,12:53.81,Joshua CHEPTEGEI,12 SEP 1996,UGA,4,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023,1232
12,113,12:53.84,Assefa MEZGEBU,19 JUN 1978,ETH,1,Bruxelles (BEL),28 AUG 1998,1232
13,114,12:53.92,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Oslo (NOR),30 JUN 1999,1232
14,115,12:53.97,Tariku BEKELE,28 FEB 1987,ETH,2,"Bislett Stadion, Oslo (NOR)",04 JUN 2010,1232
15,116,12:53.98,Yomif KEJELCHA,01 AUG 1997,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",11 SEP 2015,1232
16,117,12:54.07,Sammy KIPKETER,29 SEP 1981,KEN,2,"Stadio Olimpico, Roma (ITA)",30 JUN 2000,1231
17,117,12:54.07,John Kemboi KIBOWEN,21 APR 1969,KEN,4,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003,1231
18,119,12:54.08,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Zürich (SUI),12 AUG 1998,1231
19,120,12:54.12,Bernard LAGAT,12 DEC 1974,USA,3,"Bislett Stadion, Oslo (NOR)",04 JUN 2010,1231
20,121,12:54.13,Tariku BEKELE,28 FEB 1987,ETH,7,Paris (FRA),06 JUL 2012,1231
21,122,12:54.15,Dejene BIRHANU,12 DEC 1980,ETH,3,"Stadio Olimpico, Roma (ITA)",02 JUL 2004,1231
22,123,12:54.18,Isiah Kiplangat KOECH,19 DEC 1993,KEN,3,"Stade Louis II, Monaco (MON)",22 JUL 2011,1231
23,124,12:54.19,Abraham CHERKOS,23 SEP 1989,ETH,5,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1231
24,125,12:54.21,Imane MERGA,15 OCT 1988,ETH,1,"Stadio Olimpico, Roma (ITA)",26 MAY 2011,1231
25,126,12:54.22,Nibret MELAK,09 OCT 1999,ETH,2,"FBK Stadium, Hengelo (NED)",08 JUN 2021,1231
26,127,12:54.31,Telahun Haile BEKELE,13 MAY 1999,ETH,5,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023,1231
27,128,12:54.36,Haile GEBRSELASSIE,18 APR 1973,ETH,2,Paris (FRA),04 JUL 2003,1230
28,128,12:54.36,Eliud KIPCHOGE,05 NOV 1984,KEN,4,"Olympiastadion, Stockholm (SWE)",06 AUG 2010,1230
29,130,12:54.40,William KINCAID,21 SEP 1992,USA,6,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023,1230
30,131,12:54.46,Moses MOSOP,07 JUL 1985,KEN,3,Paris (FRA),08 JUL 2006,1230
31,132,12:54.58,James Kwalia C'KURUI,12 JUN 1984,KEN,5,Oslo (NOR),27 JUN 2003,1230
32,133,12:54.59,Isiah Kiplangat KOECH,19 DEC 1993,KEN,2,"Stadio Olimpico, Roma (ITA)",26 MAY 2011,1230
33,134,12:54.60,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Nürnberg (GER),13 JUN 1997,1229
34,135,12:54.69,Joshua CHEPTEGEI,12 SEP 1996,UGA,6,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1229
35,136,12:54.70,Dieter BAUMANN,09 FEB 1965,GER,5,Zürich (SUI),13 AUG 1997,1229
36,136,12:54.70,Moses Ndiema KIPSIRO,02 SEP 1986,UGA,3,"Olympiastadion, Berlin (GER)",01 JUN 2008,1229
37,136,12:54.70,Hagos GEBRHIWET,11 MAY 1994,ETH,2,"Boudewijnstadion, Bruxelles (BEL)",11 SEP 2015,1229
38,139,12:54.72,Paul TERGAT,17 JUN 1969,KEN,3,Zürich (SUI),14 AUG 1996,1229
39,140,12:54.82,Daniel KOMEN,17 MAY 1976,KEN,2,Bruxelles (BEL),28 AUG 1998,1229
40,141,12:54.83,Salah HISSOU,16 JAN 1972,MAR,2,"Arena Civica, Milano (ITA)",07 SEP 1996,1229
41,141,12:54.83,Muktar EDRIS,14 JAN 1994,ETH,1,"Olympiastadion, Stockholm (SWE)",21 AUG 2014,1229
42,143,12:54.85,Moses KIPTANUI,01 OCT 1970,KEN,3,Roma (ITA),05 JUN 1996,1229
43,144,12:54.87,Selemon BAREGA,20 JAN 2000,ETH,4,"Stadio Olimpico, Roma (ITA)",09 JUN 2022,1228
44,145,12:54.90,Daniel Simiu EBENYO,18 SEP 1995,KEN,5,"Boudewijnstadion, Bruxelles (BEL)",02 SEP 2022,1228
45,146,12:54.92,Hagos GEBRHIWET,11 MAY 1994,ETH,3,"Stadio Olimpico, Roma (ITA)",06 JUN 2019,1228
46,147,12:54.94,Eliud KIPCHOGE,05 NOV 1984,KEN,6,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1228
47,148,12:54.95,Yenew ALAMIREW,27 MAY 1990,ETH,1,"Stadio Olimpico, Roma (ITA)",06 JUN 2013,1228
48,149,12:54.99,Benjamin LIMO,23 AUG 1974,KEN,3,Paris (FRA),04 JUL 2003,1228
49,150,12:55.03,Sammy KIPKETER,29 SEP 1981,KEN,1,"Bislett Stadion, Oslo (NOR)",28 JUL 2000,1228
50,150,12:55.03,Edwin Cheruiyot SOI,03 MAR 1986,KEN,2,"Letzigrund, Zürich (SUI)",28 AUG 2009,1228
51,150,12:55.03,Tariku BEKELE,28 FEB 1987,ETH,1,"Letzigrund, Zürich (SUI)",19 AUG 2010,1228
52,153,12:55.06,Lucas Kimeli ROTICH,16 APR 1990,KEN,4,"Bislett Stadion, Oslo (NOR)",04 JUN 2010,1228
53,154,12:55.14,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"Olympiastadion, Berlin (GER)",26 AUG 1997,1227
54,155,12:55.16,Daniel KOMEN,17 MAY 1976,KEN,1,"Stadio Olimpico, Roma (ITA)",07 JUL 1999,1227
55,155,12:55.16,Joe KLECKER,16 NOV 1996,USA,7,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023,1227
56,157,12:55.18,Daniel KOMEN,17 MAY 1976,KEN,2,Milano (ITA),09 JUN 1999,1227
57,157,12:55.18,Paul TERGAT,17 JUN 1969,KEN,3,"Stadio Olimpico, Roma (ITA)",30 JUN 2000,1227
58,157,12:55.18,Muktar EDRIS,14 JAN 1994,ETH,4,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1227
59,160,12:55.23,Muktar EDRIS,14 JAN 1994,ETH,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2017,1227
60,161,12:55.26,Benjamin LIMO,23 AUG 1974,KEN,3,"Boudewijnstadion, Bruxelles (BEL)",26 AUG 2005,1227
61,162,12:55.29,Vincent Kiprop CHEPKOK,05 JUL 1988,KEN,3,"Stadio Olimpico, Roma (ITA)",26 MAY 2011,1227
62,163,12:55.30,Moses KIPTANUI,01 OCT 1970,KEN,1,"Stadio Olimpico, Roma (ITA)",08 JUN 1995,1227
63,164,12:55.31,Kenenisa BEKELE,13 JUN 1982,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009,1227
64,165,12:55.34,Eliud KIPCHOGE,05 NOV 1984,KEN,8,Paris (FRA),06 JUL 2012,1227
65,166,12:55.37,Paul TERGAT,17 JUN 1969,KEN,2,"Stadio Olimpico, Roma (ITA)",07 JUL 1999,1227
66,167,12:55.39,Salah HISSOU,16 JAN 1972,MAR,3,"Stadio Olimpico, Roma (ITA)",07 JUL 1999,1227
67,168,12:55.47,Imane MERGA,15 OCT 1988,ETH,4,"Stade Louis II, Monaco (MON)",22 JUL 2011,1226
68,169,12:55.51,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"Crystal Palace, London (GBR)",30 JUL 2004,1226
69,170,12:55.52,Eliud KIPCHOGE,05 NOV 1984,KEN,4,Paris (FRA),04 JUL 2003,1226
70,170,12:55.52,Hicham BELLANI,15 SEP 1979,MAR,7,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1226
71,172,12:55.53,Chris SOLINSKY,05 DEC 1984,USA,5,"Olympiastadion, Stockholm (SWE)",06 AUG 2010,1226
72,173,12:55.55,Kenenisa BEKELE,13 JUN 1982,ETH,1,"Crystal Palace, London (GBR)",22 JUL 2005,1226
73,174,12:55.57,Jacob KROP,04 JUN 2001,KEN,8,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023,1226
74,175,12:55.58,Abebe DINKESA,06 MAR 1984,ETH,2,Paris (FRA),01 JUL 2005,1226
75,175,12:55.58,Selemon BAREGA,20 JAN 2000,ETH,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2017,1226
76,177,12:55.59,Gebregziabher GEBREMARIAM,12 OCT 1984,ETH,4,"Stadio Olimpico, Roma (ITA)",02 JUL 2004,1226
77,178,12:55.60,Jacob KIPLIMO,14 NOV 2000,UGA,1,"Stadion Allmend, Luzern (SUI)",29 JUN 2021,1226
78,179,12:55.63,Mark Kipkinyor BETT,22 DEC 1976,KEN,2,"Bislett Stadion, Oslo (NOR)",28 JUL 2000,1226
79,180,12:55.66,Imane MERGA,15 OCT 1988,ETH,2,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009,1226
80,181,12:55.69,Tariku BEKELE,28 FEB 1987,ETH,4,Paris (FRA),08 JUL 2006,1225
81,182,12:55.72,Moses Ndiema MASAI,01 JUN 1986,KEN,1,Barcelona (ESP),19 JUL 2008,1225
82,183,12:55.73,Hagos GEBRHIWET,11 MAY 1994,ETH,2,"Stadio Olimpico, Roma (ITA)",06 JUN 2013,1225
83,184,12:55.76,Khalid BOULAMI,07 AUG 1969,MAR,4,Zürich (SUI),14 AUG 1996,1225
84,184,12:55.76,Craig MOTTRAM,18 JUN 1980,AUS,2,"Crystal Palace, London (GBR)",30 JUL 2004,1225
85,186,12:55.79,Isaac Kiprono SONGOK,25 APR 1984,KEN,1,Oslo (NOR),02 JUN 2006,1225
86,186,12:55.79,Kenenisa BEKELE,13 JUN 1982,ETH,9,Paris (FRA),06 JUL 2012,1225
87,188,12:55.82,Benjamin LIMO,23 AUG 1974,KEN,3,"Bislett Stadion, Oslo (NOR)",28 JUL 2000,1225
88,189,12:55.84,Mohammed AHMED,05 JAN 1991,CAN,5,"Stadio Olimpico, Roma (ITA)",09 JUN 2022,1225
89,190,12:55.85,Salah HISSOU,16 JAN 1972,MAR,1,"Stadio Olimpico, Roma (ITA)",12 JUL 2002,1225
90,190,12:55.85,Boniface Kiprotich SONGOK,25 DEC 1980,KEN,4,"Boudewijnstadion, Bruxelles (BEL)",26 AUG 2005,1225
91,192,12:55.86,Benjamin LIMO,23 AUG 1974,KEN,3,Zürich (SUI),11 AUG 1999,1225
92,193,12:55.88,Daniel Simiu EBENYO,18 SEP 1995,KEN,2,"Stadion Allmend, Luzern (SUI)",29 JUN 2021,1225
93,194,12:55.89,Dejen GEBREMESKEL,24 NOV 1989,ETH,4,"Stadio Olimpico, Roma (ITA)",26 MAY 2011,1225
94,195,12:55.93,Salah HISSOU,16 JAN 1972,MAR,1,Paris (FRA),28 JUN 1996,1225
95,196,12:55.94,Tom NYARIKI,27 SEP 1971,KEN,1,Stockholm (SWE),07 JUL 1997,1225
96,197,12:55.95,Josphat Kiprono MENJO,20 AUG 1979,KEN,1,Turku (FIN),18 AUG 2010,1224
97,198,12:55.98,Vincent Kiprop CHEPKOK,05 JUL 1988,KEN,3,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009,1224
98,199,12:55.99,Edwin Cheruiyot SOI,03 MAR 1986,KEN,10,Paris (FRA),06 JUL 2012,1224
99,200,12:56.08,Thomas Pkemei LONGOSIWA,14 JAN 1982,KEN,5,"Stade Louis II, Monaco (MON)",22 JUL 2011,1224
0,200,12:56.08,Isiah Kiplangat KOECH,19 DEC 1993,KEN,3,"Stade Louis II, Monaco (MON)",19 JUL 2013,1224
1,202,12:56.13,Craig MOTTRAM,18 JUN 1980,AUS,2,"Crystal Palace, London (GBR)",22 JUL 2005,1224
2,203,12:56.15,Daniel KOMEN,17 MAY 1976,KEN,2,"Stadio Olimpico, Roma (ITA)",08 JUN 1995,1224
3,204,12:56.16,Thomas Pkemei LONGOSIWA,14 JAN 1982,KEN,2,"Olympiastadion, Stockholm (SWE)",21 AUG 2014,1224
4,205,12:56.18,Brahim LAHLAFI,15 APR 1968,MAR,4,"Bislett Stadion, Oslo (NOR)",28 JUL 2000,1224
5,205,12:56.18,Selemon BAREGA,20 JAN 2000,ETH,9,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023,1224
6,207,12:56.19,Selemon BAREGA,20 JAN 2000,ETH,1,"Stade Charléty, Paris (FRA)",18 JUN 2022,1224
7,208,12:56.23,Kenenisa BEKELE,13 JUN 1982,ETH,1,"Stadio Olimpico, Roma (ITA)",10 JUL 2009,1223
8,209,12:56.24,Dejene BIRHANU,12 DEC 1980,ETH,5,"Stadio Olimpico, Roma (ITA)",08 JUL 2005,1223
9,210,12:56.26,Birhanu BALEW,27 FEB 1996,BRN,4,"Stadio Olimpico, Roma (ITA)",06 JUN 2019,1223
