"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,18:21,Robert KORZENIOWSKI,30 JUL 1968,POL,,Bad Salzdefürth (GER),15 SEP 1990,1194
1,2,18:33,Erik TYSSE,04 DEC 1980,NOR,1.0,Bergen (NOR),23 AUG 2006,1176
2,3,18:37,Vasiliy MIZINOV,29 DEC 1997,ANA,1.0,Voronovo (RUS),24 AUG 2019,1170
3,4,18:45,Maksim KRASNOV,10 FEB 1996,RUS,2.0,Voronovo (RUS),24 AUG 2019,1158
4,5,18:57,Ivan TROTSKI,27 MAY 1976,BLR,1.0,Hildesheim (GER),14 SEP 2003,1140
5,6,19:01,Erik TYSSE,04 DEC 1980,NOR,2.0,Hildesheim (GER),14 SEP 2003,1135
6,6,19:01,Anton KUČMÍN,07 JUN 1984,SVK,1.0,Nitra (SVK),04 OCT 2013,1135
7,8,19:02,Kirill FROLOV,29 SEP 1993,RUS,3.0,Voronovo (RUS),24 AUG 2019,1133
8,9,19:04,Matej TÓTH,10 FEB 1983,SVK,2.0,Nitra (SVK),04 OCT 2013,1130
9,10,19:09,Tim SEAMAN,14 MAY 1972,USA,3.0,Hildesheim (GER),14 SEP 2003,1123
10,11,19:14,Salih KORKMAZ,01 JAN 1997,TUR,1.0,Van (TUR),03 SEP 2022,1116
11,12,19:18,Jiří MALYSA,14 AUG 1966,CZE,4.0,Hildesheim (GER),14 SEP 2003,1110
12,13,19:20,Miloš HOLUŠA,02 MAY 1965,CZE,5.0,Hildesheim (GER),14 SEP 2003,1107
13,14,19:22,Grzegorz SUDOŁ,28 AUG 1978,POL,1.0,Biala Podlaska (POL),31 AUG 2013,1104
14,14,19:22,Grzegorz SUDOŁ,28 AUG 1978,POL,1.0,Gdansk (POL),31 AUG 2013,1104
15,14,19:22,Vasiliy MIZINOV,29 DEC 1997,ANA,1.0,Simnas (LTU),10 JUN 2018,1104
16,17,19:23,Dane BIRD-SMITH,15 JUL 1992,AUS,1.0,Sunshine Coast (AUS),26 AUG 2018,1103
17,18,19:24,Zdeno BABÍK,09 JAN 1984,SVK,6.0,Hildesheim (GER),14 SEP 2003,1101
18,18,19:24,Alessio WRUSS,1990,ITA,1.0,Remanzacco (ITA),04 SEP 2011,1101
19,18,19:24,Marc TUR,30 NOV 1994,ESP,1.0,Toledo (ESP),06 NOV 2021,1101
20,21,19:25,Valdas KAZLAUSKAS,23 FEB 1958,URS,1.0,Hildesheim (GER),11 JUN 1989,1100
21,22,19:29,Andi DRAKE,06 FEB 1965,GBR,,Søfteland (NOR),27 MAY 1990,1094
22,22,19:29,David HURTADO,21 APR 1999,ECU,1.0,"Hauppauge, NY (USA)",22 OCT 2017,1094
23,22,19:29,Aliaksandr LIAKHOVICH,04 JUL 1989,BLR,1.0,Lazdijai (LTU),21 SEP 2019,1094
24,25,19:30,Andrey MAKAROV,02 JAN 1971,BLR,7.0,Hildesheim (GER),14 SEP 2003,1093
25,26,19:31,Alexandros PAPAMICHAIL,18 SEP 1988,GRE,2.0,Simnas (LTU),10 JUN 2018,1091
26,27,19:33,Alberto AMEZCUA,10 MAY 1992,ESP,2.0,Toledo (ESP),06 NOV 2021,1088
27,28,19:36,Nassir HASNAOUI,,MAR,1.0,Rabat (MAR),17 FEB 1991,1084
28,29,19:36,Ivan LOSEV,26 JAN 1986,UKR,3.0,Simnas (LTU),10 JUN 2018,1084
29,29,19:36,Kiril SHUTOV,24 SEP 1997,RUS,4.0,Voronovo (RUS),24 AUG 2019,1084
30,29,19:36,Tim FRASER,22 FEB 2000,AUS,1.0,"Lennox Gardens, Canberra (AUS)",07 MAY 2022,1084
31,32,19:37,Diego GARCÍA CARRERA,19 JAN 1996,ESP,1.0,Toledo (ESP),19 NOV 2016,1083
32,33,19:39,Rafał SIKORA,17 FEB 1987,POL,2.0,Biala Podlaska (POL),31 AUG 2013,1080
33,33,19:39,Rafał SIKORA,17 FEB 1987,POL,2.0,Gdansk (POL),31 AUG 2013,1080
34,33,19:39,Salih KORKMAZ,01 JAN 1997,TUR,1.0,Konya (TUR),27 APR 2019,1080
35,36,19:40,Dušan MAJDAN,08 SEP 1987,SVK,3.0,Nitra (SVK),04 OCT 2013,1078
36,37,19:41,Alberto AMEZCUA,10 MAY 1992,ESP,1.0,Guadix (ESP),28 DEC 2019,1077
37,38,19:42,Alberto AMEZCUA,10 MAY 1992,ESP,2.0,Toledo (ESP),19 NOV 2016,1076
38,38,19:42,Karl JUNGHANNß,06 APR 1996,GER,4.0,Simnas (LTU),10 JUN 2018,1076
39,40,19:43,Miroslav ÚRADNÍK,24 MAR 1996,SVK,1.0,Hlohovec (SVK),02 JUN 2019,1074
40,40,19:43,José Manuel PÉREZ,10 SEP 1999,ESP,3.0,Toledo (ESP),06 NOV 2021,1074
41,42,19:44,Rafał AUGUSTYN,14 MAY 1984,POL,1.0,Bratkowice (POL),12 SEP 2009,1073
42,42,19:44,Anton KUČMÍN,07 JUN 1984,SVK,1.0,Hlohovec (SVK),01 JUN 2014,1073
43,42,19:44,Anton KUČMÍN,07 JUN 1984,SVK,1.0,Nitra (SVK),25 SEP 2014,1073
44,45,19:46,Yevgeniy MISYULYA,13 MAR 1964,BLR,8.0,Hildesheim (GER),14 SEP 2003,1070
45,45,19:46,Sándor RÁCZ,14 SEP 1986,HUN,4.0,Nitra (SVK),04 OCT 2013,1070
46,45,19:46,Iván LÓPEZ,29 MAR 1997,ESP,4.0,Toledo (ESP),06 NOV 2021,1070
47,48,19:48,Łukasz NOWAK,18 DEC 1988,POL,1.0,Pila (POL),06 OCT 2012,1067
48,49,19:50,Luis Manuel CORCHETE,14 MAY 1984,ESP,5.0,Toledo (ESP),06 NOV 2021,1064
