"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,1:12.81,Johnny GRAY,19 JUN 1960,USA,1,"Santa Monica, CA (USA)",24 MAY 1986,1239
1,2,1:13.10,David RUDISHA,17 DEC 1988,KEN,1,"Alexander Stadium, Birmingham (GBR)",05 JUN 2016,1226
2,3,1:13.21,Pierre-Ambroise BOSSE,11 MAY 1992,FRA,2,"Alexander Stadium, Birmingham (GBR)",05 JUN 2016,1222
3,4,1:13.28,Duane SOLOMON,28 DEC 1984,USA,1,Burnaby (CAN),01 JUL 2013,1219
4,5,1:13.49,Joseph Mwengi MUTUA,10 DEC 1978,KEN,1,Liège (BEL),27 AUG 2002,1209
5,6,1:13.71,David RUDISHA,17 DEC 1988,KEN,1,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1200
6,7,1:13.72,Joseph Mwengi MUTUA,10 DEC 1978,KEN,1,Naimette-Xhovémont (BEL),02 SEP 2003,1200
7,8,1:13.80,Earl JONES,17 JUL 1964,USA,2,"Santa Monica, CA (USA)",24 MAY 1986,1196
8,9,1:13.97,Ryan SÁNCHEZ,22 JUN 1998,PUR,1,"Pista Basilio Rodriguez, Carolina (PUR)",18 MAR 2023,1189
9,10,1:13.99,Ryan SÁNCHEZ,22 JUN 1998,PUR,1,Carolina (PUR),19 MAR 2022,1188
10,11,1:14.15,David MACK,30 MAY 1961,USA,3,"Santa Monica, CA (USA)",24 MAY 1986,1181
11,12,1:14.16,Johnny GRAY,19 JUN 1960,USA,1,"Sacramento, CA (USA)",21 JUL 1984,1181
12,13,1:14.33,Charles JOCK,23 NOV 1989,USA,1,"Portland, OR (USA)",14 JUN 2015,1173
13,14,1:14.36,Djamel SEDJATI,03 MAY 1999,ALG,1,"DP de Villiers Stadium, Sasolburg (RSA)",11 MAR 2023,1172
14,14,1:14.36,Michael CHERRY,23 MAR 1995,USA,2,"Pista Basilio Rodriguez, Carolina (PUR)",18 MAR 2023,1172
15,16,1:14.41,Matthew SCHERER,21 NOV 1983,USA,1,"Eugene, OR (USA)",15 JUN 2008,1170
16,17,1:14.43,Duane SOLOMON,28 DEC 1984,USA,1,"Orlando, FL (USA)",29 MAR 2014,1169
17,18,1:14.47,Nick SYMMONDS,30 DEC 1983,USA,2,"Eugene, OR (USA)",15 JUN 2008,1168
18,19,1:14.52,Ryan SÁNCHEZ,22 JUN 1998,PUR,1,Gurabo (PUR),16 MAR 2019,1165
19,20,1:14.55,Adam KSZCZOT,02 SEP 1989,POL,1,Lahti (FIN),05 AUG 2009,1164
20,21,1:14.69,Adam KSZCZOT,02 SEP 1989,POL,2,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1158
21,22,1:14.72,André BUCHER,19 OCT 1976,SUI,1,Bellinzona (SUI),01 SEP 1999,1157
22,22,1:14.72,Gary REED,25 OCT 1981,CAN,2,Naimette-Xhovémont (BEL),02 SEP 2003,1157
23,24,1:14.79,Antonio Manuel REINA,13 JUN 1981,ESP,1,Avila (ESP),28 JUL 2012,1154
24,24,1:14.79,Mohamed Ali GOUANED,05 JUL 2002,ALG,1,"Stade Bateau Casse, Algiers (ALG)",26 MAR 2021,1154
25,26,1:14.84,James ROBINSON,27 AUG 1954,USA,2,"Sacramento, CA (USA)",21 JUL 1984,1152
26,26,1:14.84,Casimir LOXSOM,17 MAR 1991,USA,2,Burnaby (CAN),01 JUL 2013,1152
27,28,1:14.85,Wesley VÁZQUEZ,27 MAR 1994,PUR,1,Caguas (PUR),01 AUG 2020,1151
28,29,1:14.92,Wesley VÁZQUEZ,27 MAR 1994,PUR,2,"Orlando, FL (USA)",29 MAR 2014,1148
29,29,1:14.92,Charles JOCK,23 NOV 1989,USA,1,"Nashville, TN (USA)",04 JUN 2016,1148
30,29,1:14.92,Boitumelo MASILO,05 AUG 1995,BOT,2,"DP de Villiers Stadium, Sasolburg (RSA)",11 MAR 2023,1148
31,32,1:14.94,Wilfred BUNGEI,24 JUL 1980,KEN,2,Bellinzona (SUI),01 SEP 1999,1148
32,33,1:14.95,Steve HEARD,29 APR 1962,GBR,1,London (GBR),14 JUL 1991,1147
33,34,1:14.96,Casimir LOXSOM,17 MAR 1991,USA,2,"Nashville, TN (USA)",04 JUN 2016,1147
34,35,1:15.00,Glody DUBE,02 JUL 1978,BOT,1,Sydney (AUS),14 SEP 2000,1145
