"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,18:05.49,Hatem GHOULA,07 JUN 1973,TUN,1,Tunis (TUN),01 MAY 1997,1217
1,2,18:12.52,Declan TINGAY,06 FEB 1999,AUS,1,"Lakeside Stadium, Melbourne (AUS)",05 MAR 2023,1206
2,3,18:17.22,Robert KORZENIOWSKI,30 JUL 1968,POL,1,Reims (FRA),03 JUL 1992,1199
3,4,18:18.01,Yohann DINIZ,01 JAN 1978,FRA,1,Villeneuve d'Ascq (FRA),27 JUN 2008,1198
4,5,18:20.14,Koki IKEDA,03 MAY 1998,JPN,1,"Juntendo University Stadium, Inzai (JPN)",25 OCT 2020,1195
5,6,18:22.41,Yohann DINIZ,01 JAN 1978,FRA,1,Tourcoing (FRA),10 MAY 2015,1191
6,7,18:24.50,Declan TINGAY,06 FEB 1999,AUS,1,"Lakeside Stadium, Melbourne (AUS)",26 FEB 2022,1188
7,8,18:26.70,Yuta KOGA,15 JUL 1999,JPN,2,"Juntendo University Stadium, Inzai (JPN)",25 OCT 2020,1185
8,9,18:27.34,Francisco Javier FERNÁNDEZ,06 MAR 1977,ESP,1,Villeneuve d'Ascq (FRA),08 JUN 2007,1184
9,10,18:28.26,Masatora KAWANO,23 OCT 1998,JPN,3,"Juntendo University Stadium, Inzai (JPN)",25 OCT 2020,1183
10,11,18:28.80,Roman MRÁZEK,21 JAN 1962,TCH,1,Bratislava (TCH),14 JUN 1989,1182
11,12,18:30.43,Maurizio DAMILANO,06 APR 1957,ITA,1,Caserta (ITA),11 JUN 1992,1179
12,13,18:31.76,Frants KOSTYUKEVICH,04 APR 1963,BLR,1,Villeneuve d'Ascq (FRA),02 JUL 1993,1178
13,14,18:32.46,Erik TYSSE,04 DEC 1980,NOR,1,Askim (NOR),10 AUG 2007,1176
14,15,18:32.56,Perseus KARLSTRÖM,02 MAY 1990,SWE,1,Melbourne (AUS),08 MAR 2019,1176
15,16,18:33.16,João VIEIRA,20 FEB 1976,POR,1,Rio Maior (POR),10 MAY 2000,1175
16,17,18:33.32,Yohann DINIZ,01 JAN 1978,FRA,1,Reims (FRA),05 MAY 2013,1175
17,18,18:34.88,Toshikazu YAMANISHI,15 FEB 1996,JPN,1,"Prefectural Stadium, Kumagaya (JPN)",19 SEP 2020,1173
18,19,18:35.10,Yohann DINIZ,01 JAN 1978,FRA,1,Reims (FRA),17 MAY 2009,1173
19,19,18:35.10,Yohann DINIZ,01 JAN 1978,FRA,1,Reims (FRA),09 MAY 2010,1173
20,21,18:35.36,Eder SÁNCHEZ,21 MAY 1986,MEX,1,Katowice (POL),02 JUL 2014,1172
21,22,18:35.87,Robert KORZENIOWSKI,30 JUL 1968,POL,2,Villeneuve d'Ascq (FRA),02 JUL 1993,1171
22,23,18:35.96,Yohann DINIZ,01 JAN 1978,FRA,1,Reims (FRA),05 JUL 2011,1171
