"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,43.03,Wayde VAN NIEKERK,15 JUL 1992,RSA,1,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016,1321
1,2,43.18,Michael JOHNSON,13 SEP 1967,USA,1,"La Cartuja, Sevilla (ESP)",26 AUG 1999,1310
2,3,43.29,Butch REYNOLDS,08 JUN 1964,USA,1f1,"Letzigrund, Zürich (SUI)",17 AUG 1988,1301
3,4,43.39,Michael JOHNSON,13 SEP 1967,USA,1,"Ullevi Stadium, Göteborg (SWE)",09 AUG 1995,1294
4,5,43.44,Michael JOHNSON,13 SEP 1967,USA,1,"Atlanta, GA (USA)",19 JUN 1996,1291
5,6,43.45,Jeremy WARINER,31 JAN 1984,USA,1,"Yanmar Stadium Nagai, Osaka (JPN)",31 AUG 2007,1290
6,6,43.45,Michael NORMAN,03 DEC 1997,USA,1f3,"Torrance, CA (USA)",20 APR 2019,1290
7,8,43.48,Wayde VAN NIEKERK,15 JUL 1992,RSA,1,"National Stadium, Beijing (CHN)",26 AUG 2015,1288
8,8,43.48,Steven GARDINER,12 SEP 1995,BAH,1,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1288
9,10,43.49,Michael JOHNSON,13 SEP 1967,USA,1,"Olympic Stadium, Atlanta, GA (USA)",29 JUL 1996,1287
10,11,43.5,Quincy WATTS,19 JUN 1970,USA,1,"Estadio Olímpico, Barcelona (ESP)",05 AUG 1992,1286
11,11,43.5,Jeremy WARINER,31 JAN 1984,USA,1f1,Stockholm (SWE),07 AUG 2007,1286
12,13,43.56,Michael NORMAN,03 DEC 1997,USA,1,"Hayward Field, Eugene, OR (USA)",25 JUN 2022,1282
13,14,43.6,Michael NORMAN,03 DEC 1997,USA,1,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1279
14,15,43.61,Michael NORMAN,03 DEC 1997,USA,1,"Eugene, OR (USA)",08 JUN 2018,1278
15,16,43.62,Jeremy WARINER,31 JAN 1984,USA,1f1,"Stadio Olimpico, Roma (ITA)",14 JUL 2006,1278
16,16,43.62,Wayde VAN NIEKERK,15 JUL 1992,RSA,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2017,1278
17,18,43.64,Fred KERLEY,07 MAY 1995,USA,1,"Drake Stadium, Des Moines, IA (USA)",27 JUL 2019,1276
18,19,43.65,Michael JOHNSON,13 SEP 1967,USA,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",17 AUG 1993,1275
19,19,43.65,LaShawn MERRITT,27 JUN 1986,USA,2,"National Stadium, Beijing (CHN)",26 AUG 2015,1275
20,21,43.66,Michael JOHNSON,13 SEP 1967,USA,1,"Sacramento, CA (USA)",16 JUN 1995,1275
21,21,43.66,Michael JOHNSON,13 SEP 1967,USA,1f1,Lausanne (SUI),03 JUL 1996,1275
22,23,43.68,Michael JOHNSON,13 SEP 1967,USA,1f1,Zürich (SUI),12 AUG 1998,1273
23,23,43.68,Michael JOHNSON,13 SEP 1967,USA,1,"Sacramento, CA (USA)",16 JUL 2000,1273
24,25,43.7,Fred KERLEY,07 MAY 1995,USA,1sf1,"Austin, TX (USA)",26 MAY 2017,1272
25,25,43.7,Champion ALLISON,05 NOV 1998,USA,2,"Hayward Field, Eugene, OR (USA)",25 JUN 2022,1272
26,27,43.71,Quincy WATTS,19 JUN 1970,USA,1sf2,"Estadio Olímpico, Barcelona (ESP)",03 AUG 1992,1271
27,28,43.72,Isaac MAKWALA,24 SEP 1985,BOT,1f1,La Chaux-de-Fonds (SUI),05 JUL 2015,1270
