"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,1:16:36,Yusuke SUZUKI,02 JAN 1988,JPN,1,Nomi (JPN),15 MAR 2015,1266
1,2,1:16:43,Sergey MOROZOV,21 MAR 1988,RUS,1,Saransk (RUS),08 JUN 2008,1263
2,3,1:16:54,Kaihua WANG,16 FEB 1994,CHN,1,Huangshan (CHN),20 MAR 2021,1259
3,4,1:17:02,Yohann DINIZ,01 JAN 1978,FRA,1,Arles (FRA),08 MAR 2015,1256
4,5,1:17:15,Toshikazu YAMANISHI,15 FEB 1996,JPN,1,Nomi (JPN),17 MAR 2019,1251
5,6,1:17:16,Vladimir KANAYKIN,21 MAR 1985,RUS,1,Saransk (RUS),29 SEP 2007,1251
6,7,1:17:20,Toshikazu YAMANISHI,15 FEB 1996,JPN,1,Kobe (JPN),21 FEB 2021,1249
7,8,1:17:21,Jefferson PÉREZ,01 JUL 1974,ECU,1,"Stade de France, Paris-St-Denis (FRA)",23 AUG 2003,1249
8,9,1:17:22,Francisco Javier FERNÁNDEZ,06 MAR 1977,ESP,1,Turku (FIN),28 APR 2002,1249
9,10,1:17:23,Vladimir STANKIN,02 JAN 1974,RUS,1,"Adler, Sochi (RUS)",08 FEB 2004,1248
10,11,1:17:24,Yohann DINIZ,01 JAN 1978,FRA,1,Lugano (SUI),15 MAR 2015,1248
11,11,1:17:24,Masatora KAWANO,23 OCT 1998,JPN,2,Nomi (JPN),17 MAR 2019,1248
12,13,1:17:25,Sergey SHIROBOKOV,11 FEB 1999,RUS,1,Cheboksary (RUS),09 JUN 2018,1247
13,13,1:17:25,Koki IKEDA,03 MAY 1998,JPN,3,Nomi (JPN),17 MAR 2019,1247
14,15,1:17:26,Eiki TAKAHASHI,19 NOV 1992,JPN,1,Kobe (JPN),18 FEB 2018,1247
15,16,1:17:33,Nathan DEAKES,17 AUG 1977,AUS,1,Cixi City (CHN),23 APR 2005,1245
16,17,1:17:36,Vladimir KANAYKIN,21 MAR 1985,RUS,1,Cheboksary (RUS),17 JUN 2007,1243
17,17,1:17:36,Zhen WANG,24 AUG 1991,CHN,1,Taicang (CHN),30 MAR 2012,1243
18,17,1:17:36,Toshikazu YAMANISHI,15 FEB 1996,JPN,1,Kobe (JPN),16 FEB 2020,1243
19,20,1:17:38,Valeriy BORCHIN,11 SEP 1986,RUS,1,"Adler, Sochi (RUS)",28 FEB 2009,1243
20,20,1:17:38,Jun ZHANG,20 JUL 1998,CHN,1,Taicang (CHN),08 APR 2023,1243
21,22,1:17:39,Zelin CAI,11 APR 1991,CHN,2,Huangshan (CHN),20 MAR 2021,1242
22,22,1:17:39,Jun ZHANG,20 JUL 1998,CHN,3,Huangshan (CHN),20 MAR 2021,1242
23,24,1:17:40,Ding CHEN,05 AUG 1992,CHN,2,Taicang (CHN),30 MAR 2012,1242
24,25,1:17:41,Hongjun ZHU,18 AUG 1983,CHN,2,Cixi City (CHN),23 APR 2005,1242
25,25,1:17:41,Toshikazu YAMANISHI,15 FEB 1996,JPN,2,Kobe (JPN),18 FEB 2018,1242
26,25,1:17:41,Toshikazu YAMANISHI,15 FEB 1996,JPN,1,La Coruña (ESP),08 JUN 2019,1242
27,28,1:17:43,Yohann DINIZ,01 JAN 1978,FRA,1,Lugano (SUI),18 MAR 2012,1241
28,29,1:17:45,Massimo STANO,27 FEB 1992,ITA,2,La Coruña (ESP),08 JUN 2019,1240
29,30,1:17:46,Julio MARTÍNEZ,27 SEP 1973,GUA,1,Eisenhüttenstadt (GER),08 MAY 1999,1240
30,30,1:17:46,Roman RASSKAZOV,28 APR 1979,RUS,1,Moskva (RUS),19 MAY 2000,1240
31,30,1:17:46,Daisuke MATSUNAGA,24 MAR 1995,JPN,3,Kobe (JPN),18 FEB 2018,1240
32,33,1:17:47,Yusuke SUZUKI,02 JAN 1988,JPN,4,Nomi (JPN),17 MAR 2019,1239
33,33,1:17:47,Vasiliy MIZINOV,29 DEC 1997,ANA,1,Sochi (RUS),31 JAN 2022,1239
34,35,1:17:52,Francisco Javier FERNÁNDEZ,06 MAR 1977,ESP,1,La Coruña (ESP),04 JUN 2005,1238
35,35,1:17:52,Isamu FUJISAWA,12 OCT 1987,JPN,5,Nomi (JPN),17 MAR 2019,1238
36,35,1:17:52,Lihong CUI,13 MAY 1999,CHN,4,Huangshan (CHN),20 MAR 2021,1238
37,38,1:17:53,Zhide CUI,11 JAN 1983,CHN,3,Cixi City (CHN),23 APR 2005,1237
38,39,1:17:54,Kaihua WANG,16 FEB 1994,CHN,1,Huangshan (CHN),04 MAR 2017,1237
39,39,1:17:54,Yusuke SUZUKI,02 JAN 1988,JPN,3,La Coruña (ESP),08 JUN 2019,1237
40,41,1:17:55,Valeriy BORCHIN,11 SEP 1986,RUS,1,"Adler, Sochi (RUS)",23 FEB 2008,1236
41,42,1:17:56,Alejandro LÓPEZ,09 FEB 1975,MEX,2,Eisenhüttenstadt (GER),08 MAY 1999,1236
42,43,1:18:00,Francisco Javier FERNÁNDEZ,06 MAR 1977,ESP,2,"Stade de France, Paris-St-Denis (FRA)",23 AUG 2003,1235
43,43,1:18:00,Zhen WANG,24 AUG 1991,CHN,1,La Coruña (ESP),06 JUN 2015,1235
44,43,1:18:00,Eiki TAKAHASHI,19 NOV 1992,JPN,1,Kobe (JPN),17 FEB 2019,1235
45,46,1:18:01,Koki IKEDA,03 MAY 1998,JPN,2,Kobe (JPN),17 FEB 2019,1234
