"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,2:21:31,Vladimir KANAYKIN,21 MAR 1985,RUS,1.0,"Adler, Sochi (RUS)",19 FEB 2006,1257
1,2,2:22:55,Xianghong HE,01 JUL 1998,CHN,1.0,Huangshan (CHN),04 MAR 2023,1242
2,3,2:23:13,Tomohiro NODA,24 JAN 1996,JPN,1.0,"Wajima Race Walk Course, Wajima (JPN)",16 APR 2023,1239
3,4,2:23:14,Massimo STANO,27 FEB 1992,ITA,1.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022,1239
4,5,2:23:15,Masatora KAWANO,23 OCT 1998,JPN,2.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022,1238
5,6,2:23:44,Perseus KARLSTRÖM,02 MAY 1990,SWE,3.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022,1233
6,7,2:24:19,Sergey KOZHEVNIKOV,09 MAY 2001,RUS,1.0,"Avtodrom, Sochi (RUS)",13 FEB 2023,1227
7,8,2:24:25,Sergey BAKULIN,13 NOV 1986,RUS,1.0,"Adler, Sochi (RUS)",01 MAR 2009,1226
8,9,2:24:37,Brian Daniel PINTADO,29 JUL 1995,ECU,4.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022,1224
9,10,2:24:45,Xianghong HE,01 JUL 1998,CHN,5.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022,1223
10,11,2:24:53,Sergey BAKULIN,13 NOV 1986,RUS,1.0,Sochi (RUS),19 FEB 2018,1221
11,12,2:24:56,Denis NIZHEGORODOV,26 JUL 1980,RUS,2.0,"Adler, Sochi (RUS)",01 MAR 2009,1221
12,13,2:25:02,Evan DUNFEE,28 SEP 1990,CAN,6.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022,1220
13,14,2:25:14,Caio BONFIM,19 MAR 1991,BRA,7.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022,1218
14,15,2:25:19,Andrey RUZAVIN,28 MAR 1986,RUS,3.0,"Adler, Sochi (RUS)",01 MAR 2009,1217
15,16,2:25:21,Eider ARÉVALO,09 MAR 1993,COL,8.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022,1217
16,17,2:25:29,Tomohiro NODA,24 JAN 1996,JPN,9.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022,1215
17,18,2:25:35,Álvaro MARTÍN,18 JUN 1994,ESP,1.0,Poděbrady (CZE),21 MAY 2023,1214
18,19,2:25:49,Satoshi MARUO,28 NOV 1991,JPN,2.0,"Wajima Race Walk Course, Wajima (JPN)",16 APR 2023,1212
19,20,2:25:58,Mikhail RYZHOV,17 DEC 1991,RUS,1.0,Sochi (RUS),18 FEB 2012,1210
20,20,2:25:58,Miguel Ángel LÓPEZ,03 JUL 1988,ESP,10.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022,1210
21,22,2:25:59,Vladimir KANAYKIN,21 MAR 1985,RUS,1.0,"Adler, Sochi (RUS)",23 FEB 2008,1210
22,23,2:26:10,Qin WANG,08 MAY 1994,CHN,2.0,Huangshan (CHN),04 MAR 2023,1208
23,24,2:26:16,Alex SCHWAZER,26 NOV 1984,ITA,1.0,Montalto di Castro (ITA),24 JAN 2010,1207
24,25,2:26:18,Toshikazu YAMANISHI,15 FEB 1996,JPN,1.0,Takahata (JPN),23 OCT 2022,1207
25,26,2:26:29,Yuriy ANDRONOV,06 NOV 1971,RUS,4.0,"Adler, Sochi (RUS)",01 MAR 2009,1205
26,27,2:26:32,Ivan NOSKOV,16 JUL 1988,RUS,2.0,Sochi (RUS),18 FEB 2012,1204
27,28,2:26:37,José Luis DOCTOR,14 JUN 1996,MEX,1.0,Dudince (SVK),25 MAR 2023,1203
28,29,2:26:40,Masatora KAWANO,23 OCT 1998,JPN,1.0,Wajima (JPN),17 APR 2022,1203
29,29,2:26:40,Sergey KOZHEVNIKOV,09 MAY 2001,RUS,1.0,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",27 AUG 2022,1203
30,31,2:26:49,Miguel Ángel LÓPEZ,03 JUL 1988,ESP,1.0,"Odeonplatz, München (GER)",16 AUG 2022,1201
31,32,2:26:51,Masatora KAWANO,23 OCT 1998,JPN,3.0,"Wajima Race Walk Course, Wajima (JPN)",16 APR 2023,1201
32,33,2:27:05,Christopher LINKE,24 OCT 1988,GER,2.0,Poděbrady (CZE),21 MAY 2023,1199
33,34,2:27:07,Sergey SHARYPOV,14 APR 1992,RUS,1.0,Sochi (RUS),18 FEB 2017,1198
34,35,2:27:08,Denis NIZHEGORODOV,26 JUL 1980,RUS,1.0,Sochi (RUS),26 FEB 2011,1198
35,36,2:27:09,Daisuke MATSUNAGA,24 MAR 1995,JPN,2.0,Wajima (JPN),17 APR 2022,1198
36,37,2:27:11,Ricardo ORTIZ,07 FEB 1995,MEX,11.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022,1198
37,38,2:27:12,Igor YEROKHIN,04 SEP 1985,RUS,2.0,"Adler, Sochi (RUS)",23 FEB 2008,1197
38,39,2:27:16,Sergey KOZHEVNIKOV,09 MAY 2001,RUS,1.0,Sochi (RUS),31 JAN 2022,1197
39,40,2:27:18,Tomohiro NODA,24 JAN 1996,JPN,3.0,Wajima (JPN),17 APR 2022,1196
40,41,2:27:22,Sergey KIRDYAPKIN,18 JUN 1980,RUS,5.0,"Adler, Sochi (RUS)",01 MAR 2009,1196
41,42,2:27:26,Dementiy CHEPAREV,28 OCT 1992,RUS,1.0,Sochi (RUS),17 FEB 2020,1195
42,43,2:27:29,Sergey KOZHEVNIKOV,09 MAY 2001,RUS,1.0,Cheboksary (RUS),21 MAY 2022,1195
43,44,2:27:30,Caio BONFIM,19 MAR 1991,BRA,2.0,Dudince (SVK),25 MAR 2023,1194
44,45,2:27:33,Satoshi MARUO,28 NOV 1991,JPN,2.0,Takahata (JPN),23 OCT 2022,1194
45,45,2:27:33,Miguel Ángel LÓPEZ,03 JUL 1988,ESP,3.0,Poděbrady (CZE),21 MAY 2023,1194
46,45,2:27:33,Rhydian COWLEY,04 JAN 1991,AUS,1.0,"Albert Park, Melbourne (AUS)",21 MAY 2023,1194
47,48,2:27:41,Kirill FROLOV,29 SEP 1993,RUS,2.0,Sochi (RUS),17 FEB 2020,1192
48,49,2:27:42,Sergey BAKULIN,13 NOV 1986,RUS,1.0,Sochi (RUS),20 FEB 2010,1192
49,50,2:27:48,Aleksandr GARIN,28 DEC 1999,RUS,2.0,Cheboksary (RUS),21 MAY 2022,1191
50,51,2:27:50,Aleksey BARTSAYKIN,22 MAR 1989,RUS,3.0,Sochi (RUS),18 FEB 2012,1191
51,52,2:27:52,Denis STRELKOV,26 OCT 1990,RUS,2.0,Sochi (RUS),26 FEB 2011,1191
52,52,2:27:52,Sergey KOZHEVNIKOV,09 MAY 2001,RUS,1.0,Saransk (RUS),20 MAY 2023,1191
53,54,2:27:53,Miguel Ángel LÓPEZ,03 JUL 1988,ESP,1.0,Lepe (ESP),30 JAN 2022,1190
54,55,2:27:55,Ever Jair PALMA OLIVARES,18 MAR 1992,MEX,12.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022,1190
55,56,2:27:59,Andrey RUZAVIN,28 MAR 1986,RUS,3.0,"Adler, Sochi (RUS)",23 FEB 2008,1189
56,57,2:28:00,Denis NIZHEGORODOV,26 JUL 1980,RUS,4.0,"Adler, Sochi (RUS)",23 FEB 2008,1189
57,57,2:28:00,Dementiy CHEPAREV,28 OCT 1992,RUS,2.0,Sochi (RUS),18 FEB 2017,1189
58,59,2:28:10,Alex SCHWAZER,26 NOV 1984,ITA,1.0,Latina (ITA),29 JAN 2012,1188
59,60,2:28:11,Yuriy ANDRONOV,06 NOV 1971,RUS,4.0,Sochi (RUS),18 FEB 2012,1187
60,61,2:28:14,Sergey SHARYPOV,14 APR 1992,RUS,3.0,Sochi (RUS),17 FEB 2020,1187
61,62,2:28:16,Álvaro MARTÍN,18 JUN 1994,ESP,1.0,Cieza (ESP),26 FEB 2023,1186
62,63,2:28:17,Andrey RUZAVIN,28 MAR 1986,RUS,3.0,Sochi (RUS),26 FEB 2011,1186
63,64,2:28:19,Aleksandr GARIN,28 DEC 1999,RUS,2.0,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",27 AUG 2022,1186
64,64,2:28:19,Karl JUNGHANNß,06 APR 1996,GER,1.0,"Domplatz, Erfurt (GER)",15 APR 2023,1186
65,66,2:28:22,Aleksi OJALA,09 DEC 1992,FIN,13.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022,1185
66,67,2:28:28,Sergey KIRDYAPKIN,18 JUN 1980,RUS,5.0,"Adler, Sochi (RUS)",23 FEB 2008,1184
67,68,2:28:29,Sergey BAKULIN,13 NOV 1986,RUS,1.0,Sochi (RUS),27 FEB 2016,1184
68,69,2:28:30,Robert KORZENIOWSKI,30 JUL 1968,POL,1.0,Eschborn (GER),12 JUN 1993,1184
69,70,2:28:31,Kirill FROLOV,29 SEP 1993,RUS,3.0,Cheboksary (RUS),21 MAY 2022,1184
70,71,2:28:46,Aurélien QUINION,27 JAN 1993,FRA,14.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022,1181
71,72,2:28:49,Dementiy CHEPAREV,28 OCT 1992,RUS,1.0,Kostroma (RUS),03 SEP 2016,1181
72,73,2:28:53,Marco DE LUCA,12 MAY 1981,ITA,2.0,Montalto di Castro (ITA),24 JAN 2010,1180
73,73,2:28:53,Hayato KATSUKI,28 NOV 1990,JPN,4.0,"Wajima Race Walk Course, Wajima (JPN)",16 APR 2023,1180
74,75,2:28:56,Yangben ZHAXI,15 APR 1996,CHN,15.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022,1180
75,75,2:28:56,Aleksey KUDASHKIN,01 FEB 1997,RUS,2.0,"Avtodrom, Sochi (RUS)",13 FEB 2023,1180
76,77,2:28:58,Dementiy CHEPAREV,28 OCT 1992,RUS,2.0,Sochi (RUS),19 FEB 2018,1179
77,78,2:29:00,Lihong CUI,13 MAY 1999,CHN,3.0,Dudince (SVK),25 MAR 2023,1179
78,79,2:29:04,Ivan NOSKOV,16 JUL 1988,RUS,1.0,Sochi (RUS),23 FEB 2013,1178
79,79,2:29:04,Diego GARCÍA CARRERA,19 JAN 1996,ESP,2.0,Cieza (ESP),26 FEB 2023,1178
80,79,2:29:04,Veli-Matti PARTANEN,28 OCT 1991,FIN,1.0,Lappeenranta (FIN),22 APR 2023,1178
81,82,2:29:09,Massimo STANO,27 FEB 1992,ITA,1.0,Dudince (SVK),23 APR 2022,1177
82,83,2:29:15,Evan DUNFEE,28 SEP 1990,CAN,4.0,Dudince (SVK),25 MAR 2023,1176
83,84,2:29:19,Denis NIZHEGORODOV,26 JUL 1980,RUS,3.0,Sochi (RUS),18 FEB 2017,1176
84,84,2:29:19,Satoshi MARUO,28 NOV 1991,JPN,4.0,Wajima (JPN),17 APR 2022,1176
85,86,2:29:24,José Luis DOCTOR,14 JUN 1996,MEX,2.0,Dudince (SVK),23 APR 2022,1175
86,86,2:29:24,César Augusto RODRÍGUEZ,26 JUN 1997,PER,16.0,"Autzen Complex, Eugene, OR (USA)",24 JUL 2022,1175
87,88,2:29:26,Aleksandr GARIN,28 DEC 1999,RUS,2.0,Saransk (RUS),20 MAY 2023,1175
88,89,2:29:28,Yohann DINIZ,01 JAN 1978,FRA,1.0,Epinal (FRA),17 MAR 2019,1174
89,90,2:29:30,Christopher LINKE,24 OCT 1988,GER,2.0,"Odeonplatz, München (GER)",16 AUG 2022,1174
90,91,2:29:31,Kevin CAMPION,23 MAY 1988,FRA,1.0,Zittau (GER),29 OCT 2022,1174
91,92,2:29:32,Sergey SHARYPOV,14 APR 1992,RUS,3.0,Sochi (RUS),19 FEB 2018,1174
92,92,2:29:32,Aurélien QUINION,27 JAN 1993,FRA,4.0,Poděbrady (CZE),21 MAY 2023,1174
93,94,2:29:33,Sergey SHARYPOV,14 APR 1992,RUS,1.0,Sochi (RUS),27 FEB 2015,1173
94,95,2:29:35,Xianghong HE,01 JUL 1998,CHN,3.0,Dudince (SVK),23 APR 2022,1173
95,96,2:29:36,Yuriy ANDRONOV,06 NOV 1971,RUS,6.0,"Adler, Sochi (RUS)",23 FEB 2008,1173
96,96,2:29:36,Yangben ZHAXI,15 APR 1996,CHN,3.0,Huangshan (CHN),04 MAR 2023,1173
97,98,2:29:38,Marc TUR,30 NOV 1994,ESP,3.0,Cieza (ESP),26 FEB 2023,1173
98,99,2:29:42,Ivan NOSKOV,16 JUL 1988,RUS,4.0,Sochi (RUS),17 FEB 2020,1172
99,100,2:29:51,Nikolay MAKSIMOV,21 DEC 1999,RUS,3.0,"Avtodrom, Sochi (RUS)",13 FEB 2023,1170
