"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,7:20.67,Daniel KOMEN,17 MAY 1976,KEN,1,Rieti (ITA),01 SEP 1996,1299
1,2,7:23.09,Hicham EL GUERROUJ,14 SEP 1974,MAR,1,Bruxelles (BEL),03 SEP 1999,1283
2,3,7:24.00,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,,"Stade Charléty, Paris (FRA)",09 JUN 2023,1278
3,4,7:25.02,Ali SAIDI-SIEF,15 MAR 1978,ALG,1,"Stade Louis II, Monaco (MON)",18 AUG 2000,1271
4,5,7:25.09,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Bruxelles (BEL),28 AUG 1998,1271
5,6,7:25.11,Noureddine MORCELI,28 FEB 1970,ALG,1,"Stade Louis II, Monaco (MON)",02 AUG 1994,1270
6,7,7:25.16,Daniel KOMEN,17 MAY 1976,KEN,1,Monaco (MON),10 AUG 1996,1270
7,8,7:25.54,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"Stade Louis II, Monaco (MON)",08 AUG 1998,1268
8,9,7:25.79,Kenenisa BEKELE,13 JUN 1982,ETH,1,Stockholm (SWE),07 AUG 2007,1266
9,10,7:25.87,Daniel KOMEN,17 MAY 1976,KEN,1,Bruxelles (BEL),23 AUG 1996,1266
10,11,7:25.93,Thierry NDIKUMWENAYO,26 MAR 1997,BDI,1,"Stade Louis II, Monaco (MON)",10 AUG 2022,1265
11,12,7:26.02,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Bruxelles (BEL),22 AUG 1997,1265
12,13,7:26.03,Haile GEBRSELASSIE,18 APR 1973,ETH,1,Helsinki (FIN),10 JUN 1999,1264
13,14,7:26.18,Lamecha GIRMA,26 NOV 2000,ETH,1,"Suhaim bin Hamad Stadium, Doha (QAT)",05 MAY 2023,1264
14,15,7:26.25,Yomif KEJELCHA,01 AUG 1997,ETH,1,"Bislett Stadion, Oslo (NOR)",01 JUL 2021,1263
15,16,7:26.62,Mohammed MOURHIT,10 OCT 1970,BEL,2,"Stade Louis II, Monaco (MON)",18 AUG 2000,1261
16,17,7:26.64,Jacob KIPLIMO,14 NOV 2000,UGA,1,"Stadio Olimpico, Roma (ITA)",17 SEP 2020,1261
17,18,7:26.69,Kenenisa BEKELE,13 JUN 1982,ETH,1,"EIS Don Valley Stadium, Sheffield (GBR)",15 JUL 2007,1260
18,19,7:26.81,Berihu AREGAWI,28 FEB 2001,ETH,2,"Stade Louis II, Monaco (MON)",10 AUG 2022,1259
19,20,7:27.05,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,2,"Stadio Olimpico, Roma (ITA)",17 SEP 2020,1258
20,21,7:27.16,Selemon BAREGA,20 JAN 2000,ETH,2,"Suhaim bin Hamad Stadium, Doha (QAT)",05 MAY 2023,1257
21,22,7:27.18,Moses KIPTANUI,01 OCT 1970,KEN,1,"Stade Louis II, Monaco (MON)",25 JUL 1995,1257
22,23,7:27.26,Yenew ALAMIREW,27 MAY 1990,ETH,1,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2011,1257
23,24,7:27.42,Haile GEBRSELASSIE,18 APR 1973,ETH,1,"Bislett Stadion, Oslo (NOR)",09 JUL 1998,1256
24,25,7:27.50,Noureddine MORCELI,28 FEB 1970,ALG,1,Bruxelles (BEL),25 AUG 1995,1255
25,26,7:27.55,Edwin Cheruiyot SOI,03 MAR 1986,KEN,2,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2011,1255
26,27,7:27.59,Luke KIPKOSGEI,27 NOV 1975,KEN,2,"Stade Louis II, Monaco (MON)",08 AUG 1998,1254
27,28,7:27.61,Berihu AREGAWI,28 FEB 2001,ETH,3,"Suhaim bin Hamad Stadium, Doha (QAT)",05 MAY 2023,1254
28,29,7:27.64,Mohamed KATIR,17 FEB 1998,ESP,1,"International Stadium, Gateshead (GBR)",13 JUL 2021,1254
29,30,7:27.66,Eliud KIPCHOGE,05 NOV 1984,KEN,3,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2011,1254
30,31,7:27.67,Ali SAIDI-SIEF,15 MAR 1978,ALG,1,Paris (FRA),23 JUN 2000,1254
31,32,7:27.72,Eliud KIPCHOGE,05 NOV 1984,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2004,1254
32,33,7:27.75,Tom NYARIKI,27 SEP 1971,KEN,2,Monaco (MON),10 AUG 1996,1253
33,34,7:28.00,Yomif KEJELCHA,01 AUG 1997,ETH,1f1,Göteborg (SWE),18 AUG 2018,1252
34,35,7:28.02,Stewart MCSWEYN,01 JUN 1995,AUS,3,"Stadio Olimpico, Roma (ITA)",17 SEP 2020,1252
35,36,7:28.04,Moses KIPTANUI,01 OCT 1970,KEN,1,Köln (GER),18 AUG 1995,1252
36,37,7:28.19,Yomif KEJELCHA,01 AUG 1997,ETH,1,Paris (FRA),27 AUG 2016,1251
37,38,7:28.28,Luke KIPKOSGEI,27 NOV 1975,KEN,2,"Bislett Stadion, Oslo (NOR)",09 JUL 1998,1250
38,38,7:28.28,James Kwalia C'KURUI,12 JUN 1984,KEN,2,"Boudewijnstadion, Bruxelles (BEL)",03 SEP 2004,1250
39,40,7:28.37,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Doha (QAT),08 MAY 2009,1249
40,41,7:28.41,Paul BITOK,26 JUN 1970,KEN,3,Monaco (MON),10 AUG 1996,1249
41,42,7:28.45,Assefa MEZGEBU,19 JUN 1978,ETH,3,"Stade Louis II, Monaco (MON)",08 AUG 1998,1249
42,43,7:28.48,Grant FISHER,22 APR 1997,USA,3,"Stade Louis II, Monaco (MON)",10 AUG 2022,1249
43,44,7:28.56,Eliud KIPCHOGE,05 NOV 1984,KEN,1,Doha (QAT),13 MAY 2005,1248
44,45,7:28.64,Kenenisa BEKELE,13 JUN 1982,ETH,1,Paris-St-Denis (FRA),17 JUL 2009,1248
45,46,7:28.67,Benjamin LIMO,23 AUG 1974,KEN,1,"Stade Louis II, Monaco (MON)",04 AUG 1999,1248
