"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,1:23:39,Yelena LASHMANOVA,09 APR 1992,RUS,1,Cheboksary (RUS),09 JUN 2018,1251
1,2,1:23:49,Jiayu YANG,18 FEB 1996,CHN,1,Huangshan (CHN),20 MAR 2021,1248
2,3,1:24:27,Hong LIU,12 MAY 1987,CHN,2,Huangshan (CHN),20 MAR 2021,1236
3,4,1:24:31,Yelena LASHMANOVA,09 APR 1992,RUS,1,Sochi (RUS),18 FEB 2019,1235
4,5,1:24:38,Hong LIU,12 MAY 1987,CHN,1,La Coruña (ESP),06 JUN 2015,1233
5,6,1:24:45,Shijie QIEYANG,11 NOV 1990,CHN,3,Huangshan (CHN),20 MAR 2021,1231
6,7,1:24:47,Elmira ALEMBEKOVA,30 JUN 1990,RUS,1,Sochi (RUS),27 FEB 2015,1230
7,8,1:24:50,Olimpiada IVANOVA,29 AUG 1970,RUS,1,"Adler, Sochi (RUS)",04 MAR 2001,1229
8,9,1:24:56,Olga KANISKINA,19 JAN 1985,RUS,1,"Adler, Sochi (RUS)",28 FEB 2009,1228
9,10,1:24:58,Yelena LASHMANOVA,09 APR 1992,RUS,1,Cheboksary (RUS),25 JUN 2016,1227
10,11,1:25:03,Marina NOVIKOVA,01 MAR 1989,RUS,2,Sochi (RUS),27 FEB 2015,1225
11,12,1:25:04,Svetlana VASILYEVA,24 JUL 1992,RUS,3,Sochi (RUS),27 FEB 2015,1225
12,13,1:25:08,Vera SOKOLOVA,23 JUN 1987,RUS,1,Sochi (RUS),26 FEB 2011,1224
13,14,1:25:11,Olga KANISKINA,19 JAN 1985,RUS,1,"Adler, Sochi (RUS)",23 FEB 2008,1223
14,14,1:25:11,Anisiya KORNIKOVA-KIRDYAPKINA,23 OCT 1989,RUS,1,Sochi (RUS),20 FEB 2010,1223
15,16,1:25:12,Xiuzhi LYU,26 OCT 1993,CHN,1,Beijing (CHN),20 MAR 2015,1223
16,17,1:25:16,Shijie QIEYANG,11 NOV 1990,CHN,1,"Olympic Stadium, London (GBR)",11 AUG 2012,1222
17,18,1:25:18,Tatyana GUDKOVA,23 JAN 1978,RUS,1,Moskva (RUS),19 MAY 2000,1221
18,18,1:25:18,Yelena LASHMANOVA,09 APR 1992,RUS,1,Sochi (RUS),18 FEB 2017,1221
19,20,1:25:20,Olga POLYAKOVA,23 SEP 1980,RUS,2,Moskva (RUS),19 MAY 2000,1220
20,21,1:25:22,Yekaterina MEDVEDEVA,29 MAR 1994,RUS,2,Sochi (RUS),18 FEB 2017,1220
21,22,1:25:26,Vera SOKOLOVA,23 JUN 1987,RUS,2,"Adler, Sochi (RUS)",28 FEB 2009,1219
22,22,1:25:26,Anisiya KORNIKOVA-KIRDYAPKINA,23 OCT 1989,RUS,3,"Adler, Sochi (RUS)",28 FEB 2009,1219
23,24,1:25:27,Elmira ALEMBEKOVA,30 JUN 1990,RUS,1,Sochi (RUS),18 FEB 2012,1218
24,25,1:25:29,Irina STANKINA,25 MAR 1977,RUS,3,Moskva (RUS),19 MAY 2000,1218
25,25,1:25:29,Glenda MOREJÓN,30 MAY 2000,ECU,1,La Coruña (ESP),08 JUN 2019,1218
26,27,1:25:30,Anisiya KORNIKOVA-KIRDYAPKINA,23 OCT 1989,RUS,2,"Adler, Sochi (RUS)",23 FEB 2008,1217
27,27,1:25:30,María PÉREZ,29 APR 1996,ESP,1,Córdoba (ESP),26 MAR 2023,1217
28,29,1:25:32,Yelena SHUMKINA,24 JAN 1988,RUS,4,"Adler, Sochi (RUS)",28 FEB 2009,1217
29,30,1:25:34,Jiayu YANG,18 FEB 1996,CHN,2,La Coruña (ESP),08 JUN 2019,1216
30,31,1:25:35,Vera SOKOLOVA,23 JUN 1987,RUS,2,Sochi (RUS),20 FEB 2010,1216
31,32,1:25:37,Shijie QIEYANG,11 NOV 1990,CHN,1,Huangshan (CHN),10 MAR 2019,1215
32,33,1:25:38,Vera SOKOLOVA,23 JUN 1987,RUS,4,Sochi (RUS),27 FEB 2015,1215
33,34,1:25:41,Olimpiada IVANOVA,29 AUG 1970,RUS,1,"Olympiastadion, Helsinki (FIN)",07 AUG 2005,1214
34,34,1:25:41,Yelena LASHMANOVA,09 APR 1992,RUS,1,Sochi (RUS),19 FEB 2021,1214
35,36,1:25:42,Olga KANISKINA,19 JAN 1985,RUS,1,Cheboksary (RUS),11 MAY 2008,1214
36,37,1:25:46,Tatyana SHEMYAKINA,03 SEP 1987,RUS,3,"Adler, Sochi (RUS)",23 FEB 2008,1213
37,37,1:25:46,Hong LIU,12 MAY 1987,CHN,1,Taicang (CHN),30 MAR 2012,1213
38,39,1:25:51,Xiuzhi LYU,26 OCT 1993,CHN,4,Huangshan (CHN),20 MAR 2021,1211
39,40,1:25:52,Larisa YEMELYANOVA,06 JAN 1980,RUS,5,"Adler, Sochi (RUS)",28 FEB 2009,1211
40,40,1:25:52,Tatyana SIBILEVA,17 MAY 1980,RUS,3,Sochi (RUS),20 FEB 2010,1211
41,42,1:25:54,Olga KANISKINA,19 JAN 1985,RUS,1,Sochi (RUS),27 FEB 2016,1210
42,43,1:25:56,Hong LIU,12 MAY 1987,CHN,1,Huangshan (CHN),06 MAR 2016,1210
43,43,1:25:56,Hong LIU,12 MAY 1987,CHN,3,La Coruña (ESP),08 JUN 2019,1210
44,45,1:25:59,Tamara KOVALENKO,05 JUN 1964,RUS,4,Moskva (RUS),19 MAY 2000,1209
45,45,1:25:59,Liujing YANG,22 AUG 1998,CHN,5,Huangshan (CHN),20 MAR 2021,1209
46,47,1:26:00,Hong LIU,12 MAY 1987,CHN,2,"Olympic Stadium, London (GBR)",11 AUG 2012,1208
47,47,1:26:00,Vera SOKOLOVA,23 JUN 1987,RUS,1,Sochi (RUS),23 FEB 2013,1208
48,49,1:26:02,Olga KANISKINA,19 JAN 1985,RUS,1,"Adler, Sochi (RUS)",19 FEB 2006,1208
49,50,1:26:08,Olimpiada IVANOVA,29 AUG 1970,RUS,5,Moskva (RUS),19 MAY 2000,1206
50,51,1:26:11,Margarita TURAVA,20 DEC 1980,BLR,1,Nesvizh (BLR),15 APR 2006,1205
51,52,1:26:12,Elvira CHEPAREVA,10 JAN 2000,ANA,1,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",27 AUG 2022,1205
52,53,1:26:14,Irina PETROVA,25 MAY 1985,RUS,2,"Adler, Sochi (RUS)",19 FEB 2006,1204
53,54,1:26:15,Elmira ALEMBEKOVA,30 JUN 1990,RUS,1,Murcia (ESP),17 MAY 2015,1204
54,55,1:26:16,Tatyana SIBILEVA,17 MAY 1980,RUS,4,"Adler, Sochi (RUS)",23 FEB 2008,1203
55,55,1:26:16,Lyudmila ARKHIPOVA,12 SEP 1980,RUS,5,"Adler, Sochi (RUS)",23 FEB 2008,1203
56,57,1:26:17,Eleonora Anna GIORGI,14 SEP 1989,ITA,2,Murcia (ESP),17 MAY 2015,1203
57,57,1:26:17,María Guadalupe GONZÁLEZ ROMERO,09 JAN 1989,MEX,1,Roma (ITA),07 MAY 2016,1203
58,59,1:26:18,Jiayu YANG,18 FEB 1996,CHN,1,"Olympic Stadium, London (GBR)",13 AUG 2017,1203
59,60,1:26:19,María Guadalupe GONZÁLEZ ROMERO,09 JAN 1989,MEX,2,"Olympic Stadium, London (GBR)",13 AUG 2017,1203
60,61,1:26:22,Wang YAN,02 MAY 1971,CHN,1,Guangzhou (CHN),19 NOV 2001,1202
61,61,1:26:22,Yelena NIKOLAYEVA,01 FEB 1966,RUS,1,Cheboksary (RUS),18 MAY 2003,1202
62,63,1:26:23,Liping WANG,08 JUL 1976,CHN,2,Guangzhou (CHN),19 NOV 2001,1201
63,63,1:26:23,Yelena LASHMANOVA,09 APR 1992,RUS,1,Sochi (RUS),19 FEB 2018,1201
64,65,1:26:27,Margarita TURAVA,20 DEC 1980,BLR,1,La Coruña (ESP),13 MAY 2006,1200
65,65,1:26:27,Sofiya BRODATSKAYA,24 OCT 1994,RUS,3,Sochi (RUS),18 FEB 2017,1200
66,67,1:26:28,Irina PUDOVKINA,11 FEB 1980,RUS,1,Sochi (RUS),12 MAR 2005,1200
67,67,1:26:28,Xiuzhi LYU,26 OCT 1993,CHN,1,Huangshan (CHN),04 MAR 2017,1200
68,67,1:26:28,Shijie QIEYANG,11 NOV 1990,CHN,1,La Coruña (ESP),02 JUN 2018,1200
69,70,1:26:29,Tatyana SIBILEVA,17 MAY 1980,RUS,2,Cheboksary (RUS),11 MAY 2008,1200
70,70,1:26:29,Na WANG,29 MAY 1995,CHN,2,Huangshan (CHN),04 MAR 2017,1200
71,72,1:26:31,Olga KANISKINA,19 JAN 1985,RUS,1,"National Stadium, Beijing (CHN)",21 AUG 2008,1199
72,72,1:26:31,Anisiya KORNIKOVA-KIRDYAPKINA,23 OCT 1989,RUS,1,Taicang (CHN),03 MAY 2014,1199
73,72,1:26:31,Svetlana VASILYEVA,24 JUL 1992,RUS,3,Murcia (ESP),17 MAY 2015,1199
74,75,1:26:32,Anisiya KORNIKOVA-KIRDYAPKINA,23 OCT 1989,RUS,1,Cheboksary (RUS),12 JUN 2010,1199
75,76,1:26:35,Hongyu LIU,11 JAN 1975,CHN,3,Guangzhou (CHN),19 NOV 2001,1198
76,76,1:26:35,Jiayu YANG,18 FEB 1996,CHN,3,Huangshan (CHN),04 MAR 2017,1198
77,78,1:26:36,Tatyana KALMYKOVA,10 JAN 1990,RUS,1,Saransk (RUS),08 JUN 2008,1197
78,78,1:26:36,Antonella PALMISANO,06 AUG 1991,ITA,3,"Olympic Stadium, London (GBR)",13 AUG 2017,1197
79,78,1:26:36,María PÉREZ,29 APR 1996,ESP,1,"Olympiastadion, Berlin (GER)",11 AUG 2018,1197
80,81,1:26:38,María Guadalupe GONZÁLEZ ROMERO,09 JAN 1989,MEX,1,Taicang (CHN),05 MAY 2018,1197
81,82,1:26:40,Yekaterina MEDVEDEVA,29 MAR 1994,RUS,2,Sochi (RUS),27 FEB 2016,1196
82,82,1:26:40,Kimberly GARCÍA LEÓN,19 OCT 1993,PER,1,La Coruña (ESP),03 JUN 2023,1196
83,84,1:26:41,Jiayu YANG,18 FEB 1996,CHN,1,Huangshan (CHN),05 MAR 2023,1196
84,85,1:26:42,Olimpiada IVANOVA,29 AUG 1970,RUS,1,München (GER),07 AUG 2002,1196
85,85,1:26:42,Elvira CHEPAREVA,10 JAN 2000,RUS,1,Sochi (RUS),31 JAN 2022,1196
86,87,1:26:43,Elvira KHASANOVA,10 JAN 2000,RUS,1,Sochi (RUS),17 FEB 2020,1195
87,87,1:26:43,Zhenxia MA,01 AUG 1998,CHN,2,Huangshan (CHN),05 MAR 2023,1195
88,89,1:26:44,Anisiya KORNIKOVA-KIRDYAPKINA,23 OCT 1989,RUS,1,Cheboksary (RUS),13 JUN 2015,1195
89,90,1:26:45,Yekaterina MEDVEDEVA,29 MAR 1994,RUS,2,Cheboksary (RUS),25 JUN 2016,1195
90,90,1:26:45,Reykhan KAGRAMANOVA,01 JUN 1997,RUS,2,Sochi (RUS),19 FEB 2021,1195
91,92,1:26:46,Hongjuan SONG,04 JUL 1984,CHN,1,Guangzhou (CHN),22 MAR 2004,1195
92,92,1:26:46,Eleonora Anna GIORGI,14 SEP 1989,ITA,1,Dudince (SVK),21 MAR 2015,1195
93,94,1:26:47,Olga KANISKINA,19 JAN 1985,RUS,1,Saransk (RUS),29 SEP 2007,1194
94,94,1:26:47,Irina YUMANOVA,09 APR 1990,RUS,2,Sochi (RUS),18 FEB 2012,1194
95,94,1:26:47,Klavdiya AFANASYEVA,15 JAN 1996,RUS,3,Cheboksary (RUS),25 JUN 2016,1194
96,97,1:26:48,Olimpiada IVANOVA,29 AUG 1970,RUS,1,Eisenhüttenstadt (GER),17 JUN 2000,1194
97,97,1:26:48,Olimpiada IVANOVA,29 AUG 1970,RUS,1,Dudince (SVK),19 MAY 2001,1194
98,97,1:26:48,Quanming WU,16 NOV 2001,CHN,2,La Coruña (ESP),03 JUN 2023,1194
99,100,1:26:49,Shijie QIEYANG,11 NOV 1990,CHN,2,Roma (ITA),07 MAY 2016,1194
0,101,1:26:50,Natalya FEDOSKINA,25 JUN 1980,RUS,2.0,Dudince (SVK),19 MAY 2001,1193
1,101,1:26:50,Reykhan KAGRAMANOVA,01 JUN 1997,RUS,2.0,Sochi (RUS),17 FEB 2020,1193
2,103,1:26:51,Shijie QIEYANG,11 NOV 1990,CHN,1.0,Chiasso (SUI),01 SEP 2019,1193
