"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,5:52.80,Gesa Felicitas KRAUSE,03 AUG 1992,GER,1,"Olympiastadion, Berlin (GER)",01 SEP 2019,1219
1,2,5:56.28,Maruša MIŠMAŠ ZRIMŠEK,24 OCT 1994,SLO,1,"Stadion Park Šiška, Ljubljana (SLO)",16 JUL 2020,1205
2,3,5:56.83,Winfred Mutile YAVI,31 DEC 1999,BRN,2,"Olympiastadion, Berlin (GER)",01 SEP 2019,1202
3,4,6:00.07,Luiza GEGA,05 NOV 1988,ALB,3,"Olympiastadion, Berlin (GER)",01 SEP 2019,1189
4,5,6:01.47,Tatiane Raquel DA SILVA,10 JUN 1990,BRA,1,"Golęcin Stadion, Poznan (POL)",18 JUN 2023,1183
5,6,6:02.04,Celestine Jepkosgei BIWOT,24 DEC 2003,KEN,2,"Golęcin Stadion, Poznan (POL)",18 JUN 2023,1181
6,7,6:02.16,Virginia NYAMBURA,20 JUL 1993,KEN,1,"Olympiastadion, Berlin (GER)",06 SEP 2015,1180
7,8,6:02.47,Beatrice CHEPKOECH,06 JUL 1991,KEN,2,"Olympiastadion, Berlin (GER)",06 SEP 2015,1179
8,9,6:02.61,Winnie JEMUTAI,04 JUN 2003,KEN,3,"Golęcin Stadion, Poznan (POL)",18 JUN 2023,1178
9,10,6:03.16,Yekaterina IVONINA,14 JUN 1994,RUS,1,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",23 JUN 2022,1176
10,11,6:03.38,Wioletta FRANKIEWICZ,09 JUN 1977,POL,1,Gdansk (POL),15 JUL 2006,1175
11,12,6:04.05,Maroua BOUZIANI,1997,TUN,1,"Stade L. Lagrange, Toulon (FRA)",12 MAY 2023,1172
12,13,6:04.20,Gesa Felicitas KRAUSE,03 AUG 1992,GER,3,"Olympiastadion, Berlin (GER)",06 SEP 2015,1172
13,14,6:04.46,Dorcus INZIKURU,02 FEB 1982,UGA,1,"AC Gianni Brera, Milano (ITA)",01 JUN 2005,1171
14,15,6:06.85,Aneta KONIECZEK,08 JUN 1997,POL,4,"Golęcin Stadion, Poznan (POL)",18 JUN 2023,1161
15,16,6:07.01,Fancy CHERONO,02 AUG 2001,KEN,4,"Olympiastadion, Berlin (GER)",01 SEP 2019,1160
16,17,6:07.72,Jolanda KALLABIS,18 FEB 2005,GER,1,"Moselstadion, Trier (GER)",09 SEP 2022,1157
17,18,6:08.17,Aimee PRATT,03 OCT 1997,GBR,1,"Birmingham University Athletics Track, Birmingham (GBR)",14 MAY 2022,1155
18,19,6:09.46,Gesa Felicitas KRAUSE,03 AUG 1992,GER,1,Rehlingen (GER),16 MAY 2016,1150
19,20,6:09.48,Viktória WAGNER-GYÜRKÉS,15 OCT 1992,HUN,5,"Olympiastadion, Berlin (GER)",01 SEP 2019,1150
20,20,6:09.48,Genevieve GREGSON,04 AUG 1989,AUS,6,"Olympiastadion, Berlin (GER)",01 SEP 2019,1150
21,22,6:09.85,Joana SOARES,08 SEP 1993,POR,1,Madeira (POR),25 JUL 2020,1149
22,23,6:10.82,Magdalyne MASAI,21 NOV 1993,KEN,4,"Olympiastadion, Berlin (GER)",06 SEP 2015,1145
23,24,6:10.91,Gesa Felicitas KRAUSE,03 AUG 1992,GER,1,"Moselstadion, Trier (GER)",17 SEP 2021,1144
24,25,6:11.63,Lívia TÓTH,07 JAN 1980,HUN,2,Gdansk (POL),15 JUL 2006,1141
25,26,6:11.79,Elizabeth BIRD,04 OCT 1994,GBR,1,"Stade des Maradas, Cergy-Pontoise (FRA)",15 AUG 2020,1141
26,27,6:11.83,Korahubish ITAA,28 FEB 1992,ETH,1,Bressanone (ITA),10 JUL 2009,1140
27,28,6:11.84,Marina PLUZHNIKOVA,25 FEB 1963,RUS,1,St. Petersburg (RUS),25 JUL 1994,1140
28,29,6:11.90,Lucia Kamene MUANGI,26 JUN 1992,KEN,2,Bressanone (ITA),10 JUL 2009,1140
29,30,6:11.92,Maruša MIŠMAŠ,24 OCT 1994,SLO,1,Ljubljana (SLO),05 JUN 2019,1140
30,31,6:12.0h,Rosefline CHEPNGETICH,17 JUN 1997,KEN,1h1,Nairobi (KEN),11 JUN 2013,1140
31,32,6:12.44,Chiara SCHERRER,24 JAN 1996,SUI,,"Stadion Buchholz, Uster (SUI)",10 JUN 2022,1138
32,33,6:12.72,Viktória WAGNER-GYÜRKÉS,15 OCT 1992,HUN,1,Budapest (HUN),26 MAY 2019,1137
33,34,6:13.03,Irene SÁNCHEZ-ESCRIBANO,25 AUG 1992,ESP,2,"Stade des Maradas, Cergy-Pontoise (FRA)",15 AUG 2020,1136
34,35,6:13.50,Eilish FLANAGAN,02 MAY 1997,IRL,1,"Morton Stadium, Dublin (IRL)",13 JUN 2021,1134
35,36,6:13.97,Yekaterina DOSEYKINA,30 MAR 1990,RUS,1,Moskva (RUS),17 JUL 2014,1132
36,37,6:14.20,Kinga KRÓLIK,26 SEP 1999,POL,2,"Moselstadion, Trier (GER)",17 SEP 2021,1131
37,38,6:14.28,Belén CASETTA,26 SEP 1994,ARG,1,Concepción del Uruguay (ARG),02 APR 2022,1130
38,39,6:14.29,Walle FENTA,2006,ETH,1,"Levy Mwanawasa Stadion, Ndola (ZAM)",02 MAY 2023,1130
39,40,6:14.34,Tigest Getent MEKONEN,07 JUL 1997,BRN,5,"Olympiastadion, Berlin (GER)",06 SEP 2015,1130
40,41,6:14.52,Svetlana ROGOVA,04 AUG 1967,RUS,1,Moskva (RUS),11 JUN 1992,1130
41,42,6:14.60,Rosefline CHEPNGETICH,17 JUN 1997,KEN,1,Donetsk (UKR),14 JUL 2013,1129
42,43,6:14.66,Stephanie GARCIA,03 MAY 1988,USA,1,"Greenville, SC (USA)",31 MAY 2014,1129
43,44,6:15.12,Daisy JEPKEMEI,13 FEB 1996,KEN,2,Donetsk (UKR),14 JUL 2013,1127
44,45,6:15.14,Joana SOARES,08 SEP 1993,POR,1,Ribeira Brava (POR),15 AUG 2020,1127
45,46,6:15.28,Elena BURKARD,10 FEB 1992,GER,1f1,"Schönbuchstadion, Pliezhausen (GER)",08 MAY 2021,1126
46,47,6:15.46,Viktória WAGNER-GYÜRKÉS,15 OCT 1992,HUN,1,Győr (HUN),19 MAY 2018,1126
47,48,6:15.52,Gesa Felicitas KRAUSE,03 AUG 1992,GER,1,Pliezhausen (GER),17 MAY 2015,1125
48,49,6:15.60,Sigrid VANDEN BEMPT,10 FEB 1981,BEL,1,Huizingen (BEL),18 AUG 2008,1125
49,50,6:15.90,Antje MÖLDNER-SCHMIDT,13 JUN 1984,GER,1f1,Pliezhausen (GER),17 MAY 2009,1124
50,51,6:16.19,Sandrafelis Chebet TUEI,20 JAN 1998,KEN,1,Nairobi (KEN),17 JUN 2015,1123
51,52,6:16.25,Birtukan Fente ALEMU,18 JUN 1989,ETH,6,"Olympiastadion, Berlin (GER)",06 SEP 2015,1123
52,53,6:16.32,Alicja KONIECZEK,02 NOV 1994,POL,2,"Moselstadion, Trier (GER)",09 SEP 2022,1122
53,54,6:16.41,Marina PLUZHNIKOVA,25 FEB 1963,URS,1,Kiev (URS),02 AUG 1988,1122
54,54,6:16.41,Norah JERUTO,02 OCT 1995,KEN,1,Lille (FRA),10 JUL 2011,1122
55,56,6:16.46,Michelle FINN,16 DEC 1989,IRL,1,"Estadi Joan Serrahima, Barcelona (ESP)",22 SEP 2020,1122
56,57,6:16.49,Yelena MOTALOVA,28 JAN 1971,RUS,1,Moskva (RUS),02 AUG 1998,1122
57,58,6:16.52,Michelle FINN,16 DEC 1989,IRL,1,"Arena Civica, Milano (ITA)",04 SEP 2021,1121
58,59,6:16.53,Lea MEYER,16 SEP 1997,GER,1,"Golęcin Stadion, Poznan (POL)",27 MAY 2022,1121
59,60,6:16.54,Viktoriya IVANOVA,21 NOV 1991,RUS,1,Moskva (RUS),01 JUL 2016,1121
60,61,6:16.58,Cristina CASANDRA,01 FEB 1977,ROU,2,"AC Gianni Brera, Milano (ITA)",01 JUN 2005,1121
61,62,6:16.59,Alycia BUTTERWORTH,01 OCT 1992,CAN,1,"Swangard Stadium, Burnaby (CAN)",29 MAY 2021,1121
