"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
62,63,6:16.60,Ophélie CLAUDE-BOXBERGER,18 OCT 1988,FRA,1f1,Pliezhausen (GER),13 MAY 2018,1121
63,64,6:16.67,Michelle FINN,16 DEC 1989,IRL,7,"Olympiastadion, Berlin (GER)",01 SEP 2019,1121
64,65,6:16.74,Svetlana ROGOVA,04 AUG 1967,RUS,2,Moskva (RUS),02 AUG 1998,1121
65,65,6:16.74,Flavie RENOUARD,10 SEP 2000,FRA,3,"Stade des Maradas, Cergy-Pontoise (FRA)",15 AUG 2020,1121
66,67,6:16.83,Halima HASSEN BERISO,10 NOV 1992,ETH,3,Bressanone (ITA),10 JUL 2009,1120
67,68,6:16.86,Genevieve LACAZE,04 AUG 1989,AUS,7,"Olympiastadion, Berlin (GER)",06 SEP 2015,1120
68,69,6:16.87,Svetlana ROGOVA,04 AUG 1967,RUS,1,Sochi (RUS),30 MAY 1992,1120
69,70,6:16.95,Milcah CHEMOS,24 FEB 1986,KEN,1,Dubnica nad Váhom (SVK),21 AUG 2013,1120
70,71,6:17.15,Celliphine Chepteek CHESPOL,23 MAR 1999,KEN,1,"Pascual Guerrero Stadium, Cali (COL)",17 JUL 2015,1119
71,72,6:17.33,Ruth JEBET,17 NOV 1996,BRN,1,Manama (BRN),29 OCT 2013,1118
72,73,6:17.42,Svetlana ROGOVA,04 AUG 1967,RUS,1,Moskva (RUS),19 JUN 1993,1118
73,74,6:17.68,Fancy CHERONO,02 AUG 2001,KEN,1,Algiers (ALG),27 JUL 2018,1117
74,75,6:17.69,Lea MEYER,16 SEP 1997,GER,2f1,"Schönbuchstadion, Pliezhausen (GER)",08 MAY 2021,1117
75,76,6:17.80,Irina MOZHAROVA,19 JUL 1958,URS,1,Gorkiy (URS),23 JUL 1989,1116
76,77,6:17.91,Adia BUDDE,29 JUL 2005,GER,1,"Sportanlage an der Kanalstraße, Zeven (GER)",28 MAY 2023,1116
77,78,6:18.04,Irene VAN DER REIJKEN,13 AUG 1993,NED,3f1,"Schönbuchstadion, Pliezhausen (GER)",08 MAY 2021,1115
78,79,6:18.09,Johanna RISKU-LEHTINEN,21 FEB 1979,FIN,1,Tampere (FIN),17 JUL 2006,1115
79,80,6:18.12,Ann GATHONI,05 MAR 1998,KEN,8,"Olympiastadion, Berlin (GER)",06 SEP 2015,1115
80,80,6:18.12,Kinga KRÓLIK,26 SEP 1999,POL,1,"Stadion Miejski, Oleśnica (POL)",26 MAY 2021,1115
81,82,6:18.20,Svetlana PRÉTOT,03 JUL 1971,RUS,1,Rostov (RUS),16 JUN 1996,1115
82,83,6:18.43,Viktória WAGNER-GYÜRKÉS,15 OCT 1992,HUN,1,Debrecen (HUN),20 MAY 2017,1114
83,84,6:18.48,Aimee PRATT,03 OCT 1997,GBR,4,"Stade des Maradas, Cergy-Pontoise (FRA)",15 AUG 2020,1114
84,85,6:18.55,Frehiwot GESESE,2006,ETH,2,"Levy Mwanawasa Stadion, Ndola (ZAM)",02 MAY 2023,1113
85,86,6:18.61,Claire PALOU,26 DEC 2001,FRA,4f1,"Schönbuchstadion, Pliezhausen (GER)",08 MAY 2021,1113
86,87,6:18.63,Viktoriya IVANOVA,21 NOV 1991,RUS,2,Moskva (RUS),17 JUL 2014,1113
87,88,6:18.67,Svetlana ROGOVA,04 AUG 1967,URS,2,Gorkiy (URS),23 JUL 1989,1113
88,89,6:18.77,Johanna RISKU-LEHTINEN,21 FEB 1979,FIN,3,"AC Gianni Brera, Milano (ITA)",01 JUN 2005,1112
89,90,6:19.00,Irene LIMIKA,28 AUG 1979,KEN,1,Loughborough (GBR),20 MAY 2001,1111
90,91,6:19.05,Patrycja KAPAŁA,26 MAR 1997,POL,1,"Stadion Miejski, Oleśnica (POL)",21 MAY 2022,1111
91,92,6:19.09,Bridget FRANEK,08 NOV 1987,USA,1,"Eugene, OR (USA)",16 MAR 2013,1111
92,93,6:19.10,Svetlana ROGOVA,04 AUG 1967,URS,1,Kiev (URS),06 JUL 1990,1111
93,94,6:19.20,Giulia MARTINELLI,16 JUN 1991,ITA,1,Rieti (ITA),11 SEP 2011,1111
94,95,6:19.21,Lili Anna TÓTH,17 SEP 1998,HUN,1,"Iharos Sándor Atlétikai Pálya, Budapest (HUN)",26 JUL 2020,1111
95,96,6:19.23,Gréta VARGA,19 DEC 2003,HUN,2,"Iharos Sándor Atlétikai Pálya, Budapest (HUN)",26 JUL 2020,1110
96,97,6:19.26,Svetlana ROGOVA,04 AUG 1967,URS,1,Moskva (URS),11 JUN 1991,1110
97,98,6:19.41,Kinga KRÓLIK,26 SEP 1999,POL,5,"Golęcin Stadion, Poznan (POL)",18 JUN 2023,1110
98,99,6:19.46,Svetlana ROGOVA,04 AUG 1967,RUS,1,Moskva (RUS),24 JUN 1992,1110
99,100,6:19.48,Fancy CHEROTICH,10 AUG 1990,KEN,2,Dubnica nad Váhom (SVK),21 AUG 2013,1109
0,101,6:19.49,Maruša MIŠMAŠ,24 OCT 1994,SLO,1,Velenje (SLO),15 SEP 2019,1109
1,102,6:19.55,Oona KETTUNEN,10 FEB 1994,FIN,1,Kotka (FIN),13 JUL 2013,1109
2,102,6:19.55,Yuno YAMANAKA,25 DEC 2000,JPN,1,"Universiade Commemorative Stadium, Kobe (JPN)",25 APR 2021,1109
3,104,6:19.56,Clara VIÑARAS,08 SEP 1993,ESP,2,"Estadi Joan Serrahima, Barcelona (ESP)",22 SEP 2020,1109
4,105,6:19.61,Sandrafelis Chebet TUEI,20 JAN 1998,KEN,2,"Pascual Guerrero Stadium, Cali (COL)",17 JUL 2015,1109
5,106,6:19.78,Ikram OUAAZIZ,06 JUL 1999,MAR,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",19 JUN 2022,1108
6,107,6:19.8h,Inna POLUŠKINA,07 JUL 1984,LAT,1,Kaunas (LTU),10 AUG 2003,1108
7,108,6:19.88,Marina PLUZHNIKOVA,25 FEB 1963,URS,1,Bryansk (URS),12 JUL 1988,1108
8,109,6:19.98,Kinga KRÓLIK,26 SEP 1999,POL,2,"Golęcin Stadion, Poznan (POL)",27 MAY 2022,1107
9,110,6:20.10,Rosefline CHEPNGETICH,17 JUN 1997,KEN,1h,"Olympic Stadium, Nanjing (CHN)",21 AUG 2014,1107
10,111,6:20.14,Stephanie DE CROOCK,04 MAR 1979,BEL,1,Beveren (BEL),03 SEP 2005,1107
11,112,6:20.15,Carolina LOZANO,27 FEB 1996,ARG,2,Concepción del Uruguay (ARG),02 APR 2022,1107
12,112,6:20.15,Virginia NYAMBURA,20 JUL 1993,KEN,3,"Moselstadion, Trier (GER)",09 SEP 2022,1107
13,114,6:20.21,Yuno YAMANAKA,25 DEC 2000,JPN,1,"Universiade Commemorative Stadium, Kobe (JPN)",24 APR 2022,1107
14,115,6:20.22,Jolanda KALLABIS,18 FEB 2005,GER,1f1,"Givat Ram Stadium, Jerusalem (ISR)",06 JUL 2022,1107
15,116,6:20.23,Bouchra CHAABI,22 SEP 1980,MAR,4,"AC Gianni Brera, Milano (ITA)",01 JUN 2005,1106
16,117,6:20.33,Fabienne SCHLUMPF,17 NOV 1990,SUI,1,Pliezhausen (GER),14 MAY 2017,1106
17,118,6:20.37,Yui YABUTA,04 MAR 1996,JPN,2,"Universiade Commemorative Stadium, Kobe (JPN)",25 APR 2021,1106
18,119,6:20.47,Sandrafelis Chebet TUEI,20 JAN 1998,KEN,1,Réduit (MRI),25 APR 2015,1106
19,120,6:20.56,Anália ROSA,28 FEB 1976,POR,1,Barcelona (ESP),09 JUL 2004,1105
20,121,6:20.63,Yukari ISHIZAWA,16 APR 1988,JPN,2,"Universiade Commemorative Stadium, Kobe (JPN)",24 APR 2022,1105
21,122,6:20.64,Jana SUSSMANN,12 OCT 1990,GER,1,Kiel (GER),11 MAY 2016,1105
22,123,6:20.66,Carrie MESSNER-VICKERS,07 JUN 1977,USA,1,"Nashville, TN (USA)",05 MAY 2007,1105
23,124,6:20.67,Norah JERUTO,02 OCT 1995,KEN,1h1,Lille (FRA),08 JUL 2011,1105
24,124,6:20.67,Fabienne SCHLUMPF,17 NOV 1990,SUI,1,Uster (SUI),27 MAY 2016,1105
25,126,6:20.80,Sanaa KOUBAA-SCHRETZMAIR,06 JAN 1985,GER,1,Pliezhausen (GER),06 MAY 2012,1104
26,127,6:20.82,Elena BURKARD,10 FEB 1992,GER,2f1,Pliezhausen (GER),13 MAY 2018,1104
27,128,6:20.98,Fadwa SIDI MADANE,20 NOV 1994,MAR,2,Lille (FRA),10 JUL 2011,1103
28,129,6:20.99,Rosefline CHEPNGETICH,17 JUN 1997,KEN,1,Nairobi (KEN),08 MAY 2014,1103
29,130,6:21.05,Maya REHBERG,28 APR 1994,GER,2,Kiel (GER),11 MAY 2016,1103
30,131,6:21.15,Jessy LACOURSE,05 FEB 1997,CAN,1,"Alumni Field, Windsor (CAN)",12 JUN 2021,1103
31,132,6:21.16,Lyudmyla PUSKINA,02 OCT 1965,UKR,2,Moskva (RUS),24 JUN 1992,1103
32,133,6:21.17,Maisie GRICE,29 JUN 2000,GBR,2,"Birmingham University Athletics Track, Birmingham (GBR)",14 MAY 2022,1103
33,134,6:21.31,Lennie WAITE,04 FEB 1986,GBR,1,"Houston, TX (USA)",01 JUN 2017,1102
34,135,6:21.33,Oona KETTUNEN,10 FEB 1994,FIN,1,Espoo (FIN),18 AUG 2013,1102
35,136,6:21.38,Olivia GÜRTH,31 MAY 2002,GER,1f1,"Schönbuchstadion, Pliezhausen (GER)",14 MAY 2023,1102
36,137,6:21.39,Karoline Bjerkeli GRØVDAL,14 JUN 1990,NOR,1,Stavanger (NOR),10 AUG 2008,1102
37,138,6:21.42,Antonina GRISHAYEVA,1959,URS,2,Moskva (URS),11 JUN 1991,1102
38,138,6:21.42,Mariola ŚLUSARCZYK,04 JAN 1990,POL,8,"Olympiastadion, Berlin (GER)",01 SEP 2019,1102
39,140,6:21.52,Yuzu NISHIDE,25 JAN 2000,JPN,3,"Universiade Commemorative Stadium, Kobe (JPN)",24 APR 2022,1101
40,141,6:21.78,Cătălina OPREA,11 APR 1986,ROU,1,Tampere (FIN),27 JUL 2003,1100
41,142,6:21.83,Claire PALOU,26 DEC 2001,FRA,5,"Stade des Maradas, Cergy-Pontoise (FRA)",15 AUG 2020,1100
42,143,6:21.84,Gréta VARGA,19 DEC 2003,HUN,1,"Sportcentrum, Pápa (HUN)",13 JUL 2022,1100
43,144,6:21.85,Lilian CHEMWENO,22 OCT 1995,KEN,3,Lille (FRA),10 JUL 2011,1100
44,144,6:21.85,Shuangshuang XU,06 APR 1996,CHN,9,"Olympiastadion, Berlin (GER)",01 SEP 2019,1100
45,146,6:21.93,Salome CHEPCHUMBA,29 SEP 1982,KEN,5,"AC Gianni Brera, Milano (ITA)",01 JUN 2005,1100
46,147,6:21.98,Matylda KOWAL,11 JAN 1989,POL,2,Rehlingen (GER),16 MAY 2016,1099
47,148,6:21.99,Agathe GUILLEMOT,11 JUL 1999,FRA,2,"Stade L. Lagrange, Toulon (FRA)",12 MAY 2023,1099
48,149,6:22.00,Natalya CHEREPANOVA,09 MAR 1967,RUS,2,Rostov (RUS),16 JUN 1996,1099
49,149,6:22.00,Agnes Thurid GERS,04 AUG 1997,GER,3,"Moselstadion, Trier (GER)",17 SEP 2021,1099
50,151,6:22.03,Stefanija STATKUVIENĖ,05 SEP 1962,URS,3,Gorkiy (URS),23 JUL 1989,1099
51,152,6:22.06,Maya REHBERG,28 APR 1994,GER,1,Mönchengladbach (GER),20 JUL 2012,1099
52,153,6:22.1h,Marwa BOUZAYANI,26 MAR 1997,TUN,1,"Stadion Radés, Radés (TUN)",20 FEB 2022,1099
53,154,6:22.20,Irina MOZHAROVA,19 JUL 1958,URS,3,Moskva (URS),11 JUN 1991,1099
54,155,6:22.29,Tatiane Raquel DA SILVA,10 JUN 1990,BRA,1,São Paulo (BRA),27 APR 2022,1098
55,156,6:22.30,Caroline TUIGONG,12 MAR 1990,KEN,1,Ostrava (CZE),14 JUL 2007,1098
56,156,6:22.3h,Aleksandra PAVLYUTENKOVA,21 MAR 1990,RUS,1,Yerino (RUS),25 JUL 2015,1098
57,156,6:22.30,Natalya KOLOSKOVA,19 JUL 1988,RUS,9,"Olympiastadion, Berlin (GER)",06 SEP 2015,1098
58,159,6:22.36,Svetlana LEGKODUKH,24 NOV 1969,UKR,2,Kyiv (UKR),30 MAY 1992,1098
59,160,6:22.45,Gesa Felicitas KRAUSE,03 AUG 1992,GER,1,Pfungstadt (GER),25 MAY 2011,1098
60,161,6:22.46,Jordyn MCDONNELL,,USA,1,"Weaver Stadium, Princeton, NJ (USA)",02 APR 2022,1098
61,162,6:22.49,Christine Kambua MUYANGA,21 MAR 1991,KEN,2,Ostrava (CZE),14 JUL 2007,1097
62,163,6:22.61,Lívia TÓTH,07 JAN 1980,HUN,6,"AC Gianni Brera, Milano (ITA)",01 JUN 2005,1097
63,164,6:22.64,Karoline Bjerkeli GRØVDAL,14 JUN 1990,NOR,1,Eskilstuna (SWE),03 SEP 2006,1097
64,165,6:22.67,Rosefline CHEPNGETICH,17 JUN 1997,KEN,1f1,"Olympic Stadium, Nanjing (CHN)",25 AUG 2014,1097
65,166,6:22.72,Julia KORALEWSKA,17 FEB 2002,POL,6,"Golęcin Stadion, Poznan (POL)",18 JUN 2023,1097
66,167,6:22.73,Lidia CAMPO,26 MAR 1991,ESP,3,"Estadi Joan Serrahima, Barcelona (ESP)",22 SEP 2020,1096
67,168,6:22.90,Antonina ANDRONAKI,06 NOV 1959,URS,2,Kiev (URS),06 JUL 1990,1096
68,168,6:22.90,Michelle FINN,16 DEC 1989,IRL,1,"Tullamore Harriers AC Stadium, Tullamore (IRL)",23 JUL 2022,1096
69,170,6:22.99,Emilia LILLEMO,05 JAN 2000,SWE,1,"Tibblevallen, Stockholm (SWE)",14 MAY 2022,1095
70,171,6:23.04,Lyubov KHARLAMOVA,02 MAR 1981,RUS,1,Moskva (RUS),05 JUN 2005,1095
71,172,6:23.12,Anzhelika AVERKOVA,13 MAR 1969,URS,4,Moskva (URS),11 JUN 1991,1095
72,173,6:23.15,Blanca FERNÁNDEZ,01 APR 1992,ESP,1,"Estadio Ciudad de Málaga, Málaga (ESP)",22 JUN 2023,1095
73,174,6:23.17,Carolina LOZANO,27 FEB 1996,ARG,1,Concepción del Uruguay (ARG),28 MAR 2021,1095
74,175,6:23.35,Emilia LILLEMO,05 JAN 2000,SWE,1,"Campus Valla, Linköping (SWE)",20 AUG 2021,1094
75,176,6:23.36,Jana SUSSMANN,12 OCT 1990,GER,2,Pliezhausen (GER),14 MAY 2017,1094
76,177,6:23.39,Brielle ERBACHER,28 FEB 1999,AUS,1f2,"QSAC State Athletics Facility, Nathan, Brisbane (AUS)",15 JAN 2022,1094
77,178,6:23.40,Yelena MOTALOVA,28 JAN 1971,RUS,1,Rostov (RUS),14 JUL 1999,1094
78,179,6:23.42,Gesa Felicitas KRAUSE,03 AUG 1992,GER,1,Ulm (GER),07 AUG 2010,1094
79,180,6:23.46,Antje MÖLDNER-SCHMIDT,13 JUN 1984,GER,1,Pliezhausen (GER),18 MAY 2008,1094
80,181,6:23.58,Julia HOWLEY,1996,CAN,2,"Swangard Stadium, Burnaby (CAN)",29 MAY 2021,1093
81,182,6:23.70,Julia HILLER,24 JUL 1987,GER,2,Pliezhausen (GER),18 MAY 2008,1093
82,182,6:23.70,Diana CHEPKEMOI,25 JAN 2007,KEN,3,"Levy Mwanawasa Stadion, Ndola (ZAM)",02 MAY 2023,1093
83,184,6:23.77,Matylda KOWAL,11 JAN 1989,POL,2,"Stadion Miejski, Oleśnica (POL)",26 MAY 2021,1092
84,185,6:23.78,Victoria MITCHELL,25 APR 1982,AUS,1,Sydney (AUS),21 JAN 2017,1092
85,186,6:23.82,Jolanda KALLABIS,18 FEB 2005,GER,1f1,"Schönbuchstadion, Pliezhausen (GER)",08 MAY 2022,1092
86,187,6:23.91,Rimma ULYANOVA,10 JAN 1974,RUS,3,Moskva (RUS),02 AUG 1998,1092
87,188,6:23.95,Anna TROPINA,03 NOV 1998,ANA,2,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",23 JUN 2022,1092
88,189,6:24.18,Yelena KRASNOVA,1963,URS,2,Kiev (URS),02 AUG 1988,1091
89,190,6:24.21,Ophélie CLAUDE-BOXBERGER,18 OCT 1988,FRA,2,Pliezhausen (GER),17 MAY 2015,1091
90,191,6:24.26,Irina MATROSOVA,05 APR 1962,URS,4,Gorkiy (URS),23 JUL 1989,1090
91,192,6:24.27,Celliphine Chepteek CHESPOL,23 MAR 1999,KEN,2,Nairobi (KEN),17 JUN 2015,1090
92,193,6:24.28,Cristina CASANDRA,01 FEB 1977,ROU,1,Visby (SWE),19 JUL 2001,1090
93,193,6:24.28,Eline DALEMANS,25 FEB 1991,BEL,5f1,"Schönbuchstadion, Pliezhausen (GER)",08 MAY 2021,1090
94,195,6:24.32,Olga STEFANISHINA,21 NOV 1961,URS,1,Lugansk (URS),10 MAY 1991,1090
95,196,6:24.42,Lyubov KHARLAMOVA,02 MAR 1981,RUS,1,Moskva (RUS),14 MAY 2010,1090
96,197,6:24.50,Katarzyna KOWALSKA,07 APR 1985,POL,1,Slubice (POL),30 AUG 2008,1089
97,198,6:24.51,Sofia THØGERSEN,06 JUL 2005,DEN,1,"Hvidovre Stadion, Hvidovre (DEN)",11 SEP 2021,1089
98,199,6:24.52,Daisy JEPKEMEI,13 FEB 1996,KEN,1,Warri (NGR),31 MAR 2013,1089
99,200,6:24.56,Olimpia POP,25 FEB 1976,ROU,1,Bucureşti (ROU),21 JUL 1997,1089
0,201,6:24.59,Zewdinesh Mamo TEKLEMAREAM,14 JAN 1997,ETH,2,"National Stadium, Gaborone (BOT)",28 MAY 2014,1089
1,202,6:24.6h,Caroline TUIGONG,12 MAR 1990,KEN,f,Nairobi (KEN),12 JUN 2007,1089
2,203,6:24.64,Martina MERLO,19 FEB 1993,ITA,2,"Arena Civica, Milano (ITA)",04 SEP 2021,1089
3,204,6:24.71,Lyudmila KUROPATKINA,1966,RUS,3,Moskva (RUS),24 JUN 1992,1089
4,205,6:24.72,Daisy JEPKEMEI,13 FEB 1996,KEN,1h2,Donetsk (UKR),12 JUL 2013,1089
5,206,6:24.76,Beatrice Jepmwetich KIBOR,10 DEC 1992,KEN,4,Bressanone (ITA),10 JUL 2009,1088
6,207,6:24.80,Caren CHEBET,24 MAY 2000,KEN,1,"Kasarani, Nairobi (KEN)",14 JUL 2017,1088
7,208,6:24.81,Patrycja KAPAŁA,26 MAR 1997,POL,3,"Golęcin Stadion, Poznan (POL)",27 MAY 2022,1088
8,209,6:24.82,Antje MÖLDNER-SCHMIDT,13 JUN 1984,GER,1,Berlin (GER),12 MAY 2013,1088
9,210,6:24.95,Chiara SCHERRER,24 JAN 1996,SUI,1,Pliezhausen (GER),12 MAY 2019,1088
10,211,6:25.06,Lyudmila KUROPATKINA,1966,RUS,2,Moskva (RUS),19 JUN 1993,1087
11,212,6:25.12,Olga KOZEL,25 MAR 1970,UKR,1,Kyiv (UKR),27 MAY 1994,1087
12,212,6:25.12,Zita KÁCSER,02 OCT 1988,HUN,1,Budapest (HUN),22 MAY 2016,1087
13,214,6:25.18,Irina MOZHAROVA,19 JUL 1958,URS,2,Bryansk (URS),12 JUL 1988,1087
14,214,6:25.18,Weynshet ANSA,09 APR 1996,ETH,2h2,Donetsk (UKR),12 JUL 2013,1087
15,216,6:25.19,Svetlana POSPELOVA,11 MAR 1969,RUS,2,St. Petersburg (RUS),25 JUL 1994,1087
