"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,2:37:11,Klavdiya AFANASYEVA,15 JAN 1996,RUS,1.0,Saransk (RUS),20 MAY 2023,1263
1,2,2:37:15,María PÉREZ,29 APR 1996,ESP,1.0,Poděbrady (CZE),21 MAY 2023,1262
2,3,2:37:44,Kimberly GARCÍA LEÓN,19 OCT 1993,PER,1.0,Dudince (SVK),25 MAR 2023,1258
3,4,2:37:46,Margarita NIKIFOROVA,19 AUG 1998,RUS,1.0,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",27 AUG 2022,1257
4,5,2:38:24,Klavdiya AFANASYEVA,15 JAN 1996,RUS,1.0,Sochi (RUS),18 FEB 2019,1252
5,6,2:38:42,Hong LIU,12 MAY 1987,CHN,,"Wajima Race Walk Course, Wajima (JPN)",16 APR 2023,1249
6,7,2:38:49,Margarita NIKIFOROVA,19 AUG 1998,RUS,1.0,Cheboksary (RUS),21 MAY 2022,1248
7,8,2:39:16,María PÉREZ,29 APR 1996,ESP,1.0,Lepe (ESP),30 JAN 2022,1243
8,8,2:39:16,Kimberly GARCÍA LEÓN,19 OCT 1993,PER,1.0,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022,1243
9,10,2:39:51,Darya GOLUBECHKOVA,10 SEP 2000,ANA,1.0,Voronovo (RUS),05 SEP 2021,1238
10,11,2:40:03,Katarzyna ZDZIEBŁO,28 NOV 1996,POL,2.0,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022,1236
11,12,2:40:06,Hong LIU,12 MAY 1987,CHN,2.0,Dudince (SVK),25 MAR 2023,1236
12,13,2:40:27,Klavdiya AFANASYEVA,15 JAN 1996,RUS,1.0,"Avtodrom, Sochi (RUS)",13 FEB 2023,1232
13,14,2:40:37,Shijie QIEYANG,11 NOV 1990,CHN,3.0,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022,1231
14,15,2:40:59,Xueying BAI,26 APR 2000,CHN,1.0,Huangshan (CHN),04 MAR 2023,1227
15,16,2:41:00,Li MA,15 JAN 2000,CHN,1.0,Xi'an (CHN),24 SEP 2022,1227
16,17,2:41:28,Margarita NIKIFOROVA,19 AUG 1998,RUS,1.0,Sochi (RUS),31 JAN 2022,1223
17,18,2:41:38,María PÉREZ,29 APR 1996,ESP,1.0,Cieza (ESP),26 FEB 2023,1221
18,19,2:41:58,Antigoni NTRISMPIOTI,21 MAR 1984,GRE,4.0,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022,1218
19,20,2:41:59,Shijie QIEYANG,11 NOV 1990,CHN,2.0,Huangshan (CHN),04 MAR 2023,1218
20,21,2:42:27,Raquel GONZÁLEZ,16 NOV 1989,ESP,5.0,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022,1214
21,22,2:42:39,Maocuo LI,20 OCT 1992,CHN,3.0,Huangshan (CHN),04 MAR 2023,1212
22,23,2:42:45,Laura GARCÍA-CARO,16 APR 1995,ESP,6.0,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022,1211
23,24,2:42:52,Lamei YIN,21 DEC 2002,CHN,4.0,Huangshan (CHN),04 MAR 2023,1210
24,25,2:43:06,Shijie QIEYANG,11 NOV 1990,CHN,1.0,Dudince (SVK),23 APR 2022,1208
25,26,2:43:14,Margarita NIKIFOROVA,19 AUG 1998,RUS,1.0,Sochi (RUS),19 FEB 2021,1206
26,27,2:43:19,Kimberly GARCÍA LEÓN,19 OCT 1993,PER,2.0,Dudince (SVK),23 APR 2022,1206
27,28,2:43:25,Quanming WU,16 NOV 2001,CHN,1.0,Nanjing (CHN),22 JAN 2022,1205
28,29,2:43:43,Eleonora Anna GIORGI,14 SEP 1989,ITA,1.0,Grosseto (ITA),26 JAN 2020,1202
29,30,2:43:59,Yelena LASHMANOVA,09 APR 1992,RUS,2.0,Sochi (RUS),31 JAN 2022,1199
30,31,2:44:00,Margarita NIKIFOROVA,19 AUG 1998,RUS,2.0,Sochi (RUS),18 FEB 2019,1199
31,32,2:44:11,Kumiko OKADA,17 OCT 1991,JPN,1.0,"Wajima Race Walk Course, Wajima (JPN)",16 APR 2023,1198
32,33,2:44:17,María PÉREZ,29 APR 1996,ESP,1.0,Sevilla (ESP),14 FEB 2021,1197
33,34,2:44:25,Serena SONODA,10 SEP 1996,JPN,2.0,"Wajima Race Walk Course, Wajima (JPN)",16 APR 2023,1195
34,35,2:44:28,Maocuo LI,20 OCT 1992,CHN,7.0,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022,1195
35,36,2:44:29,Darya GOLUBECHKOVA,10 SEP 2000,RUS,3.0,Sochi (RUS),31 JAN 2022,1195
36,37,2:45:00,Elmira ALEMBEKOVA,30 JUN 1990,RUS,2.0,Sochi (RUS),19 FEB 2021,1190
37,38,2:45:02,Viviane LYRA,29 JUL 1993,BRA,8.0,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022,1190
38,39,2:45:09,Serena SONODA,10 SEP 1996,JPN,9.0,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022,1189
39,40,2:45:21,Eleonora Anna GIORGI,14 SEP 1989,ITA,1.0,Gioiosa Marea (ITA),27 JAN 2019,1187
40,41,2:45:42,Raquel GONZÁLEZ,16 NOV 1989,ESP,2.0,Poděbrady (CZE),21 MAY 2023,1184
41,42,2:45:46,Maocuo LI,20 OCT 1992,CHN,3.0,Dudince (SVK),23 APR 2022,1183
42,43,2:45:48,Serena SONODA,10 SEP 1996,JPN,1.0,Wajima (JPN),17 APR 2022,1183
43,44,2:45:51,Inês HENRIQUES,01 MAY 1980,POR,1.0,"Circuito Urbano, Porto de Mos (POR)",07 JAN 2018,1182
44,45,2:45:58,Cristina MONTESINOS,12 JUL 1994,ESP,3.0,Poděbrady (CZE),21 MAY 2023,1181
45,46,2:46:02,Lamei YIN,21 DEC 2002,CHN,10.0,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022,1181
46,47,2:46:12,Maocuo LI,20 OCT 1992,CHN,2.0,Nanjing (CHN),22 JAN 2022,1179
47,48,2:46:28,Kristina LYUBUSHKINA,19 SEP 1995,RUS,2.0,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",27 AUG 2022,1177
48,49,2:46:29,Anastasiya KALASHNIKOVA,29 JUN 1997,RUS,3.0,Sochi (RUS),19 FEB 2021,1176
49,50,2:46:32,Magaly BONILLA,08 FEB 1992,ECU,3.0,Dudince (SVK),25 MAR 2023,1176
50,51,2:46:38,Maocuo LI,20 OCT 1992,CHN,,Milazzo (ITA),29 JAN 2023,1175
51,52,2:47:00,Antigoni NTRISMPIOTI,21 MAR 1984,GRE,1.0,"Odeonplatz, München (GER)",16 AUG 2022,1172
52,53,2:47:34,Quanming WU,16 NOV 2001,CHN,4.0,Dudince (SVK),25 MAR 2023,1167
53,54,2:47:38,Zhenxia MA,01 AUG 1998,CHN,1.0,Huangshan (CHN),23 APR 2022,1166
54,55,2:47:42,Lamei YIN,21 DEC 2002,CHN,2.0,Xi'an (CHN),24 SEP 2022,1165
55,56,2:47:48,Antigoni NTRISMPIOTI,21 MAR 1984,GRE,1.0,Megara (GRE),23 JAN 2022,1164
56,57,2:47:54,Rebecca HENDERSON,04 JUL 2001,AUS,1.0,"Albert Park, Melbourne (AUS)",21 MAY 2023,1164
57,58,2:47:57,Margarita NIKIFOROVA,19 AUG 1998,RUS,2.0,"Avtodrom, Sochi (RUS)",13 FEB 2023,1163
58,58,2:47:57,Cuihong XIONG,01 MAY 1998,CHN,5.0,Huangshan (CHN),04 MAR 2023,1163
59,60,2:47:59,Erica SENA,03 MAY 1985,BRA,5.0,Dudince (SVK),25 MAR 2023,1163
60,61,2:48:05,Laura GARCÍA-CARO,16 APR 1995,ESP,2.0,Lepe (ESP),30 JAN 2022,1162
61,62,2:48:13,Olga SHARGINA,24 JUL 1996,RUS,1.0,Sochi (RUS),19 FEB 2018,1161
62,63,2:48:26,Guo NA,22 JUN 1999,CHN,3.0,Nanjing (CHN),22 JAN 2022,1159
63,64,2:48:27,Paola PÉREZ,21 DEC 1989,ECU,1.0,Lima (PER),06 FEB 2022,1159
64,65,2:48:33,Glenda MOREJÓN,30 MAY 2000,ECU,1.0,Muscat (OMA),05 MAR 2022,1158
65,66,2:48:40,Raquel GONZÁLEZ,16 NOV 1989,ESP,2.0,Sevilla (ESP),14 FEB 2021,1157
66,67,2:48:46,Magaly BONILLA,08 FEB 1992,ECU,2.0,Lima (PER),06 FEB 2022,1156
67,68,2:48:53,Katarzyna ZDZIEBŁO,28 NOV 1996,POL,6.0,Dudince (SVK),25 MAR 2023,1155
68,69,2:48:59,Kristina LYUBUSHKINA,19 SEP 1995,RUS,4.0,Sochi (RUS),31 JAN 2022,1154
69,70,2:49:09,Serena SONODA,10 SEP 1996,JPN,1.0,Takahata (JPN),23 OCT 2022,1152
70,71,2:49:10,Raquel GONZÁLEZ,16 NOV 1989,ESP,2.0,"Odeonplatz, München (GER)",16 AUG 2022,1152
71,72,2:49:12,Viviane LYRA,29 JUL 1993,BRA,4.0,Dudince (SVK),23 APR 2022,1152
72,73,2:49:23,Rui LIANG,18 JUN 1994,CHN,1.0,Huangshan (CHN),04 MAR 2018,1150
73,74,2:49:27,Johana ORDÓŇEZ,12 DEC 1987,ECU,3.0,Lima (PER),06 FEB 2022,1149
74,75,2:49:29,Robyn STEVENS,24 APR 1983,USA,5.0,Dudince (SVK),23 APR 2022,1149
75,76,2:49:37,Xueying BAI,26 APR 2000,CHN,4.0,Nanjing (CHN),22 JAN 2022,1148
76,76,2:49:37,Katarzyna ZDZIEBŁO,28 NOV 1996,POL,1.0,Opole (POL),14 MAY 2022,1148
77,78,2:49:38,Lamei YIN,21 DEC 2002,CHN,2.0,Huangshan (CHN),23 APR 2022,1148
78,79,2:49:39,Federica CURIAZZI,14 AUG 1992,ITA,4.0,Poděbrady (CZE),21 MAY 2023,1148
79,80,2:49:43,Olga NIEDZIAŁEK,30 JUN 1997,POL,11.0,"Autzen Complex, Eugene, OR (USA)",22 JUL 2022,1147
