"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,2:28.98,Svetlana MASTERKOVA,17 JAN 1968,RUS,1,Bruxelles (BEL),23 AUG 1996,1251
1,2,2:29.15,Faith KIPYEGON,10 JAN 1994,KEN,1,"Stade Louis II, Monaco (MON)",14 AUG 2020,1249
2,3,2:29.34,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,Bruxelles (BEL),25 AUG 1995,1246
3,4,2:29.66,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,2,Bruxelles (BEL),23 AUG 1996,1242
4,5,2:29.92,Faith KIPYEGON,10 JAN 1994,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2020,1238
5,6,2:30.12,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,Bruxelles (BEL),30 AUG 2002,1236
6,7,2:30.6h,Tatyana PROVIDOKHINA,26 MAR 1953,URS,1,Podolsk (URS),20 AUG 1978,1229
7,8,2:30.67,Christine WACHTEL,06 JAN 1965,GDR,1,"Olympiastadion, Berlin (GER)",17 AUG 1990,1228
8,9,2:30.70,Caster SEMENYA,07 JAN 1991,RSA,1,"Olympiastadion, Berlin (GER)",02 SEP 2018,1228
9,10,2:30.72,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,Stockholm (SWE),10 JUL 1995,1227
10,11,2:30.82,Laura MUIR,09 MAY 1993,GBR,2,"Stade Louis II, Monaco (MON)",14 AUG 2020,1226
11,12,2:30.85,Martina KÄMPFERT-STEUK,11 NOV 1959,GDR,1,Berlin (GER),09 JUL 1980,1226
12,13,2:31.01,Caster SEMENYA,07 JAN 1991,RSA,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018,1223
13,14,2:31.06,Ciara MAGEEAN,12 MAR 1992,IRL,3,"Stade Louis II, Monaco (MON)",14 AUG 2020,1223
14,15,2:31.11,Jemma REEKIE,06 MAR 1998,GBR,4,"Stade Louis II, Monaco (MON)",14 AUG 2020,1222
15,16,2:31.18,Svetlana MASTERKOVA,17 JAN 1968,RUS,1,Nice (FRA),17 JUL 1999,1221
16,17,2:31.5h,Maricica PUICĂ,29 JUL 1950,ROU,1,Poiana Brasov (ROU),01 JUN 1986,1217
17,17,2:31.50,Natalya ARTYOMOVA,05 JAN 1963,URS,1,Berlin (GER),10 SEP 1991,1217
18,19,2:31.51,Sandra GASSER,27 JUL 1962,SUI,1,Jerez de la Frontera (ESP),13 SEP 1989,1217
19,20,2:31.55,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,Bruxelles (BEL),28 AUG 1998,1216
20,21,2:31.65,Olga DVIRNA,11 FEB 1953,URS,1,Athina (GRE),01 SEP 1982,1215
21,22,2:31.66,Jolanda ČEPLAK,12 SEP 1976,SLO,1,Rovereto (ITA),28 AUG 2002,1214
22,23,2:31.74,Anita WEIß,16 JUL 1955,GDR,1,Potsdam (GDR),13 JUL 1980,1213
