"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
23,24,2:31.77,Sigrun WODARS,07 NOV 1965,GDR,2,"Olympiastadion, Berlin (GER)",17 AUG 1990,1213
24,25,2:31.8h,Olga DVIRNA,11 FEB 1953,URS,1,Podolsk (URS),05 AUG 1979,1213
25,25,2:31.80,Regina JACOBS,28 AUG 1963,USA,1,"Brunswick, ME (USA)",03 JUL 1999,1213
26,27,2:31.85,Doina MELINTE,27 DEC 1956,ROU,3,"Olympiastadion, Berlin (GER)",17 AUG 1990,1212
27,28,2:31.93,Patricia DJATÉ-TAILLARD,03 JAN 1971,FRA,2,Bruxelles (BEL),25 AUG 1995,1211
28,29,2:31.95,Ulrike BRUNS,17 NOV 1953,GDR,1,Berlin (GER),18 AUG 1978,1211
29,30,2:32.12,Halimah NAKAAYI,16 OCT 1994,UGA,5,"Stade Louis II, Monaco (MON)",14 AUG 2020,1208
30,31,2:32.22,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,2,Nice (FRA),17 JUL 1999,1207
31,32,2:32.25,Letitia VRIESDE,05 OCT 1964,SUR,2,Berlin (GER),10 SEP 1991,1206
32,33,2:32.29,Christiane WARTENBERG,27 OCT 1956,GDR,2,Potsdam (GDR),13 JUL 1980,1206
33,34,2:32.3h,Laimutė BAIKAUSKAITĖ,10 JUN 1956,URS,1,Podolsk (URS),12 SEP 1985,1206
34,34,2:32.30,Sofia ENNAOUI,30 AUG 1995,POL,6,"Stade Louis II, Monaco (MON)",14 AUG 2020,1206
35,36,2:32.33,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,"Eugene, OR (USA)",04 JUN 1995,1205
36,37,2:32.36,Sandra GASSER,27 JUL 1962,SUI,4,"Olympiastadion, Berlin (GER)",17 AUG 1990,1205
37,38,2:32.38,Doina MELINTE,27 DEC 1956,ROU,3,Berlin (GER),10 SEP 1991,1205
38,39,2:32.40,Ella KOVÁCS,11 DEC 1964,ROU,1,Villeneuve d'Ascq (FRA),02 JUL 1993,1204
39,40,2:32.55,Kelly HOLMES,19 APR 1970,GBR,1,Leeds (GBR),15 JUN 1997,1202
40,41,2:32.57,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,"Eugene, OR (USA)",05 JUN 1993,1202
41,42,2:32.6h,Raisa BELOUSOVA,29 FEB 1952,URS,2,Podolsk (URS),05 AUG 1979,1202
42,43,2:32.70,Jolanta JANUCHTA,16 JAN 1955,POL,1,Zürich (SUI),19 AUG 1981,1200
43,44,2:32.77,Yvonne MAI,22 AUG 1965,GDR,5,"Olympiastadion, Berlin (GER)",17 AUG 1990,1199
44,44,2:32.77,Natalya TSYGANOVA,07 FEB 1971,RUS,3,Nice (FRA),17 JUL 1999,1199
45,46,2:32.8h,Tamara SOROKINA,15 AUG 1950,URS,1,Podolsk (URS),24 JUL 1976,1199
46,47,2:32.82,Kelly HOLMES,19 APR 1970,GBR,1,Sheffield (GBR),23 JUL 1995,1199
47,47,2:32.82,Faith KIPYEGON,10 JAN 1994,KEN,1,"FBK Stadium, Hengelo (NED)",10 OCT 2020,1199
48,49,2:32.87,Ulrike BRUNS,17 NOV 1953,GDR,3,Potsdam (GDR),13 JUL 1980,1198
49,50,2:32.9h,Lyudmila KALNITSKAYA,03 JAN 1953,URS,2,Podolsk (URS),20 AUG 1978,1198
50,51,2:32.97,Lyubov GURINA,06 AUG 1957,RUS,2,Villeneuve d'Ascq (FRA),02 JUL 1993,1197
51,52,2:33.0h,Totka PETROVA,17 DEC 1956,BUL,1,Sofia (BUL),13 AUG 1978,1196
52,53,2:33.02,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,Göteborg (SWE),24 AUG 1994,1196
53,54,2:33.04,Olga DVIRNA,11 FEB 1953,URS,2,Zürich (SUI),19 AUG 1981,1196
54,55,2:33.06,Mayte MARTÍNEZ,17 MAY 1976,ESP,1,Huelva (ESP),13 SEP 2007,1195
55,56,2:33.08,Lyubov GURINA,06 AUG 1957,URS,4,Berlin (GER),10 SEP 1991,1195
56,57,2:33.12,Ana Fidelia QUIROT,23 MAR 1963,CUB,2,Jerez de la Frontera (ESP),13 SEP 1989,1195
57,58,2:33.15,Hasna BENHASSI,01 JUN 1978,MAR,4,Nice (FRA),17 JUL 1999,1194
58,58,2:33.15,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,Stockholm (SWE),05 AUG 2003,1194
59,60,2:33.18,Gabriella DORIO,26 JUN 1957,ITA,1,Formia (ITA),28 AUG 1982,1194
60,60,2:33.18,Kelly HOLMES,19 APR 1970,GBR,3,Bruxelles (BEL),25 AUG 1995,1194
61,62,2:33.33,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,"Eugene, OR (USA)",04 JUN 1994,1192
62,63,2:33.4h,Andrea LANGE-HAHMANN,03 JUN 1966,GDR,1,Potsdam (GDR),28 MAY 1987,1191
63,64,2:33.44,Brigitte KRAUS,12 AUG 1956,FRG,1,Berlin (GER),17 AUG 1979,1190
64,65,2:33.49,Yuliya CHIZHENKO,30 AUG 1979,RUS,1,Linz (AUT),22 AUG 2006,1190
65,66,2:33.5h,Brigitte KRAUS,12 AUG 1956,FRG,1,Troisdorf (GER),04 AUG 1978,1190
66,66,2:33.5h,Ulrike BRUNS,17 NOV 1953,GDR,1,Potsdam (GDR),30 MAY 1985,1190
67,68,2:33.53,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,Stockholm (SWE),17 JUL 2001,1189
68,69,2:33.55,Lyubov KREMLYOVA,21 DEC 1961,RUS,3,Villeneuve d'Ascq (FRA),02 JUL 1993,1189
69,70,2:33.59,Christiane WARTENBERG,27 OCT 1956,GDR,1,Dresden (GER),05 JUL 1980,1188
70,71,2:33.6h,Svetlana ULMASOVA,04 FEB 1953,URS,3,Podolsk (URS),05 AUG 1979,1188
71,72,2:33.70,Kirsty WADE,06 AUG 1962,GBR,1,Gateshead (GBR),09 AUG 1985,1187
72,73,2:33.8h,Nikolina SHTEREVA,21 JAN 1955,BUL,1,Sofia (BUL),04 JUL 1976,1185
73,74,2:33.84,Liliya NURUTDINOVA,15 DEC 1963,URS,5,Berlin (GER),10 SEP 1991,1185
74,75,2:33.92,Laura MUIR,09 MAY 1993,GBR,1,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018,1184
75,76,2:33.93,Suzy FAVOR HAMILTON,08 AUG 1968,USA,2,"Eugene, OR (USA)",04 JUN 1995,1184
76,77,2:33.96,Lyudmila ROGACHOVA,30 OCT 1966,RUS,4,Villeneuve d'Ascq (FRA),02 JUL 1993,1183
77,78,2:34.04,Julie JENKINS,12 AUG 1964,USA,6,"Olympiastadion, Berlin (GER)",17 AUG 1990,1182
78,79,2:34.08,Svetlana CHERKASOVA,20 MAY 1978,RUS,2,Stockholm (SWE),17 JUL 2001,1182
79,80,2:34.1h,Valentina ILYINYKH,12 DEC 1956,URS,4,Podolsk (URS),05 AUG 1979,1181
80,81,2:34.11,Ulrike BRUNS,17 NOV 1953,GDR,1,Potsdam (GDR),28 AUG 1982,1181
81,81,2:34.11,Christiane WARTENBERG,27 OCT 1956,GDR,1,Berlin (GER),31 JUL 1983,1181
82,81,2:34.11,Habitam ALEMU,09 JUL 1997,ETH,1f1,"Schönbuchstadion, Pliezhausen (GER)",08 MAY 2022,1181
83,84,2:34.13,Tetyana POZDNYAKOVA,04 MAR 1956,URS,2,Athina (GRE),01 SEP 1982,1181
84,85,2:34.14,Diane CUMMINS,19 JAN 1974,CAN,2,Bruxelles (BEL),30 AUG 2002,1181
85,86,2:34.19,Agnes SAMARIA,11 AUG 1972,NAM,3,Bruxelles (BEL),30 AUG 2002,1180
86,87,2:34.2h,Brigitte KRAUS,12 AUG 1956,FRG,2,Berlin (GER),18 AUG 1978,1180
87,87,2:34.20,Brigitte KRAUS,12 AUG 1956,FRG,1,Ulm (GER),27 JUL 1979,1180
88,87,2:34.2h,Ulrike BRUNS,17 NOV 1953,GDR,1,Potsdam (GDR),12 JUL 1984,1180
89,90,2:34.23,Christin WURTH-THOMAS,11 JUL 1980,USA,1,Dubnica nad Váhom (SVK),06 SEP 2009,1180
90,91,2:34.25,Natalya GORELOVA,18 APR 1973,RUS,3,Stockholm (SWE),17 JUL 2001,1179
91,92,2:34.29,Lyudmila BORISOVA,03 AUG 1966,RUS,1,St. Petersburg (RUS),25 JUN 1996,1179
92,93,2:34.31,Zulia CALATAYUD,09 NOV 1979,CUB,4,Bruxelles (BEL),30 AUG 2002,1179
93,94,2:34.35,Hasna BENHASSI,01 JUN 1978,MAR,2,Huelva (ESP),13 SEP 2007,1178
94,94,2:34.35,Janat CHEMUSTO,05 JUL 1998,UGA,1,"Parc des Sports C. Ehrmann, Nice (FRA)",17 JUN 2023,1178
95,96,2:34.47,Stephanie GRAF,26 APR 1973,AUT,2,Bruxelles (BEL),28 AUG 1998,1176
96,97,2:34.48,Rénelle LAMOTE,26 DEC 1993,FRA,2,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018,1176
97,98,2:34.59,Adelle TRACEY,27 MAY 1993,GBR,3,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018,1175
98,99,2:34.6h,Heike OEHME,11 NOV 1963,GDR,1,Cottbus (GER),14 MAY 1986,1175
99,99,2:34.60,Yelena AFANASYEVA,01 MAR 1967,RUS,3,Bruxelles (BEL),28 AUG 1998,1175
0,99,2:34.60,Nouria MÉRAH-BENIDA,19 OCT 1970,ALG,5,Nice (FRA),17 JUL 1999,1175
1,102,2:34.65,Mary SLANEY,04 AUG 1958,USA,1,Hengelo (NED),14 AUG 1988,1174
2,103,2:34.66,Maite ZÚÑIGA,28 DEC 1964,ESP,3,Jerez de la Frontera (ESP),13 SEP 1989,1174
3,103,2:34.66,Sonia O'SULLIVAN,28 NOV 1969,IRL,5,Villeneuve d'Ascq (FRA),02 JUL 1993,1174
4,105,2:34.68,Sifan HASSAN,01 JAN 1993,NED,1,"FBK Stadium, Hengelo (NED)",24 MAY 2015,1174
5,106,2:34.71,Mary MORAA,15 JUN 2000,KEN,1,"Stadion De Veen, Heusden-Zolder (BEL)",03 JUL 2021,1173
6,107,2:34.73,Paula IVAN,20 JUL 1963,ROU,1,"Crystal Palace, London (GBR)",14 JUL 1989,1173
7,108,2:34.77,Olga RASPOPOVA,27 DEC 1978,RUS,1,Nice (FRA),09 JUL 2001,1172
8,109,2:34.8h,Christina NEUMANN-LIEBETRAU,30 DEC 1953,GDR,1,Dresden (GER),07 AUG 1977,1172
9,109,2:34.8h,Hildegard ULLRICH-KÖRNER,20 DEC 1959,GDR,2,Potsdam (GDR),12 JUL 1984,1172
10,109,2:34.8h,Mary SLANEY,04 AUG 1958,USA,1,"Eugene, OR (USA)",04 JUL 1985,1172
11,109,2:34.8h,Petya STRASHILOVA,18 MAR 1965,BUL,1,Sofia (BUL),14 JUL 1995,1172
12,113,2:34.81,Olena BUZHENKO-SERGEYEVA,16 NOV 1972,UKR,6,Nice (FRA),17 JUL 1999,1172
13,114,2:34.82,Irina MISTYUKEVICH,17 JUN 1977,RUS,2,Nice (FRA),09 JUL 2001,1172
14,115,2:34.84,Angelika CICHOCKA,15 MAR 1988,POL,1,Sopot (POL),28 JUL 2016,1172
15,116,2:34.85,Carla SACRAMENTO,10 DEC 1971,POR,4,Bruxelles (BEL),25 AUG 1995,1171
16,117,2:34.86,Gabriella DORIO,26 JUN 1957,ITA,1,Riccione (ITA),26 AUG 1984,1171
17,118,2:34.88,Halimah NAKAAYI,16 OCT 1994,UGA,2,"Olympiastadion, Berlin (GER)",02 SEP 2018,1171
18,119,2:34.89,Audrey WERRO,27 MAR 2004,SUI,2,"Parc des Sports C. Ehrmann, Nice (FRA)",17 JUN 2023,1171
19,120,2:34.90,Natalya TSYGANOVA,07 FEB 1971,RUS,3,Nice (FRA),09 JUL 2001,1171
20,120,2:34.90,Anna SHCHAGINA,07 DEC 1991,RUS,1,Moskva (RUS),18 JUL 2016,1171
21,122,2:34.91,Tatyana TOMASHOVA,01 JUL 1975,RUS,1,Linz (AUT),23 AUG 2005,1171
22,123,2:34.92,Christina CAHILL,25 MAR 1957,GBR,2,Gateshead (GBR),09 AUG 1985,1170
23,124,2:34.93,Joanna JÓŹWIK,30 JAN 1991,POL,2,Sopot (POL),28 JUL 2016,1170
24,125,2:34.94,Margrit KLINGER,22 JUN 1960,FRG,1,Letter (FRG),08 SEP 1983,1170
25,126,2:34.96,Montserrat PUJOL,27 APR 1961,ESP,4,Jerez de la Frontera (ESP),13 SEP 1989,1170
26,127,2:34.99,Angela CHALMERS,06 SEP 1963,CAN,1,Victoria (CAN),19 AUG 1994,1170
27,128,2:35.0h,Karin KREBS,18 AUG 1943,GDR,1,Potsdam (GDR),28 AUG 1974,1169
28,129,2:35.03,Liliya NURUTDINOVA,15 DEC 1963,RUS,6,Villeneuve d'Ascq (FRA),02 JUL 1993,1169
29,129,2:35.03,Regina JACOBS,28 AUG 1963,USA,2,Göteborg (SWE),24 AUG 1994,1169
30,131,2:35.06,Fabia TRABALDO,05 MAR 1972,ITA,1,Parma (ITA),23 JUL 1992,1169
31,131,2:35.06,Ludmila FORMANOVÁ,02 JAN 1974,CZE,7,Nice (FRA),17 JUL 1999,1169
32,133,2:35.1h,Brigitte KRAUS,12 AUG 1956,FRG,1,Lüdenscheid (GER),07 JUL 1976,1168
33,134,2:35.15,Sofia ENNAOUI,30 AUG 1995,POL,3,Sopot (POL),28 JUL 2016,1167
34,134,2:35.15,Lovisa LINDH,09 JUL 1991,SWE,1,Göteborg (SWE),11 JUL 2017,1167
35,136,2:35.19,Tina PAULINO,07 JUL 1973,MOZ,5,Bruxelles (BEL),25 AUG 1995,1167
36,137,2:35.2h,Rositsa PEKHLIVANOVA,31 JAN 1955,BUL,2,Sofia (BUL),04 JUL 1976,1167
37,137,2:35.2h,Ulrike BRUNS,17 NOV 1953,GDR,2,Dresden (GER),07 AUG 1977,1167
38,137,2:35.20,Patricia DJATÉ-TAILLARD,03 JAN 1971,FRA,1,Nancy (FRA),12 SEP 1995,1167
39,137,2:35.20,Yuliya CHIZHENKO,30 AUG 1979,RUS,2,Linz (AUT),23 AUG 2005,1167
40,141,2:35.21,Ellen VAN LANGEN,09 FEB 1966,NED,1,Sheffield (GBR),29 AUG 1993,1167
41,141,2:35.21,Irina MISTYUKEVICH,17 JUN 1977,RUS,4,Stockholm (SWE),17 JUL 2001,1167
42,143,2:35.3h,Irina MARACHEVA,24 SEP 1984,RUS,1,Florø (NOR),04 JUN 2011,1165
43,143,2:35.30,Nelly JEPKOSGEI,14 JUL 1991,BRN,3,"Olympiastadion, Berlin (GER)",02 SEP 2018,1165
44,145,2:35.32,Shireen BAILEY,27 SEP 1959,GBR,1,Birmingham (GBR),19 JUL 1986,1165
45,146,2:35.39,Faith MACHARIA,09 FEB 1976,KEN,4,Nice (FRA),09 JUL 2001,1164
46,147,2:35.4h,Irina NIKITINA,16 JUN 1961,URS,5,Podolsk (URS),05 AUG 1979,1164
47,147,2:35.4h,Katrin WÜHN,19 NOV 1965,GDR,3,Potsdam (GDR),12 JUL 1984,1164
48,149,2:35.43,Lyubov GURINA,06 AUG 1957,RUS,1,Noisy-le-Grand (FRA),02 JUL 1994,1164
49,149,2:35.43,Nelly JEPKOSGEI,14 JUL 1991,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2013,1164
50,149,2:35.43,Caster SEMENYA,07 JAN 1991,RSA,1,Pretoria (RSA),08 MAR 2018,1164
51,152,2:35.46,Regina JACOBS,28 AUG 1963,USA,2,Stockholm (SWE),10 JUL 1995,1163
52,153,2:35.47,Jemma REEKIE,06 MAR 1998,GBR,1,"Stadion Śląski, Chorzów (POL)",05 SEP 2021,1163
53,154,2:35.48,Kirsty WADE,06 AUG 1962,GBR,2,Birmingham (GBR),19 JUL 1986,1163
54,155,2:35.49,Lyubov TSYOMA,19 MAY 1963,RUS,2,"Eugene, OR (USA)",05 JUN 1993,1163
55,156,2:35.5h,Ulrike BRUNS,17 NOV 1953,GDR,1,Potsdam (GDR),17 MAY 1981,1163
56,156,2:35.5h,Christiane WARTENBERG,27 OCT 1956,GDR,4,Potsdam (GDR),12 JUL 1984,1163
57,158,2:35.51,Lorraine BAKER,09 APR 1964,GBR,3,Birmingham (GBR),19 JUL 1986,1163
58,159,2:35.52,Sandra GASSER,27 JUL 1962,SUI,1,Nottwil (SUI),09 SEP 1990,1162
59,159,2:35.52,Diana MEZULIÁNÍKOVÁ,10 APR 1992,CZE,1,"Atletické středisko Emila Zátopka, Stará Boleslav (CZE)",24 AUG 2022,1162
60,161,2:35.54,Gabriela Katharina LESCH,17 AUG 1964,GER,6,Berlin (GER),10 SEP 1991,1162
61,161,2:35.54,Katie SNOWDEN,09 MAR 1994,GBR,4,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018,1162
62,163,2:35.56,Jolanta JANUCHTA,16 JAN 1955,POL,1,London (GBR),11 SEP 1981,1162
63,163,2:35.56,Nelya NEPORADNA,29 JUL 1985,UKR,2,Stockholm (SWE),05 AUG 2003,1162
64,165,2:35.57,Joanna JÓŹWIK,30 JAN 1991,POL,2,"FBK Stadium, Hengelo (NED)",24 MAY 2015,1162
65,166,2:35.58,Selina BÜCHEL,26 JUL 1991,SUI,7,"Stade Louis II, Monaco (MON)",14 AUG 2020,1162
66,167,2:35.62,Christina CAHILL,25 MAR 1957,GBR,1,London (GBR),30 AUG 1982,1161
67,168,2:35.64,Nikolina SHTEREVA,21 JAN 1955,BUL,1,Sofia (BUL),14 AUG 1982,1161
68,168,2:35.64,Esther GUERRERO,07 FEB 1990,ESP,2,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2020,1161
69,170,2:35.65,Vesela YATSINSKA,16 JAN 1951,BUL,2,Sofia (BUL),17 AUG 1982,1161
70,171,2:35.7h,Maricica PUICĂ,29 JUL 1950,ROU,1,Poiana Brasov (ROU),01 JUN 1984,1160
71,171,2:35.7h,Heike OEHME,11 NOV 1963,GDR,1,Cottbus (GER),25 MAY 1988,1160
72,173,2:35.73,Winny CHEBET,20 DEC 1990,KEN,2,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2013,1160
73,174,2:35.74,Tina PAULINO,07 JUL 1973,MOZ,5,Nice (FRA),09 JUL 2001,1160
74,174,2:35.74,Hirut MESHESHA,20 JAN 2001,ETH,2,"Stadion Śląski, Chorzów (POL)",05 SEP 2021,1160
75,176,2:35.77,Kirsty WADE,06 AUG 1962,GBR,1,Gateshead (GBR),27 JUN 1986,1159
76,177,2:35.79,Yvonne GRAHAM,22 AUG 1965,JAM,3,Göteborg (SWE),24 AUG 1994,1159
77,178,2:35.8h,Ulrike BRUNS,17 NOV 1953,GDR,3,Berlin (GER),09 JUL 1980,1159
78,178,2:35.80,Aleksandra GULYAYEVA,30 APR 1994,ANA,2,"Stadion De Veen, Heusden-Zolder (BEL)",03 JUL 2021,1159
79,180,2:35.84,Christina CAHILL,25 MAR 1957,GBR,4,Birmingham (GBR),19 JUL 1986,1158
80,181,2:35.85,Kirsty WADE,06 AUG 1962,GBR,1,Gateshead (GBR),05 AUG 1986,1158
81,181,2:35.85,Ce'Aira BROWN,04 NOV 1993,USA,2,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018,1158
82,183,2:35.86,Ella KOVÁCS,11 DEC 1964,ROU,7,Berlin (GER),10 SEP 1991,1158
83,183,2:35.86,Diane MODAHL-EDWARDS,17 JUN 1966,GBR,2,Sheffield (GBR),29 AUG 1993,1158
84,185,2:35.89,Letitia VRIESDE,05 OCT 1964,SUR,6,Nice (FRA),09 JUL 2001,1158
85,186,2:35.9h,Gunhild HOFFMEISTER,06 JUL 1944,GDR,1,Potsdam (GDR),20 AUG 1972,1157
86,186,2:35.90,Linden HALL,20 JUN 1991,AUS,1f1,"Hagenauer Reserve, Box Hill, Melbourne (AUS)",02 MAR 2021,1157
87,188,2:35.92,Hassiba BOULMERKA,10 JUL 1968,ALG,7,Villeneuve d'Ascq (FRA),02 JUL 1993,1157
88,189,2:35.93,Christine WACHTEL,06 JAN 1965,GER,8,Berlin (GER),10 SEP 1991,1157
89,189,2:35.93,Carla SACRAMENTO,10 DEC 1971,POR,3,Stockholm (SWE),10 JUL 1995,1157
90,191,2:35.94,Patricia DJATÉ-TAILLARD,03 JAN 1971,FRA,4,Bruxelles (BEL),28 AUG 1998,1157
91,192,2:35.96,Anna BUKIS,08 SEP 1953,POL,2,London (GBR),11 SEP 1981,1157
92,192,2:35.96,Yelena AFANASYEVA,01 MAR 1967,RUS,1,Villeneuve d'Ascq (FRA),29 JUN 1997,1157
93,192,2:35.96,Anna JAKUBCZAK,02 FEB 1973,POL,1,Brisbane (AUS),17 SEP 2000,1157
94,195,2:35.98,Elise VANDERELST,27 JAN 1998,BEL,3,"Stadion De Veen, Heusden-Zolder (BEL)",03 JUL 2021,1156
95,196,2:36.00,Olena BUZHENKO-SERGEYEVA,16 NOV 1972,UKR,5,Bruxelles (BEL),28 AUG 1998,1156
96,196,2:36.0h,Marina ARZAMASOVA,17 DEC 1987,BLR,2,Florø (NOR),04 JUN 2011,1156
97,198,2:36.04,Faith MACHARIA,09 FEB 1976,KEN,5,Stockholm (SWE),17 JUL 2001,1156
98,198,2:36.04,Lovisa LINDH,09 JUL 1991,SWE,1,Göteborg (SWE),15 JUL 2016,1156
99,200,2:36.07,Dina ALEKSANDROVA,09 AUG 1992,RUS,2,Moskva (RUS),18 JUL 2016,1155
0,201,2:36.09,Yelena AFANASYEVA,01 MAR 1967,RUS,4,Stockholm (SWE),10 JUL 1995,1155
1,202,2:36.10,Ludmila FORMANOVÁ,02 JAN 1974,CZE,5,Bruxelles (BEL),30 AUG 2002,1155
2,203,2:36.11,Kirsty WADE,06 AUG 1962,GBR,1,London (GBR),22 AUG 1987,1155
3,204,2:36.13,Jennifer MEADOWS,17 APR 1981,GBR,3,"FBK Stadium, Hengelo (NED)",24 MAY 2015,1154
4,204,2:36.13,Kaela EDWARDS,08 DEC 1993,USA,3,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018,1154
5,204,2:36.13,Winnie NANYONDO,23 AUG 1993,UGA,4,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018,1154
6,207,2:36.16,Yekaterina PODKOPAYEVA,11 JUN 1952,RUS,1,Nancy (FRA),14 SEP 1994,1154
7,208,2:36.2h,Waltraud STROTZER,16 SEP 1952,GDR,3,Dresden (GER),07 AUG 1977,1153
8,209,2:36.21,Ellen KIEßLING,17 FEB 1968,GDR,7,"Olympiastadion, Berlin (GER)",17 AUG 1990,1153
9,210,2:36.26,Carmen DOUMA-HUSSAR,12 MAR 1977,CAN,3,Linz (AUT),23 AUG 2005,1153
10,211,2:36.29,Diane MODAHL-EDWARDS,17 JUN 1966,GBR,8,Nice (FRA),17 JUL 1999,1152
11,212,2:36.3h,Ileana SILAI,14 OCT 1941,ROU,1,Poiana Brasov (ROU),06 JUL 1977,1152
12,212,2:36.30,Luciana de Paula MENDES,26 JUL 1971,BRA,6,Bruxelles (BEL),25 AUG 1995,1152
13,212,2:36.30,Noélie YARIGO,26 DEC 1985,BEN,4,"Stadion De Veen, Heusden-Zolder (BEL)",03 JUL 2021,1152
14,215,2:36.33,Jolanda ČEPLAK,12 SEP 1976,SLO,1,Zagreb (CRO),11 JUL 2005,1152
15,216,2:36.34,Julie JENKINS,12 AUG 1964,USA,2,Hengelo (NED),14 AUG 1988,1152
16,216,2:36.34,Nelya NEPORADNA,29 JUL 1985,UKR,2,Zagreb (CRO),11 JUL 2005,1152
17,218,2:36.35,Elena BELLÒ,18 JAN 1997,ITA,3,"Parc des Sports C. Ehrmann, Nice (FRA)",17 JUN 2023,1151
18,219,2:36.36,Margrit KLINGER,22 JUN 1960,FRG,2,Berlin (GER),17 AUG 1979,1151
19,220,2:36.4h,Lilyana TOMOVA,09 AUG 1946,BUL,4,Sofia (BUL),04 JUL 1976,1151
20,221,2:36.41,Yekaterina KUPINA,02 FEB 1986,RUS,1,"Stadion Orzeł, Warszawa (POL)",25 AUG 2013,1151
21,222,2:36.45,Yekaterina KUPINA,02 FEB 1986,RUS,3,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2013,1150
22,223,2:36.46,Jennifer TOOMEY,19 DEC 1971,USA,3,Zagreb (CRO),11 JUL 2005,1150
23,224,2:36.47,Christina CAHILL,25 MAR 1957,GBR,3,London (GBR),11 SEP 1981,1150
24,224,2:36.47,Oksana MERNIKOVA,21 NOV 1967,BLR,1,Southampton (GBR),06 JUN 1993,1150
25,224,2:36.47,Hazel CLARK,03 OCT 1977,USA,7,Nice (FRA),09 JUL 2001,1150
