"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
26,27,5:34.27,Senbere TEFERI,03 MAY 1995,ETH,2.0,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014,1169
27,28,5:34.49,Angela CHALMERS,06 SEP 1963,CAN,1.0,Sheffield (GBR),04 SEP 1994,1168
28,29,5:34.53,Konstanze KLOSTERHALFEN,18 FEB 1997,GER,1.0,"Moselstadion, Trier (GER)",17 SEP 2021,1167
29,30,5:35.20,Sally KIPYEGO,19 DEC 1985,KEN,4.0,"Eugene, OR (USA)",07 JUN 2009,1164
30,31,5:35.38,Yvonne MURRAY,04 OCT 1964,GBR,1.0,London (GBR),12 JUL 1991,1163
31,32,5:35.46,Vivian Jepkemoi CHERUIYOT,11 SEP 1983,KEN,2.0,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009,1162
32,33,5:35.5h,Maricica PUICĂ,29 JUL 1950,ROU,1.0,Bucureşti (ROU),19 MAY 1979,1162
33,34,5:35.53,Yvonne MURRAY,04 OCT 1964,GBR,1.0,Sheffield (GBR),16 SEP 1990,1162
34,35,5:35.59,Cornelia BÜRKI,03 OCT 1953,SUI,4.0,London (GBR),11 JUL 1986,1161
35,36,5:35.62,Berhane ADERE,23 NOV 1973,ETH,1.0,Ostrava (CZE),12 JUN 2003,1161
36,37,5:35.65,Mercy CHERONO,07 MAY 1991,KEN,3.0,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009,1161
37,38,5:35.80,Liliya SHOBUKHOVA,13 NOV 1977,RUS,2.0,Sochi (RUS),27 MAY 2007,1160
38,39,5:35.83,Daniela YORDANOVA,08 MAR 1976,BUL,1.0,Sofia (BUL),08 JUL 2004,1160
39,40,5:36.03,Yvonne MURRAY,04 OCT 1964,GBR,1.0,Sheffield (GBR),29 AUG 1993,1159
40,41,5:36.06,Kristiina MÄKI,22 SEP 1991,CZE,4.0,"Sports Park Mladost, Zagreb (CRO)",14 SEP 2021,1159
41,42,5:36.30,Svetlana APLACHKINA,28 NOV 1992,ANA,5.0,"Sports Park Mladost, Zagreb (CRO)",14 SEP 2021,1157
42,43,5:36.52,Natalya PANTELEYEVA,10 SEP 1983,RUS,3.0,Sochi (RUS),27 MAY 2007,1156
43,44,5:36.65,Mary SLANEY,04 AUG 1958,USA,1.0,"San Diego, CA (USA)",25 JUN 1988,1156
44,45,5:37.00,Christine BENNING,30 MAR 1955,GBR,3.0,London (GBR),13 JUL 1984,1154
45,45,5:37.00,Mercy CHERONO,07 MAY 1991,KEN,6.0,"Sports Park Mladost, Zagreb (CRO)",14 SEP 2021,1154
46,47,5:37.36,Naomi MUGO,02 JAN 1977,KEN,2.0,Ostrava (CZE),12 JUN 2003,1152
47,48,5:37.55,Zamira ZAYTSEVA,16 FEB 1953,URS,4.0,London (GBR),04 AUG 1984,1150
48,49,5:37.60,Nadia BATTOCLETTI,12 APR 2000,ITA,1.0,"Centro Sportivo, Cles (ITA)",21 AUG 2021,1150
49,50,5:37.62,Ulrike BRUNS,17 NOV 1953,GDR,1.0,Berlin (GDR),22 SEP 1985,1150
50,51,5:37.71,Benita WILLIS-JOHNSON,06 MAY 1979,AUS,3.0,Ostrava (CZE),12 JUN 2003,1150
51,52,5:37.86,Lesley LEHANE,12 MAR 1963,USA,5.0,London (GBR),11 JUL 1986,1149
52,53,5:38.07,Zola BUDD-PIETERSE,26 MAY 1966,RSA,1.0,Cape Town (RSA),08 APR 1991,1148
53,54,5:38.11,Pauline Chemning KORIKWIANG,01 MAR 1988,KEN,5.0,"Eugene, OR (USA)",07 JUN 2009,1147
54,55,5:38.19,Beyenu DEGEFA,12 JUL 1999,ETH,2.0,Montreuil (FRA),19 JUN 2018,1147
55,55,5:38.19,Caster SEMENYA,07 JAN 1991,RSA,1.0,Montreuil (FRA),11 JUN 2019,1147
56,57,5:38.33,Yvonne MURRAY,04 OCT 1964,GBR,2.0,Sheffield (GBR),04 SEP 1994,1146
57,58,5:38.34,Amy YODER BEGLEY,11 JAN 1978,USA,6.0,"Eugene, OR (USA)",07 JUN 2009,1146
58,59,5:38.37,Susan KUIJKEN,08 JUL 1986,NED,1.0,Amsterdam (NED),31 AUG 2013,1146
59,60,5:38.42,Regina JACOBS,28 AUG 1963,USA,3.0,Edinburgh (GBR),08 JUL 1994,1146
60,61,5:38.44,Lidia CHOJECKA,25 JAN 1977,POL,4.0,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009,1146
61,62,5:38.50,Alison WYETH,26 MAY 1964,GBR,2.0,Sheffield (GBR),29 AUG 1993,1145
62,63,5:38.51,Angelika ZAUBER,05 NOV 1958,GDR,1.0,Potsdam (GDR),18 AUG 1985,1145
63,64,5:38.53,Mimi BELETE,09 JUN 1988,BRN,2.0,Amsterdam (NED),31 AUG 2013,1145
64,65,5:38.66,Hawi FEYSA,01 FEB 1999,ETH,2.0,Montreuil (FRA),11 JUN 2019,1144
65,66,5:38.71,Ulrike BRUNS,17 NOV 1953,GDR,1.0,Neubrandenburg (GDR),07 JUN 1985,1144
66,67,5:38.80,Annette HAND-PETERS,31 MAY 1965,USA,1.0,"Eugene, OR (USA)",06 JUN 1992,1144
67,68,5:38.95,Mary SLANEY,04 AUG 1958,USA,2.0,London (GBR),12 JUL 1991,1143
68,69,5:39.0h,Natalia MĂRĂŞESCU,03 OCT 1952,ROU,1.0,Auckland (NZL),13 JAN 1979,1142
69,69,5:39.00,Annette SERGENT-PALLUY,17 NOV 1962,FRA,6.0,London (GBR),11 JUL 1986,1142
70,71,5:39.17,Zoe BUCKMAN,21 DEC 1988,AUS,3.0,Amsterdam (NED),31 AUG 2013,1141
71,72,5:39.19,Mary SLANEY,04 AUG 1958,USA,1.0,"Eugene, OR (USA)",06 JUN 1992,1141
72,73,5:39.20,Paula RADCLIFFE,17 DEC 1973,GBR,3.0,Sheffield (GBR),29 AUG 1993,1141
73,74,5:39.39,Fatima MAAMA-YVELAIN,31 DEC 1969,FRA,1.0,Nancy (FRA),03 SEP 2000,1140
74,75,5:39.44,Yamna BELKACEM,20 FEB 1974,FRA,1.0,Nancy (FRA),12 SEP 1999,1140
75,76,5:39.52,Elly VAN HULST,09 JUN 1959,NED,7.0,London (GBR),11 JUL 1986,1140
76,77,5:39.90,Adanech ANBESA,23 JAN 1998,ETH,3.0,Montreuil (FRA),11 JUN 2019,1137
77,78,5:39.96,Debbie SCOTT-BOWKER,16 DEC 1958,CAN,1.0,Gateshead (GBR),05 AUG 1986,1137
78,78,5:39.96,Feyne GEMEDA,28 JUN 1992,ETH,3.0,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014,1137
