"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,5:21.56,Francine NIYONSABA,05 MAY 1993,BDI,1.0,"Sports Park Mladost, Zagreb (CRO)",14 SEP 2021,1241
1,2,5:25.36,Sonia O'SULLIVAN,28 NOV 1969,IRL,1.0,Edinburgh (GBR),08 JUL 1994,1220
2,3,5:25.86,Freweyni HAILU,12 FEB 2001,ETH,2.0,"Sports Park Mladost, Zagreb (CRO)",14 SEP 2021,1217
3,4,5:26.93,Yvonne MURRAY,04 OCT 1964,GBR,2.0,Edinburgh (GBR),08 JUL 1994,1211
4,5,5:27.50,Genzebe DIBABA,08 FEB 1991,ETH,1.0,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014,1207
5,6,5:27.73,Genzebe DIBABA,08 FEB 1991,ETH,1.0,Montreuil (FRA),19 JUN 2018,1206
6,7,5:28.69,Maricica PUICĂ,29 JUL 1950,ROU,1.0,London (GBR),11 JUL 1986,1200
7,8,5:28.72,Tatyana KAZANKINA,17 DEC 1951,URS,1.0,Moskva (URS),04 AUG 1984,1200
8,9,5:29.42,Genzebe DIBABA,08 FEB 1991,ETH,1.0,Sollentuna (SWE),26 JUN 2014,1196
9,10,5:29.58,Yvonne MURRAY,04 OCT 1964,GBR,2.0,London (GBR),11 JUL 1986,1195
10,11,5:29.64,Tetyana POZDNYAKOVA,04 MAR 1956,URS,2.0,Moskva (URS),04 AUG 1984,1195
11,12,5:30.19,Zola BUDD,26 MAY 1966,GBR,3.0,London (GBR),11 JUL 1986,1192
12,12,5:30.19,Gelete BURKA,23 JAN 1986,ETH,1.0,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2009,1192
13,14,5:30.39,Maricica PUICĂ,29 JUL 1950,ROU,1.0,Rieti (ITA),04 SEP 1985,1191
14,15,5:30.92,Galina ZAKHAROVA,07 SEP 1956,URS,3.0,Moskva (URS),04 AUG 1984,1188
15,16,5:31.03,Gulnara SAMITOVA-GALKINA,09 JUL 1978,RUS,1.0,Sochi (RUS),27 MAY 2007,1187
16,17,5:31.52,Vivian Jepkemoi CHERUIYOT,11 SEP 1983,KEN,1.0,"Eugene, OR (USA)",07 JUN 2009,1184
17,18,5:31.88,Maryam Yusuf JAMAL,16 SEP 1984,BRN,2.0,"Eugene, OR (USA)",07 JUN 2009,1182
18,19,5:32.40,Dawit SEYAUM,27 JUL 1996,ETH,3.0,"Sports Park Mladost, Zagreb (CRO)",14 SEP 2021,1179
19,20,5:32.7h,Mary DECKER,04 AUG 1958,USA,1.0,"Eugene, OR (USA)",03 AUG 1984,1178
20,21,5:32.83,Roberta BRUNET,20 MAY 1965,ITA,,Torino (ITA),14 SEP 1996,1177
21,22,5:33.15,Zola BUDD,26 MAY 1966,GBR,1.0,London (GBR),13 JUL 1984,1175
22,23,5:33.43,Linet Chepkwemoi MASAI,05 DEC 1989,KEN,3.0,"Eugene, OR (USA)",07 JUN 2009,1174
23,24,5:33.76,Genzebe DIBABA,08 FEB 1991,ETH,1.0,"Bregyó Athletic Center, Székesfehérvár (HUN)",09 JUL 2019,1172
24,25,5:33.83,Elvan ABEYLEGESSE,11 SEP 1982,TUR,1.0,Istanbul (TUR),07 JUN 2003,1171
25,26,5:33.85,Christina CAHILL,25 MAR 1957,GBR,2.0,London (GBR),13 JUL 1984,1171
