"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,1:21.77,Caster SEMENYA,07 JAN 1991,RSA,1,"Olympiastadion, Berlin (GER)",27 AUG 2017,1244
1,2,1:22.39,Ajee WILSON,08 MAY 1994,USA,2,"Olympiastadion, Berlin (GER)",27 AUG 2017,1229
2,3,1:22.63,Ana Fidelia QUIROT,23 MAR 1963,CUB,1,Guadalajara (ESP),25 JUL 1997,1223
3,4,1:22.74,Athing MU,08 JUN 2002,USA,1,"Franklin Field, Philadelphia, PA (USA)",30 APR 2022,1220
4,5,1:22.87,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,Liège (BEL),27 AUG 2002,1217
5,6,1:23.13,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,Naimette-Xhovémont (BEL),02 SEP 2003,1210
6,7,1:23.18,Francine NIYONSABA,05 MAY 1993,BDI,3,"Olympiastadion, Berlin (GER)",27 AUG 2017,1209
7,8,1:23.35,Pamela JELIMO,05 DEC 1989,KEN,1,Liège (BEL),05 JUL 2012,1205
8,9,1:23.78,Natalya KHRUSHCHELYOVA,20 MAY 1973,RUS,2,Naimette-Xhovémont (BEL),02 SEP 2003,1194
9,10,1:24.09,Natoya GOULE,30 MAR 1991,JAM,2,"Franklin Field, Philadelphia, PA (USA)",30 APR 2022,1186
10,11,1:24.13,Athing MU,08 JUN 2002,USA,1,"Sun Angel Stadium, Tempe, AZ (USA)",19 MAR 2022,1185
11,12,1:24.36,Marilyn OKORO,23 SEP 1984,GBR,2,Liège (BEL),05 JUL 2012,1179
12,13,1:24.45,Ajee WILSON,08 MAY 1994,USA,1,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1177
13,14,1:24.56,Martina KÄMPFERT-STEUK,11 NOV 1959,GDR,1,Erfurt (GER),01 AUG 1981,1175
14,15,1:24.62,Assia RAZIKI,04 OCT 1996,MAR,1,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",19 JUN 2022,1173
15,16,1:24.77,Michelle BALLENTINE,31 AUG 1975,JAM,1,Naimette-Xhovémont (BEL),03 AUG 2004,1169
16,17,1:24.85,Ines VOGELGESANG,27 NOV 1963,GDR,1,Berlin (GER),31 JUL 1983,1167
17,18,1:24.96,Natoya GOULE,30 MAR 1991,JAM,2,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1165
18,19,1:25.04,Joanna JÓŹWIK,30 JAN 1991,POL,1,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",09 AUG 2015,1163
19,20,1:25.05,Luciana de Paula MENDES,26 JUL 1971,BRA,2,Naimette-Xhovémont (BEL),03 AUG 2004,1162
20,21,1:25.12,Audrey WERRO,27 MAR 2004,SUI,1f1,"Stadion Hard, Langenthal (SUI)",18 MAY 2023,1161
21,22,1:25.14,Nia AKINS,07 JUL 1998,USA,3,"Franklin Field, Philadelphia, PA (USA)",30 APR 2022,1160
22,23,1:25.22,Sophia GORRIARAN,20 JUN 2005,USA,4,"Franklin Field, Philadelphia, PA (USA)",30 APR 2022,1158
23,24,1:25.28,Olivia BAKER,12 JUN 1996,USA,5,"Franklin Field, Philadelphia, PA (USA)",30 APR 2022,1157
24,25,1:25.33,Sage HURTA-KLECKER,23 JUN 1998,USA,3,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1156
25,26,1:25.41,Kelly HOLMES,19 APR 1970,GBR,3,Naimette-Xhovémont (BEL),02 SEP 2003,1154
26,27,1:25.43,Antje SCHRÖDER,02 SEP 1963,GDR,2,Berlin (GER),31 JUL 1983,1153
27,28,1:25.45,Selina BÜCHEL,26 JUL 1991,SUI,1f2,Pliezhausen (GER),17 MAY 2015,1153
28,29,1:25.56,Martina KÄMPFERT-STEUK,11 NOV 1959,GDR,1,Karl Marx Stadt (GDR),03 JUN 1978,1150
29,29,1:25.56,Caster SEMENYA,07 JAN 1991,RSA,1,Turku (FIN),13 JUN 2012,1150
30,31,1:25.60,McKenna KEEGAN,31 AUG 1998,USA,4,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1149
31,32,1:25.73,Christina HERING,09 OCT 1994,GER,2f2,Pliezhausen (GER),17 MAY 2015,1146
32,33,1:25.78,Noélie YARIGO,26 DEC 1985,BEN,4,"Olympiastadion, Berlin (GER)",27 AUG 2017,1145
33,34,1:25.79,Tamsyn MANOU,20 JUL 1978,AUS,3,Liège (BEL),05 JUL 2012,1144
34,35,1:25.84,Brigita LANGERHOLC,23 JUL 1976,SLO,1,Ljubljana (SLO),03 JUN 2007,1143
35,36,1:25.87,Ajee WILSON,08 MAY 1994,USA,6,"Franklin Field, Philadelphia, PA (USA)",30 APR 2022,1142
36,37,1:25.90,Delisa WALTON-FLOYD,28 JUL 1961,USA,1,London (GBR),28 AUG 1988,1142
37,38,1:25.91,Sandra STALS,05 JUN 1975,BEL,2,Liège (BEL),27 AUG 2002,1142
38,39,1:26.04,Tamsyn MANOU,20 JUL 1978,AUS,3,Naimette-Xhovémont (BEL),03 AUG 2004,1138
39,40,1:26.10,Fabienne KOHLMANN,06 NOV 1989,GER,1f2,Pliezhausen (GER),18 MAY 2014,1137
40,41,1:26.14,Ajee WILSON,08 MAY 1994,USA,1,"Sportovní areál Krajinka, Cheb (CZE)",04 SEP 2018,1136
41,42,1:26.16,Regula ZÜRCHER-SCALABRIN,05 JAN 1969,SUI,1,Langenthal (SUI),16 MAY 1996,1135
42,42,1:26.16,Elisa CUSMA,24 JUL 1981,ITA,1,Pergine Valsugana (ITA),10 JUL 2010,1135
43,44,1:26.18,Diane MODAHL-EDWARDS,17 JUN 1966,GBR,1,London (GBR),22 AUG 1987,1135
44,45,1:26.20,Ulrike BRUNS,17 NOV 1953,GDR,2,Karl Marx Stadt (GDR),03 JUN 1978,1134
45,46,1:26.21,Ellen SCHULZ,13 APR 1962,GDR,1,Neubrandenburg (GDR),07 JUN 1985,1134
