"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,1:53.28,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,1,München (GER),26 JUL 1983,1286
1,2,1:53.43,Nadezhda OLIZARENKO,28 NOV 1953,URS,1,"Lenin Stadium, Moskva (URS)",27 JUL 1980,1283
2,3,1:54.01,Pamela JELIMO,05 DEC 1989,KEN,1,"Letzigrund, Zürich (SUI)",29 AUG 2008,1272
3,4,1:54.25,Caster SEMENYA,07 JAN 1991,RSA,1,"Stade Charléty, Paris (FRA)",30 JUN 2018,1267
4,5,1:54.44,Ana Fidelia QUIROT,23 MAR 1963,CUB,1,"Estadio Olímpico, Barcelona (ESP)",09 SEP 1989,1264
5,6,1:54.60,Caster SEMENYA,07 JAN 1991,RSA,1,"Stade Louis II, Monaco (MON)",20 JUL 2018,1261
6,7,1:54.68,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,1,"Olympiastadion, Helsinki (FIN)",09 AUG 1983,1259
7,8,1:54.77,Caster SEMENYA,07 JAN 1991,RSA,1,Ostrava (CZE),09 SEP 2018,1258
8,9,1:54.81,Olga MINEYEVA,01 OCT 1952,URS,2,"Lenin Stadium, Moskva (URS)",27 JUL 1980,1257
9,10,1:54.82,Ana Fidelia QUIROT,23 MAR 1963,CUB,1,Köln (GER),24 AUG 1997,1257
10,11,1:54.85,Nadezhda OLIZARENKO,28 NOV 1953,URS,1,Moskva (URS),12 JUN 1980,1256
11,12,1:54.87,Pamela JELIMO,05 DEC 1989,KEN,1,"National Stadium, Beijing (CHN)",18 AUG 2008,1256
12,13,1:54.94,Tatyana KAZANKINA,17 DEC 1951,URS,1,"Olympic Stadium, Montréal (CAN)",26 JUL 1976,1254
13,14,1:54.97,Pamela JELIMO,05 DEC 1989,KEN,1,Paris (FRA),18 JUL 2008,1254
14,15,1:54.98,Caster SEMENYA,07 JAN 1991,RSA,1,"Khalifa International Stadium, Doha (QAT)",03 MAY 2019,1254
15,16,1:54.99,Pamela JELIMO,05 DEC 1989,KEN,1,"Olympiastadion, Berlin (GER)",01 JUN 2008,1254
16,17,1:55.04,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,1,Oslo (NOR),23 AUG 1983,1253
17,17,1:55.04,Athing MU,08 JUN 2002,USA,1,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1253
18,19,1:55.05,Doina MELINTE,27 DEC 1956,ROU,1,Bucureşti (ROU),01 AUG 1982,1252
19,20,1:55.16,Pamela JELIMO,05 DEC 1989,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2008,1250
20,20,1:55.16,Caster SEMENYA,07 JAN 1991,RSA,1,"Olympic Stadium, London (GBR)",13 AUG 2017,1250
21,22,1:55.19,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,Zürich (SUI),17 AUG 1994,1250
22,22,1:55.19,Jolanda ČEPLAK,12 SEP 1976,SLO,1,Heusden-Zolder (BEL),20 JUL 2002,1250
23,24,1:55.21,Athing MU,08 JUN 2002,USA,1,"National Stadium, Tokyo (JPN)",03 AUG 2021,1249
24,25,1:55.26,Sigrun WODARS,07 NOV 1965,GDR,1,"Stadio Olimpico, Roma (ITA)",31 AUG 1987,1249
25,26,1:55.27,Caster SEMENYA,07 JAN 1991,RSA,1,"Stade Louis II, Monaco (MON)",21 JUL 2017,1248
26,26,1:55.27,Caster SEMENYA,07 JAN 1991,RSA,1,"Letzigrund, Zürich (SUI)",30 AUG 2018,1248
27,28,1:55.28,Caster SEMENYA,07 JAN 1991,RSA,1,"Estádio Olímpico, Rio de Janeiro (BRA)",20 AUG 2016,1248
28,29,1:55.29,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,2,Köln (GER),24 AUG 1997,1248
29,30,1:55.32,Christine WACHTEL,06 JAN 1965,GDR,2,"Stadio Olimpico, Roma (ITA)",31 AUG 1987,1247
30,31,1:55.33,Caster SEMENYA,07 JAN 1991,RSA,1,"Stade Louis II, Monaco (MON)",15 JUL 2016,1247
31,32,1:55.41,Olga MINEYEVA,01 OCT 1952,URS,1,"Olympic Stadium, Athina (GRE)",08 SEP 1982,1246
32,32,1:55.41,Pamela JELIMO,05 DEC 1989,KEN,1,"Bislett Stadion, Oslo (NOR)",06 JUN 2008,1246
33,34,1:55.42,Nikolina SHTEREVA,21 JAN 1955,BUL,2,"Olympic Stadium, Montréal (CAN)",26 JUL 1976,1246
34,35,1:55.43,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,"Gottlieb-Daimler Stadion, Stuttgart (GER)",17 AUG 1993,1245
35,36,1:55.45,Caster SEMENYA,07 JAN 1991,RSA,1,"Olympiastadion, Berlin (GER)",19 AUG 2009,1245
36,37,1:55.46,Tatyana PROVIDOKHINA,26 MAR 1953,URS,3,"Lenin Stadium, Moskva (URS)",27 JUL 1980,1245
37,38,1:55.47,Francine NIYONSABA,05 MAY 1993,BDI,2,"Stade Louis II, Monaco (MON)",21 JUL 2017,1245
38,39,1:55.54,Ellen VAN LANGEN,09 FEB 1966,NED,1,"Estadio Olímpico, Barcelona (ESP)",03 AUG 1992,1243
39,39,1:55.54,Dong LIU,24 DEC 1973,CHN,1,Beijing (CHN),09 SEP 1993,1243
40,41,1:55.55,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,Madrid (ESP),19 JUL 2003,1243
41,42,1:55.56,Lyubov GURINA,06 AUG 1957,URS,3,"Stadio Olimpico, Roma (ITA)",31 AUG 1987,1243
42,43,1:55.60,Elfi ZINN,24 AUG 1953,GDR,3,"Olympic Stadium, Montréal (CAN)",26 JUL 1976,1242
43,44,1:55.61,Ajee WILSON,08 MAY 1994,USA,3,"Stade Louis II, Monaco (MON)",21 JUL 2017,1242
44,45,1:55.62,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1f1,Zürich (SUI),04 AUG 1993,1242
45,46,1:55.68,Ella KOVÁCS,11 DEC 1964,ROU,1,Bucureşti (ROU),02 JUN 1985,1241
46,46,1:55.68,Caster SEMENYA,07 JAN 1991,RSA,1,"Olympiastadion, Berlin (GER)",03 SEP 2016,1241
47,48,1:55.69,Irina PODYALOVSKAYA,19 OCT 1959,URS,1,Kiev (URS),22 JUN 1984,1241
48,48,1:55.69,Pamela JELIMO,05 DEC 1989,KEN,1,"Stadio Olimpico, Roma (ITA)",11 JUL 2008,1241
49,50,1:55.70,Sigrun WODARS,07 NOV 1965,GDR,2,"Estadio Olímpico, Barcelona (ESP)",09 SEP 1989,1240
50,50,1:55.70,Caster SEMENYA,07 JAN 1991,RSA,1,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1240
51,52,1:55.72,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,"Stade Louis II, Monaco (MON)",09 SEP 1995,1240
52,53,1:55.74,Anita WEIß,16 JUL 1955,GDR,4,"Olympic Stadium, Montréal (CAN)",26 JUL 1976,1240
53,54,1:55.76,Pamela JELIMO,05 DEC 1989,KEN,1,"FBK Stadium, Hengelo (NED)",24 MAY 2008,1239
54,55,1:55.77,Keely HODGKINSON,03 MAR 2002,GBR,1,"Stade Charléty, Paris (FRA)",09 JUN 2023,1239
55,56,1:55.78,Ana Fidelia QUIROT,23 MAR 1963,CUB,1,Stuttgart (GER),13 JUL 1997,1239
56,57,1:55.80,Tatyana PROVIDOKHINA,26 MAR 1953,URS,1,"Stadion Evžena Rošického, Praha (TCH)",31 AUG 1978,1239
57,58,1:55.82,Nadezhda OLIZARENKO,28 NOV 1953,URS,2,"Stadion Evžena Rošického, Praha (TCH)",31 AUG 1978,1238
58,59,1:55.84,Ana Fidelia QUIROT,23 MAR 1963,CUB,4,"Stadio Olimpico, Roma (ITA)",31 AUG 1987,1238
