"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
53,54,4:18:50,Valentyna MYRONCHUK,10 AUG 1994,UKR,1.0,Ivano-Frankivsk (UKR),20 OCT 2018,1130
54,55,4:18:53,Yelena GINKO,30 JUL 1976,BLR,1.0,Scanzorosciate (ITA),20 OCT 2008,1129
55,56,4:18:56,Ainhoa PINEDO,17 FEB 1983,ESP,2.0,Burjassot (ESP),25 FEB 2018,1129
56,57,4:19:04,Magaly BONILLA,08 FEB 1992,ECU,11.0,Taicang (CHN),05 MAY 2018,1128
57,58,4:19:13,Yelena GINKO,30 JUL 1976,BLR,1.0,Scanzorosciate (ITA),27 OCT 2002,1127
58,59,4:19:34,Rui LIANG,18 JUN 1994,CHN,7.0,Huangshan (CHN),09 MAR 2019,1125
59,60,4:19:37,Kristina LYUBUSHKINA,19 SEP 1995,RUS,2.0,Cheboksary (RUS),29 MAY 2021,1125
60,61,4:19:43,Magaly BONILLA,08 FEB 1992,ECU,1.0,Sucúa (ECU),10 MAR 2018,1125
61,62,4:19:56,Masumi FUCHISE,02 SEP 1986,JPN,1.0,Wajima (JPN),14 APR 2019,1123
62,63,4:19:57,Khrystyna YUDKINA,04 DEC 1984,UKR,8.0,Alytus (LTU),19 MAY 2019,1123
63,64,4:20:17,Ivana RENIĆ,21 AUG 1996,CRO,2.0,Dudince (SVK),23 MAR 2019,1121
64,65,4:20:36,Erika Jazmine MORALES,12 OCT 1986,MEX,1.0,"Hauppauge, NY (USA)",21 OCT 2018,1120
65,66,4:20:46,Khrystyna YUDKINA,04 DEC 1984,UKR,3.0,"Olympiastadion, Berlin (GER)",07 AUG 2018,1119
66,67,4:20:49,Shuqing YANG,30 AUG 1996,CHN,3.0,"Olympic Stadium, London (GBR)",13 AUG 2017,1118
67,68,4:21:07,Ainhoa PINEDO,17 FEB 1983,ESP,9.0,Alytus (LTU),19 MAY 2019,1117
68,69,4:21:51,Katie BURNETT,07 OCT 1988,USA,4.0,"Olympic Stadium, London (GBR)",13 AUG 2017,1112
69,70,4:22:15,Khrystyna YUDKINA,04 DEC 1984,UKR,12.0,Taicang (CHN),05 MAY 2018,1110
70,71,4:22:20,Monica SVENSSON,26 DEC 1978,SWE,2.0,Scanzorosciate (ITA),20 OCT 2008,1110
71,72,4:22:22,Hang YIN,07 FEB 1997,CHN,1.0,Huangshan (CHN),05 MAR 2017,1110
72,73,4:22:23,Nadezhda MOKEYEVA,10 JAN 1996,RUS,3.0,Cheboksary (RUS),15 JUN 2019,1109
73,74,4:22:24,Kristina LYUBUSHKINA,19 SEP 1995,RUS,4.0,Voronovo (RUS),05 SEP 2020,1109
74,75,4:22:36,Aleksandra BUSHKOVA,13 JAN 1997,RUS,2.0,Cheboksary (RUS),09 JUN 2018,1108
75,76,4:22:46,Viviane LYRA,29 JUL 1993,BRA,4.0,Lima (PER),11 AUG 2019,1107
76,77,4:22:47,Meijiao CHI,28 JUN 1996,CHN,8.0,Huangshan (CHN),09 MAR 2019,1107
77,78,4:22:57,Evelyn INGA,16 APR 1998,PER,1.0,Lázaro Cárdenas (MEX),21 APR 2019,1106
78,79,4:23:26,Rui LIANG,18 JUN 1994,CHN,1.0,"Corniche, Doha (QAT)",28 SEP 2019,1104
79,80,4:24:08,Vasylyna VІTOVSHCHYK,30 APR 1990,UKR,13.0,Taicang (CHN),05 MAY 2018,1100
80,81,4:24:35,Mar JUÁREZ,27 SEP 1993,ESP,10.0,Alytus (LTU),19 MAY 2019,1097
81,82,4:24:49,Johana ORDÓŇEZ,12 DEC 1987,ECU,2.0,Lázaro Cárdenas (MEX),21 APR 2019,1096
82,83,4:24:59,Mária KATERINKA CZAKOVÁ,02 OCT 1988,SVK,4.0,"Olympiastadion, Berlin (GER)",07 AUG 2018,1095
83,84,4:25:04,Tiantian BAI,14 AUG 1998,CHN,1.0,Leshan (CHN),07 SEP 2019,1094
84,85,4:25:22,Brigita VIRBALYTĖ-DIMSIENĖ,01 FEB 1985,LTU,1.0,Villa di Serio (ITA),17 OCT 2010,1093
85,86,4:25:32,Aleksandra BUSHKOVA,13 JAN 1997,RUS,5.0,Voronovo (RUS),05 SEP 2020,1092
86,87,4:26:10,Mariavittoria BECCHETTI,12 DEC 1994,ITA,11.0,Alytus (LTU),19 MAY 2019,1088
87,88,4:26:36,Katie BURNETT,07 OCT 1988,USA,1.0,"Santee, CA (USA)",28 JAN 2017,1086
88,89,4:26:40,Maocuo LI,20 OCT 1992,CHN,2.0,"Corniche, Doha (QAT)",28 SEP 2019,1085
89,90,4:26:42,Yumin CHEN,28 FEB 1997,CHN,9.0,Huangshan (CHN),09 MAR 2019,1085
90,91,4:27:03,Ainhoa PINEDO,17 FEB 1983,ESP,5.0,"Olympiastadion, Berlin (GER)",07 AUG 2018,1083
91,92,4:27:13,Olga SHARGINA,24 JUL 1996,RUS,3.0,Cheboksary (RUS),09 JUN 2018,1082
92,93,4:27:14,Mara RIBEIRO,11 MAY 1995,POR,12.0,Alytus (LTU),19 MAY 2019,1082
93,94,4:27:24,Shuqing YANG,30 AUG 1996,CHN,2.0,Huangshan (CHN),05 MAR 2017,1081
94,95,4:27:38,Nicole COLOMBI,29 DEC 1995,ITA,1.0,Gioiosa Marea (ITA),27 JAN 2019,1080
95,96,4:27:50,Hang YIN,07 FEB 1997,CHN,2.0,Leshan (CHN),07 SEP 2019,1079
96,97,4:27:51,Yuki YOSHIZUMI,07 JAN 1996,JPN,1.0,Takahata (JPN),27 OCT 2019,1079
97,98,4:28:13,Evangelia XYNOU,22 NOV 1981,GRE,2.0,Scanzorosciate (ITA),17 OCT 2004,1077
98,99,4:28:30,Mayra PÉREZ,20 DEC 1988,GUA,14.0,Taicang (CHN),05 MAY 2018,1075
99,100,4:28:49,Alina TSVILII,18 SEP 1994,UKR,15.0,Taicang (CHN),05 MAY 2018,1073
0,101,4:28:52,Claire TALLENT,06 JUL 1981,AUS,1.0,Melbourne (AUS),02 DEC 2018,1073
1,101,4:28:52,Kristina LYUBUSHKINA,19 SEP 1995,RUS,4.0,Cheboksary (RUS),15 JUN 2019,1073
2,103,4:28:53,Neringa AIDIETYTĖ,05 JUN 1983,LTU,1.0,Ivano-Frankivsk (UKR),01 OCT 2006,1073
3,104,4:28:58,Johana ORDÓŇEZ,12 DEC 1987,ECU,2.0,Sucúa (ECU),10 MAR 2018,1073
4,104,4:28:58,Mar JUÁREZ,27 SEP 1993,ESP,6.0,"Olympiastadion, Berlin (GER)",07 AUG 2018,1073
5,106,4:29:13,Eleonora Anna GIORGI,14 SEP 1989,ITA,3.0,"Corniche, Doha (QAT)",28 SEP 2019,1071
6,107,4:29:15,Angeliki MAKRI,25 SEP 1978,GRE,13.0,Alytus (LTU),19 MAY 2019,1071
7,108,4:29:25,Tiia KUIKKA,30 NOV 1994,FIN,14.0,Alytus (LTU),19 MAY 2019,1070
8,109,4:29:33,Erin TAYLOR TALCOTT,21 MAY 1978,USA,2.0,"Santee, CA (USA)",28 JAN 2017,1069
9,109,4:29:33,Elianay PEREIRA,11 MAY 1984,BRA,5.0,Lima (PER),11 AUG 2019,1069
10,111,4:29:37,Anastasiya KALASHNIKOVA,29 JUN 1997,RUS,3.0,Cheboksary (RUS),29 MAY 2021,1069
11,112,4:29:45,Serena SONODA,10 SEP 1996,JPN,1.0,Takahata (JPN),28 OCT 2018,1068
12,113,4:29:56,Natalia BRUNIKO,23 FEB 1973,ITA,2.0,Scanzorosciate (ITA),27 OCT 2002,1067
13,114,4:30:02,Ainhoa PINEDO,17 FEB 1983,ESP,16.0,Taicang (CHN),05 MAY 2018,1067
14,115,4:30:09,Kristina IVANOVA,14 APR 1998,RUS,5.0,Cheboksary (RUS),15 JUN 2019,1066
15,116,4:30:17,Federica CURIAZZI,14 AUG 1992,ITA,15.0,Alytus (LTU),19 MAY 2019,1065
16,117,4:30:30,Mar JUÁREZ,27 SEP 1993,ESP,17.0,Taicang (CHN),05 MAY 2018,1064
17,118,4:30:38,Aleksandra BUSHKOVA,13 JAN 1997,RUS,6.0,Cheboksary (RUS),15 JUN 2019,1063
18,119,4:30:43,Dušica TOPIĆ,11 JAN 1982,SRB,7.0,"Olympiastadion, Berlin (GER)",07 AUG 2018,1063
19,120,4:30:52,Mayra PÉREZ,20 DEC 1988,GUA,6.0,Lima (PER),11 AUG 2019,1062
20,121,4:30:59,Jolanta DUKURE,20 SEP 1979,LAT,2.0,Scanzorosciate (ITA),18 OCT 2009,1061
21,122,4:31:19,Agnieszka ELLWARD,26 MAR 1989,POL,16.0,Alytus (LTU),19 MAY 2019,1060
22,123,4:31:33,Jocy CABALLERO,02 FEB 1993,PER,7.0,Lima (PER),11 AUG 2019,1058
23,124,4:31:41,Mariavittoria BECCHETTI,12 DEC 1994,ITA,8.0,"Olympiastadion, Berlin (GER)",07 AUG 2018,1058
24,125,4:31:48,Yafei ZHAO,10 JUL 1997,CHN,10.0,Huangshan (CHN),09 MAR 2019,1057
25,126,4:31:52,Serena SONODA,10 SEP 1996,JPN,1.0,Wajima (JPN),15 APR 2018,1057
26,127,4:32:11,Irina MUSIKHINA,07 JUN 1988,RUS,6.0,Voronovo (RUS),05 SEP 2020,1055
27,128,4:32:14,Shanshan JIANG,28 FEB 1997,CHN,3.0,Huangshan (CHN),05 MAR 2017,1055
28,128,4:32:14,Khrystyna YUDKINA,04 DEC 1984,UKR,1.0,Ivano-Frankivsk (UKR),15 OCT 2017,1055
29,130,4:32:30,Khrystyna YUDKINA,04 DEC 1984,UKR,1.0,Ivano-Frankivsk (UKR),18 OCT 2020,1053
30,131,4:32:35,Lyudmyla SHELEST,04 OCT 1974,UKR,3.0,Scanzorosciate (ITA),18 OCT 2009,1053
31,132,4:32:43,Tiia KUIKKA,30 NOV 1994,FIN,18.0,Taicang (CHN),05 MAY 2018,1052
32,133,4:32:47,Agnieszka ELLWARD,26 MAR 1989,POL,2.0,Dudince (SVK),24 MAR 2018,1052
33,133,4:32:47,Tiantian BAI,14 AUG 1998,CHN,2.0,Chifeng (CHN),03 JUL 2018,1052
34,135,4:32:53,Erika Jazmine MORALES,12 OCT 1986,MEX,1.0,Monterrey (MEX),25 FEB 2018,1051
35,136,4:32:58,Meijiao CHI,28 JUN 1996,CHN,3.0,Leshan (CHN),07 SEP 2019,1051
36,137,4:33:22,Erin TAYLOR TALCOTT,21 MAY 1978,USA,1.0,"Santee, CA (USA)",22 JAN 2012,1048
37,138,4:33:38,Olena SOBCHUK,23 NOV 1995,UKR,4.0,"Corniche, Doha (QAT)",28 SEP 2019,1047
38,139,4:33:42,Evangelia XYNOU,22 NOV 1981,GRE,2.0,Scanzorosciate (ITA),21 OCT 2007,1047
39,140,4:33:45,Lyudmyla SHELEST,04 OCT 1974,UKR,3.0,Scanzorosciate (ITA),17 OCT 2004,1046
40,141,4:33:52,Magaly BONILLA,08 FEB 1992,ECU,3.0,Lázaro Cárdenas (MEX),21 APR 2019,1046
41,142,4:34:01,Kang ZHOU,24 DEC 1989,CHN,1.0,Huangshan (CHN),06 MAR 2016,1045
42,143,4:34:16,Qiuye LI,02 DEC 1993,CHN,3.0,Chifeng (CHN),03 JUL 2018,1043
43,144,4:34:24,Robyn STEVENS,24 APR 1983,USA,1.0,"Santee, CA (USA)",26 JAN 2019,1043
44,145,4:34:45,Kristina KUDINOVA,25 OCT 1998,RUS,7.0,Voronovo (RUS),05 SEP 2020,1041
45,146,4:34:49,Kseniya RADKO,18 AUG 1994,UKR,2.0,Ivano-Frankivsk (UKR),15 OCT 2017,1040
46,147,4:34:55,Viviane LYRA,29 JUL 1993,BRA,4.0,Lázaro Cárdenas (MEX),21 APR 2019,1040
47,148,4:34:56,Faying MA,30 AUG 1993,CHN,5.0,"Corniche, Doha (QAT)",28 SEP 2019,1040
48,149,4:35:14,Nadzeya DARAZHUK,23 JAN 1990,BLR,9.0,"Olympiastadion, Berlin (GER)",07 AUG 2018,1038
49,150,4:35:35,Jocy CABALLERO,02 FEB 1993,PER,5.0,Lázaro Cárdenas (MEX),21 APR 2019,1036
50,151,4:35:39,Ivana RENIĆ,21 AUG 1996,CRO,10.0,"Olympiastadion, Berlin (GER)",07 AUG 2018,1036
51,152,4:35:51,Annalisa POTENZA,10 FEB 1981,ITA,4.0,Scanzorosciate (ITA),18 OCT 2009,1035
52,153,4:35:56,Tiia KUIKKA,30 NOV 1994,FIN,11.0,"Olympiastadion, Berlin (GER)",07 AUG 2018,1034
53,154,4:36:00,Khrystyna YUDKINA,04 DEC 1984,UKR,6.0,"Corniche, Doha (QAT)",28 SEP 2019,1034
54,155,4:36:05,Lyudmyla SHELEST,04 OCT 1974,UKR,17.0,Alytus (LTU),19 MAY 2019,1034
55,156,4:36:36,Evelyn INGA,16 APR 1998,PER,8.0,Lima (PER),11 AUG 2019,1031
56,157,4:36:40,Lixue WANG,15 DEC 1996,CHN,4.0,Huangshan (CHN),05 MAR 2017,1030
57,158,4:37:03,Magaly BONILLA,08 FEB 1992,ECU,7.0,"Corniche, Doha (QAT)",28 SEP 2019,1028
58,159,4:37:05,Viviane LYRA,29 JUL 1993,BRA,1.0,Bragança Paulista (BRA),17 FEB 2019,1028
59,160,4:37:26,Leilei LI,18 AUG 1989,CHN,11.0,Huangshan (CHN),09 MAR 2019,1026
60,161,4:37:33,Robyn STEVENS,24 APR 1983,USA,1.0,"Santee, CA (USA)",25 JAN 2020,1026
61,162,4:37:40,Martina GABRIELLI,15 FEB 1986,ITA,2.0,Scanzorosciate (ITA),15 OCT 2006,1025
62,163,4:37:43,Maria LARIOS LÓPEZ,29 OCT 1992,ESP,19.0,Taicang (CHN),05 MAY 2018,1025
63,163,4:37:43,Lyudmyla SHELEST,04 OCT 1974,UKR,20.0,Taicang (CHN),05 MAY 2018,1025
64,165,4:37:54,Elina CHEBOTARYOVA,05 FEB 1998,RUS,7.0,Cheboksary (RUS),15 JUN 2019,1024
65,166,4:37:55,Vasylyna VІTOVSHCHYK,30 APR 1990,UKR,3.0,Ivano-Frankivsk (UKR),15 OCT 2017,1024
66,167,4:38:11,Erin TAYLOR TALCOTT,21 MAY 1978,USA,1.0,"Santee, CA (USA)",14 DEC 2014,1022
67,168,4:38:20,Júlia TAKÁCS,29 JUN 1989,ESP,8.0,"Corniche, Doha (QAT)",28 SEP 2019,1021
68,169,4:38:23,Kseniya RADKO,18 AUG 1994,UKR,21.0,Taicang (CHN),05 MAY 2018,1021
69,170,4:38:26,Lixue WANG,15 DEC 1996,CHN,1.0,Zhengzhou (CHN),22 MAY 2017,1021
70,171,4:38:36,Tamara HAVRYLYUK,14 DEC 1995,UKR,2.0,Ivano-Frankivsk (UKR),18 OCT 2020,1020
71,172,4:38:44,Agnieszka ELLWARD,26 MAR 1989,POL,1.0,Dudince (SVK),24 OCT 2020,1019
72,173,4:38:48,Dan WANG,11 JAN 1995,CHN,5.0,Huangshan (CHN),05 MAR 2017,1019
73,173,4:38:48,Nair DA ROSA,22 MAR 1980,BRA,3.0,Sucúa (ECU),10 MAR 2018,1019
74,175,4:38:54,Paola PÉREZ,21 DEC 1989,ECU,9.0,"Corniche, Doha (QAT)",28 SEP 2019,1018
75,176,4:38:56,Dan WANG,11 JAN 1995,CHN,2.0,Huangshan (CHN),06 MAR 2016,1018
76,176,4:38:56,Shuqing YANG,30 AUG 1996,CHN,1.0,Xi'an (CHN),18 JUN 2017,1018
77,178,4:39:01,Nami KUMAGAI,09 JUL 1996,JPN,2.0,Wajima (JPN),15 APR 2018,1018
78,179,4:39:07,Serena SONODA,10 SEP 1996,JPN,2.0,Takahata (JPN),27 OCT 2019,1017
79,180,4:39:09,Kseniya RADKO,18 AUG 1994,UKR,1.0,Ivano-Frankivsk (UKR),16 OCT 2016,1017
80,181,4:39:10,Aleksandra OVSYANNIKOVA,16 JUN 1993,RUS,8.0,Voronovo (RUS),05 SEP 2020,1017
81,182,4:39:28,Nair DA ROSA,22 MAR 1980,BRA,1.0,Lima (PER),14 MAY 2017,1015
82,182,4:39:28,Mar JUÁREZ,27 SEP 1993,ESP,10.0,"Corniche, Doha (QAT)",28 SEP 2019,1015
83,184,4:39:42,Katie BURNETT,07 OCT 1988,USA,2.0,"Santee, CA (USA)",14 DEC 2014,1014
84,185,4:39:50,Han XIAO,12 NOV 1998,CHN,4.0,Leshan (CHN),07 SEP 2019,1013
85,186,4:40:00,Aleksandra OVSYANNIKOVA,16 JUN 1993,RUS,4.0,Cheboksary (RUS),09 JUN 2018,1012
86,187,4:40:02,Caihong TANG,29 APR 1996,CHN,2.0,Zhengzhou (CHN),22 MAY 2017,1012
87,187,4:40:02,Anastasiya RODZKINA,29 AUG 1994,BLR,18.0,Alytus (LTU),19 MAY 2019,1012
88,189,4:40:03,Mayra PÉREZ,20 DEC 1988,GUA,2.0,Ciudad de Guatemala (GUA),24 FEB 2019,1012
89,190,4:40:05,Andrea KOVÁCS,21 JUL 1980,HUN,19.0,Alytus (LTU),19 MAY 2019,1012
90,191,4:40:15,Mariavittoria BECCHETTI,12 DEC 1994,ITA,22.0,Taicang (CHN),05 MAY 2018,1011
91,192,4:40:24,Agnieszka ELLWARD,26 MAR 1989,POL,3.0,Dudince (SVK),23 MAR 2019,1010
92,193,4:40:39,Nami KUMAGAI,09 JUL 1996,JPN,2.0,Takahata (JPN),28 OCT 2018,1009
93,194,4:40:40,Natsumi KURAHARA,1997,JPN,3.0,Takahata (JPN),27 OCT 2019,1009
94,195,4:40:45,Ainhoa PINEDO,17 FEB 1983,ESP,2.0,Torrevieja (ESP),16 FEB 2020,1008
95,196,4:41:02,Paulina BUZIAK-SMIATACZ,16 DEC 1986,POL,4.0,Dudince (SVK),23 MAR 2019,1007
96,196,4:41:02,Masumi FUCHISE,02 SEP 1986,JPN,11.0,"Corniche, Doha (QAT)",28 SEP 2019,1007
97,198,4:41:03,Lyudmyla SHELEST,04 OCT 1974,UKR,1.0,Scanzorosciate (ITA),16 OCT 2005,1007
98,198,4:41:03,Beatrice FORESTI,29 OCT 1998,ITA,20.0,Alytus (LTU),19 MAY 2019,1007
99,200,4:41:07,Viviane LYRA,29 JUL 1993,BRA,1.0,Lima (PER),07 MAR 2020,1006
0,201,4:41:09,Aleksandra OVSYANNIKOVA,16 JUN 1993,RUS,8.0,Cheboksary (RUS),15 JUN 2019,1006
1,202,4:41:12,Stephanie CASEY,01 AUG 1983,USA,6.0,Lázaro Cárdenas (MEX),21 APR 2019,1006
2,203,4:41:16,Antonina LOREK,11 FEB 1995,POL,2.0,Dudince (SVK),24 OCT 2020,1006
3,204,4:41:32,Agnese PASTARE,27 OCT 1988,LAT,3.0,Scanzorosciate (ITA),20 OCT 2008,1004
4,205,4:41:39,Viviane LYRA,29 JUL 1993,BRA,1.0,Bragança Paulista (BRA),15 SEP 2018,1003
5,206,4:41:44,Nikolítsa ANDREOPOÚLOU,26 MAR 1983,GRE,3.0,Dudince (SVK),24 MAR 2018,1003
6,207,4:41:55,Dušica TOPIĆ,11 JAN 1982,SRB,4.0,Ivano-Frankivsk (UKR),15 OCT 2017,1002
7,208,4:41:57,Kora BOUFFLERT,23 APR 1966,FRA,,Ay-Champagne (FRA),17 SEP 1995,1002
8,208,4:41:57,Agnieszka ELLWARD,26 MAR 1989,POL,1.0,Gleina (GER),14 OCT 2017,1002
9,210,4:42:15,Erin TAYLOR TALCOTT,21 MAY 1978,USA,1.0,Timaru (NZL),13 NOV 2016,1000
10,211,4:42:17,Meijiao CHI,28 JUN 1996,CHN,3.0,Xi'an (CHN),08 SEP 2018,1000
11,212,4:42:27,Qiuye LI,02 DEC 1993,CHN,2.0,Xi'an (CHN),18 JUN 2017,999
12,213,4:42:34,Susan RANDALL,06 SEP 1974,USA,3.0,"Santee, CA (USA)",14 DEC 2014,999
13,214,4:42:37,Jocy CABALLERO,02 FEB 1993,PER,4.0,Sucúa (ECU),10 MAR 2018,998
14,215,4:42:52,Qiuye LI,02 DEC 1993,CHN,1.0,Changbaishan (CHN),21 JUL 2019,997
15,216,4:42:58,Bianca Maria DITTRICH,06 JUL 1993,GER,1.0,Aschersleben (GER),14 OCT 2018,996
16,217,4:43:01,Shuqing YANG,30 AUG 1996,CHN,3.0,Zhengzhou (CHN),22 MAY 2017,996
17,218,4:43:03,Yuki YOSHIZUMI,07 JAN 1996,JPN,3.0,Takahata (JPN),28 OCT 2018,996
18,218,4:43:03,Elianay PEREIRA,11 MAY 1984,BRA,,"Santee, CA (USA)",26 JAN 2019,996
19,220,4:43:13,Lixue WANG,15 DEC 1996,CHN,5.0,Leshan (CHN),07 SEP 2019,995
20,221,4:43:24,Anita LIEPIŅA,17 NOV 1967,LAT,3.0,Scanzorosciate (ITA),27 OCT 2002,994
21,222,4:43:26,Kaili XIA,16 MAR 1996,CHN,4.0,Xi'an (CHN),08 SEP 2018,994
22,223,4:43:36,Federica CURIAZZI,14 AUG 1992,ITA,5.0,Dudince (SVK),23 MAR 2019,993
23,224,4:43:46,Ines PASTORINO,20 OCT 1992,FRA,2.0,Aschersleben (GER),14 OCT 2018,992
24,225,4:43:48,Ioanna BEMOWSKA,27 JUN 1994,POL,4.0,Dudince (SVK),24 MAR 2018,992
25,225,4:43:48,Han XIAO,12 NOV 1998,CHN,4.0,Chifeng (CHN),03 JUL 2018,992
