,Rank,Mark,Competitor,DOB,Nat,Pos,Unnamed: 6,Venue,Date,Results Score
0,1,16:27.02,Nike/Bowerman Track Club,,USA,1,,"Jesuit High School Track, Portland, OR (USA)",31 JUL 2020,1260
1,2,16:33.58,Kenya,,KEN,1,,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1247
2,3,16:55.33,United States,,USA,2,,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1204
3,4,17:05.72,Kenya,,KEN,1,,Nairobi (KEN),26 APR 2014,1184
4,5,17:08.17,Kenya,,KEN,1,,Nairobi (KEN),04 APR 2014,1179
5,6,17:08.34,Tennessee,,INT,1,,"Philadelphia, PA (USA)",24 APR 2009,1178
6,7,17:08.65,Australia,,AUS,3,,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1178
7,8,17:09.75,Australia,,AUS,1,,London (GBR),25 JUN 2000,1176
8,9,17:11.35,Providence,,INT,1,,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1173
9,10,17:11.70,Oklahoma State,,INT,2,,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1172
10,11,17:11.80,Georgetown,,USA,2,,"Philadelphia, PA (USA)",24 APR 2009,1172
11,12,17:14.55,Washington,,USA,3,,"Philadelphia, PA (USA)",24 APR 2009,1166
12,13,17:14.91,Tennessee,,USA,1,,"Philadelphia, PA (USA)",23 APR 2010,1166
13,14,17:15.41,Villanova,,INT,2,,"Philadelphia, PA (USA)",23 APR 2010,1165
14,15,17:15.47,Michigan,,USA,1,,"Philadelphia, PA (USA)",26 APR 2013,1165
15,16,17:15.62,Michigan,,INT,1,,"Philadelphia, PA (USA)",27 APR 2007,1164
16,17,17:15.64,Washington,,INT,3,,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1164
17,18,17:16.50,Oregon,,INT,2,,"Philadelphia, PA (USA)",26 APR 2013,1163
18,19,17:16.52,Villanova,,USA,1,,"Philadelphia, PA (USA)",25 APR 2014,1163
19,20,17:16.74,Stanford,,USA,2,,"Philadelphia, PA (USA)",25 APR 2014,1162
20,21,17:17.57,Villanova,,USA,3,,"Philadelphia, PA (USA)",26 APR 2013,1161
21,22,17:18.10,Villanova,,INT,1,,"Philadelphia, PA (USA)",27 APR 1990,1159
22,23,17:18.63,Stanford,,USA,1,,"Philadelphia, PA (USA)",28 APR 2006,1158
23,24,17:19.09,BMC Ireland,,IRL,2,,London (GBR),25 JUN 2000,1158
24,25,17:19.44,Georgetown,,INT,4,,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1157
25,26,17:19.95,Notre Dame,,INT,5,,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1156
26,27,17:20.18,North Carolina,,INT,1,,"Philadelphia, PA (USA)",25 APR 2003,1155
27,28,17:20.87,Dartmouth College,,USA,3,,"Philadelphia, PA (USA)",25 APR 2014,1154
28,29,17:22.29,Villanova,,INT,4,,"Philadelphia, PA (USA)",24 APR 2009,1151
29,30,17:22.30,Providence College,,IRL,1,,"Philadelphia, PA (USA)",26 APR 1991,1151
30,31,17:22.57,St. Peterburg Region,,RUS,1,,"Yunost Stadium, Adler, Sochi (RUS)",07 SEP 2013,1151
31,32,17:22.58,Villanova,,INT,1,,"Philadelphia, PA (USA)",28 APR 1989,1151
32,33,17:22.72,Wisconsin,,USA,2,,"Philadelphia, PA (USA)",27 APR 1990,1151
33,34,17:22.82,Tennessee,,USA,3,,"Philadelphia, PA (USA)",27 APR 1990,1150
34,35,17:24.65,Bashkortostan Region,,RUS,1,,"Adler, Sochi (RUS)",06 SEP 2014,1147
35,36,17:25.19,Boston College,,INT,1,,"Philadelphia, PA (USA)",29 APR 2011,1146
36,37,17:25.27,Oregon,,INT,3,,"Philadelphia, PA (USA)",23 APR 2010,1146
37,38,17:25.65,Georgetown,,USA,2,,"Philadelphia, PA (USA)",29 APR 2011,1145
38,39,17:25.85,Villanova,,INT,1,,"Philadelphia, PA (USA)",28 APR 2017,1145
39,40,17:26.44,New Mexico,,INT,6,,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1143
40,41,17:26.78,Moskva Region,,RUS,2,,"Yunost Stadium, Adler, Sochi (RUS)",07 SEP 2013,1143
41,42,17:26.88,Stanford,,USA,1,,"Philadelphia, PA (USA)",23 APR 2004,1143
42,43,17:27.25,Wisconsin,,INT,7,,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1142
43,44,17:27.47,Stanford,,USA,2,,"Philadelphia, PA (USA)",28 APR 2017,1141
44,45,17:27.54,Stanford,,USA,1,,"Philadelphia, PA (USA)",24 APR 2015,1141
45,46,17:28.00,Villanova,,INT,2,,"Philadelphia, PA (USA)",28 APR 2006,1140
46,47,17:28.12,Villanova,,INT,3,,"Philadelphia, PA (USA)",29 APR 2011,1140
47,48,17:28.98,Michigan,,INT,1,,"Philadelphia, PA (USA)",24 APR 2008,1139
48,49,17:29.00,Oregon,,INT,1,,"Philadelphia, PA (USA)",27 APR 2012,1139
49,50,17:29.12,Tennessee,,INT,2,,"Philadelphia, PA (USA)",24 APR 2008,1138
50,51,17:29.32,Villanova,,INT,1,,"Philadelphia, PA (USA)",24 APR 1997,1138
51,52,17:29.88,Ireland,,IRL,1,,Grangemouth (GBR),17 AUG 2006,1137
52,53,17:29.98,Nike/Bowerman Track Club B,,USA,2,,"Jesuit High School Track, Portland, OR (USA)",31 JUL 2020,1137
53,54,17:30.10,Villanova,,INT,2,,"Philadelphia, PA (USA)",24 APR 1991,1136
54,55,17:30.22,North Carolina,,INT,2,,"Philadelphia, PA (USA)",24 APR 2015,1136
55,56,17:30.38,Villanova,,INT,1,,"Philadelphia, PA (USA)",28 APR 2000,1136
56,57,17:32.30,Villanova,,INT,2,,"Philadelphia, PA (USA)",25 APR 2003,1132
57,58,17:32.53,St. Peterburg Region,,RUS,2,,"Adler, Sochi (RUS)",06 SEP 2014,1132
58,59,17:33.64,Moskva Region,,RUS,1,,Sochi (RUS),17 SEP 2008,1130
59,60,17:33.67,North Carolina,,INT,1,,"Philadelphia, PA (USA)",26 APR 2002,1130
60,61,17:33.79,Villanova,,INT,1,,"Philadelphia, PA (USA)",28 APR 1995,1129
61,62,17:34.06,Providence College,,INT,2,,"Philadelphia, PA (USA)",23 APR 2004,1129
62,63,17:34.32,Virginia,,INT,8,,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1128
63,64,17:34.58,Scotland,,GBR,2,,Grangemouth (GBR),17 AUG 2006,1128
64,65,17:34.63,Arkansas,,INT,1,,"Philadelphia, PA (USA)",28 APR 2001,1128
65,66,17:35.25,New Mexico,,INT,4,,"Philadelphia, PA (USA)",25 APR 2014,1127
66,67,17:36.60,Colorado,,USA,1,,"Philadelphia, PA (USA)",26 APR 1996,1124
67,68,17:36.66,Stanford,,INT,2,,"Philadelphia, PA (USA)",26 APR 2002,1124
68,69,17:36.83,Georgetown,,USA,3,,"Philadelphia, PA (USA)",24 APR 2015,1124
69,70,17:37.11,Arkansas,,INT,2,,"Philadelphia, PA (USA)",28 APR 2000,1123
70,71,17:37.15,Wisconsin,,USA,1,,"Philadelphia, PA (USA)",23 APR 1999,1123
71,72,17:37.21,Colorado,,USA,2,,"Philadelphia, PA (USA)",24 APR 1997,1123
72,73,17:37.23,North Carolina,,INT,3,,"Philadelphia, PA (USA)",23 APR 2004,1123
73,74,17:37.27,Stanford,,INT,2,,"Philadelphia, PA (USA)",28 APR 2001,1123
74,75,17:37.36,Moskva Region,,RUS,1,,Sochi (RUS),12 SEP 2006,1123
75,76,17:37.51,Villanova,,INT,1,,"Philadelphia, PA (USA)",29 APR 1994,1122
76,77,17:38.16,Stanford,,USA,1,,"Philadelphia, PA (USA)",29 APR 2005,1121
77,78,17:38.30,Georgetown,,INT,4,,"Philadelphia, PA (USA)",23 APR 2004,1121
78,79,17:38.34,Stanford,,USA,2,,"Philadelphia, PA (USA)",26 APR 1996,1121
79,80,17:39.12,Providence College,,IRL,4,,"Philadelphia, PA (USA)",27 APR 1990,1119
80,81,17:39.23,Indiana,,USA,9,,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1119
81,82,17:39.25,Michigan State,,USA,10,,"Franklin Field, Philadelphia, PA (USA)",29 APR 2023,1119
82,83,17:39.26,Villanova,,INT,1,,"Philadelphia, PA (USA)",26 APR 2019,1119
83,84,17:39.43,Brigham Young University,,UND,2,,"Philadelphia, PA (USA)",23 APR 1999,1119
84,85,17:39.52,UC Irvine,,INT,3,,"Philadelphia, PA (USA)",26 APR 1991,1119
85,86,17:39.72,Wake Forest,,USA,3,,"Philadelphia, PA (USA)",23 APR 1999,1118
86,87,17:39.78,Oregon,,INT,3,,"Philadelphia, PA (USA)",28 APR 2017,1118
87,88,17:39.82,Indiana,,USA,4,,"Philadelphia, PA (USA)",28 APR 2017,1118
88,89,17:40.30,Wisconsin,,USA,1,,"Philadelphia, PA (USA)",24 APR 1998,1117
89,90,17:40.43,Michigan,,INT,2,,"Philadelphia, PA (USA)",29 APR 1994,1117
90,91,17:40.99,Georgetown,,USA,2,,"Philadelphia, PA (USA)",27 APR 2012,1116
91,92,17:41.0h,British Milers Club,,GBR,1,,Watford (GBR),30 APR 1997,1116
92,93,17:41.05,Arkansas,,INT,4,,"Philadelphia, PA (USA)",23 APR 1999,1116
93,93,17:41.05,Brigham Young University,,USA,2,,"Philadelphia, PA (USA)",27 APR 2007,1116
94,95,17:41.12,Villanova,,INT,3,,"Philadelphia, PA (USA)",27 APR 2012,1115
95,96,17:41.62,Georgetown,,INT,3,,"Philadelphia, PA (USA)",24 APR 1997,1115
96,97,17:41.74,Novosibirsk Region,,RUS,3,,"Yunost Stadium, Adler, Sochi (RUS)",07 SEP 2013,1114
97,98,17:42.13,Villanova,,INT,2,,"Philadelphia, PA (USA)",29 APR 2005,1114
98,99,17:42.40,Georgetown,,USA,3,,"Philadelphia, PA (USA)",26 APR 1996,1113
99,100,17:42.54,Reebok Enclave,,INT,1f1,,"Raleigh, NC (USA)",27 MAR 1998,1113
0,101,17:43.14,Stanford,,USA,4,,"Philadelphia, PA (USA)",24 APR 1997,1112
1,102,17:43.33,Villanova,,USA,1,,"Philadelphia, PA (USA)",24 APR 1992,1111
2,103,17:43.34,Kentucky,,USA,5,,"Philadelphia, PA (USA)",23 APR 2004,1111
3,104,17:43.39,Wisconsin,,INT,2,,"Philadelphia, PA (USA)",28 APR 1989,1111
4,104,17:43.39,G.S. Forestale,,ITA,1,,Rieti (ITA),03 SEP 1995,1111
5,106,17:44.29,Villanova,,INT,1,,"Philadelphia, PA (USA)",29 APR 2016,1109
6,107,17:44.52,Georgetown,,USA,3,,"Philadelphia, PA (USA)",27 APR 2007,1109
7,108,17:44.57,Michigan,,USA,1,,"Raleigh, NC (USA)",30 MAR 2013,1109
8,109,17:44.67,Oregon,,INT,2,,"Philadelphia, PA (USA)",29 APR 2016,1109
9,110,17:44.71,Moskva,,RUS,1,,Sochi (RUS),19 SEP 2010,1109
10,111,17:44.83,Friar Track Club,,INT,1,,"Raleigh, NC (USA)",26 MAR 2004,1108
11,112,17:44.95,Dartmouth College,,USA,4,,"Philadelphia, PA (USA)",27 APR 2012,1108
