"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,29:01.03,Letesenbet GIDEY,20 MAR 1998,ETH,1,"FBK Stadium, Hengelo (NED)",08 JUN 2021,1303
1,2,29:06.82,Sifan HASSAN,01 JAN 1993,NED,1,"FBK Stadium, Hengelo (NED)",06 JUN 2021,1297
2,3,29:17.45,Almaz AYANA,21 NOV 1991,ETH,1,"Estádio Olímpico, Rio de Janeiro (BRA)",12 AUG 2016,1287
3,4,29:29.73,Gudaf TSEGAY,23 JUN 1997,ETH,1,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",23 JUN 2023,1276
4,5,29:31.78,Junxia WANG,09 JAN 1973,CHN,1,Beijing (CHN),08 SEP 1993,1274
5,6,29:32.53,Vivian Jepkemoi CHERUIYOT,11 SEP 1983,KEN,2,"Estádio Olímpico, Rio de Janeiro (BRA)",12 AUG 2016,1273
6,7,29:36.67,Sifan HASSAN,01 JAN 1993,NED,1,"FBK Stadium, Hengelo (NED)",10 OCT 2020,1269
7,8,29:37.80,Sifan HASSAN,01 JAN 1993,NED,1,"FBK Stadium, Hengelo (NED)",03 JUN 2023,1268
8,9,29:39.42,Gudaf TSEGAY,23 JUN 1997,ETH,1,"Estádio José Vieira de Carvalho, Maia (POR)",08 MAY 2021,1267
9,10,29:42.56,Tirunesh DIBABA,01 OCT 1985,ETH,3,"Estádio Olímpico, Rio de Janeiro (BRA)",12 AUG 2016,1264
10,11,29:47.42,Grace Loibach NAWOWUNA,10 NOV 2003,KEN,2,"FBK Stadium, Hengelo (NED)",03 JUN 2023,1259
11,12,29:50.77,Kalkidan GEZAHEGNE,08 MAY 1991,BRN,2,"Estádio José Vieira de Carvalho, Maia (POR)",08 MAY 2021,1256
12,13,29:53.51,Alice Aprot NAWOWUNA,02 JAN 1994,KEN,4,"Estádio Olímpico, Rio de Janeiro (BRA)",12 AUG 2016,1254
13,14,29:53.80,Meselech MELKAMU,19 APR 1985,ETH,1,Utrecht (NED),14 JUN 2009,1253
14,15,29:54.66,Tirunesh DIBABA,01 OCT 1985,ETH,1,"National Stadium, Beijing (CHN)",15 AUG 2008,1252
15,16,29:55.32,Sifan HASSAN,01 JAN 1993,NED,1,"National Stadium, Tokyo (JPN)",07 AUG 2021,1252
16,17,29:56.18,Kalkidan GEZAHEGNE,08 MAY 1991,BRN,2,"National Stadium, Tokyo (JPN)",07 AUG 2021,1251
17,18,29:57.45,Ejgayehu TAYE,10 FEB 2000,ETH,2,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",23 JUN 2023,1250
18,19,29:59.03,Mizan ALEM,22 JAN 2002,ETH,1,"Parliament Hill Fields Athletics Track, London (GBR)",20 MAY 2023,1248
19,20,29:59.15,Lemlem HAILU,25 MAY 2001,ETH,3,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",23 JUN 2023,1248
20,21,29:59.20,Meseret DEFAR,19 NOV 1983,ETH,1,Birmingham (GBR),11 JUL 2009,1248
21,22,30:00.86,Eilish MCCOLGAN,25 NOV 1990,GBR,1,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",04 MAR 2023,1247
22,23,30:01.09,Paula RADCLIFFE,17 DEC 1973,GBR,1,"Olympiastadion, München (GER)",06 AUG 2002,1247
23,24,30:01.35,Mizan ALEM,22 JAN 2002,ETH,4,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",23 JUN 2023,1246
24,25,30:01.72,Letesenbet GIDEY,20 MAR 1998,ETH,3,"National Stadium, Tokyo (JPN)",07 AUG 2021,1246
25,26,30:03.82,Alicia MONSON,13 MAY 1998,USA,2,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",04 MAR 2023,1244
26,27,30:04.18,Berhane ADERE,23 NOV 1973,ETH,1,"Stade de France, Paris-St-Denis (FRA)",23 AUG 2003,1244
27,28,30:04.45,Tsigie GEBRESELAMA,30 SEP 2000,ETH,3,"FBK Stadium, Hengelo (NED)",03 JUN 2023,1243
28,29,30:06.01,Tsigie GEBRESELAMA,30 SEP 2000,ETH,2,"FBK Stadium, Hengelo (NED)",08 JUN 2021,1242
29,30,30:07.00,Almaz AYANA,21 NOV 1991,ETH,1,Hengelo (NED),29 JUN 2016,1241
30,31,30:07.15,Werknesh KIDANE,07 JAN 1981,ETH,2,"Stade de France, Paris-St-Denis (FRA)",23 AUG 2003,1241
31,32,30:07.20,Yingjie SUN,19 JAN 1979,CHN,3,"Stade de France, Paris-St-Denis (FRA)",23 AUG 2003,1241
32,33,30:07.78,Betsy SAINA,30 JUN 1988,KEN,5,"Estádio Olímpico, Rio de Janeiro (BRA)",12 AUG 2016,1240
33,34,30:08.06,Meseret DEFAR,19 NOV 1983,ETH,1,Sollentuna (SWE),27 JUN 2013,1240
34,35,30:09.94,Letesenbet GIDEY,20 MAR 1998,ETH,1,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1238
35,36,30:10.02,Hellen OBIRI,13 DEC 1989,KEN,2,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1238
36,37,30:10.07,Margaret Chelimo KIPKEMBOI,09 FEB 1993,KEN,3,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1238
37,38,30:10.56,Sifan HASSAN,01 JAN 1993,NED,4,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1238
38,39,30:11.53,Florence KIPLAGAT,27 FEB 1987,KEN,2,Utrecht (NED),14 JUN 2009,1237
39,40,30:11.87,Wude AYALEW,04 JUL 1987,ETH,3,Utrecht (NED),14 JUN 2009,1237
40,41,30:12.15,Rahel DANIEL,16 NOV 2001,ERI,5,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1236
41,42,30:12.45,Ejgayehu TAYE,10 FEB 2000,ETH,6,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1236
42,43,30:12.53,Lornah KIPLAGAT,01 MAY 1974,NED,4,"Stade de France, Paris-St-Denis (FRA)",23 AUG 2003,1236
43,44,30:13.17,Molly HUDDLE,31 AUG 1984,USA,6,"Estádio Olímpico, Rio de Janeiro (BRA)",12 AUG 2016,1235
44,45,30:13.37,Huandi ZHONG,28 JUN 1967,CHN,2,Beijing (CHN),08 SEP 1993,1235
45,46,30:13.74,Ingrid KRISTIANSEN,21 MAR 1956,NOR,1,Oslo (NOR),05 JUL 1986,1235
46,47,30:14.66,Elise CRANNY,09 MAY 1996,USA,1,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",06 MAR 2022,1234
47,48,30:15.67,Tirunesh DIBABA,01 OCT 1985,ETH,1,Sollentuna (SWE),28 JUN 2005,1233
48,49,30:16.32,Almaz AYANA,21 NOV 1991,ETH,1,"Olympic Stadium, London (GBR)",05 AUG 2017,1233
49,50,30:17.15,Paula RADCLIFFE,17 DEC 1973,GBR,1,Gateshead (GBR),27 JUN 2004,1232
50,51,30:17.49,Derartu TULU,21 MAR 1972,ETH,1,"Olympic Stadium, Sydney (AUS)",30 SEP 2000,1231
51,52,30:17.62,Sifan HASSAN,01 JAN 1993,NED,1,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1231
52,53,30:17.64,Caroline Chepkoech KIPKIRUI,26 MAY 1994,KAZ,7,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1231
53,54,30:17.77,Bosena MULATIE,21 NOV 2001,ETH,8,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1231
54,55,30:18.05,Karissa SCHWEIZER,04 MAY 1996,USA,9,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1231
55,56,30:18.39,Ejegayehu DIBABA,21 MAR 1982,ETH,2,Sollentuna (SWE),28 JUN 2005,1231
56,57,30:19.02,Eilish MCCOLGAN,25 NOV 1990,GBR,1,"FBK Stadium, Hengelo (NED)",06 JUN 2022,1230
57,58,30:19.29,Tsehay GEMECHU,12 DEC 1998,ETH,3,"FBK Stadium, Hengelo (NED)",08 JUN 2021,1230
58,59,30:19.39,Werknesh KIDANE,07 JAN 1981,ETH,1,"Palo Alto, CA (USA)",29 MAY 2005,1230
59,60,30:20.44,Hitomi NIIYA,26 FEB 1988,JPN,1,"Yanmar Stadium Nagai, Osaka (JPN)",04 DEC 2020,1229
60,61,30:20.75,Tirunesh DIBABA,01 OCT 1985,ETH,1,"Olympic Stadium, London (GBR)",03 AUG 2012,1228
61,62,30:20.77,Yalemzerf YEHUALAW,03 AUG 1999,ETH,4,"FBK Stadium, Hengelo (NED)",08 JUN 2021,1228
62,63,30:20.97,Pauline KAMULU,30 DEC 1994,KEN,1,"Athletic Track, Abashiri (JPN)",13 JUL 2022,1228
63,64,30:21.23,Letesenbet GIDEY,20 MAR 1998,ETH,2,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1228
64,65,30:21.67,Elvan ABEYLEGESSE,11 SEP 1982,TUR,1,Antalya (TUR),15 APR 2006,1228
65,66,30:22.22,Shalane FLANAGAN,08 JUL 1981,USA,2,"National Stadium, Beijing (CHN)",15 AUG 2008,1227
66,67,30:22.48,Gete WAMI,11 DEC 1974,ETH,2,"Olympic Stadium, Sydney (AUS)",30 SEP 2000,1227
67,68,30:22.88,Fernanda RIBEIRO,23 JUN 1969,POR,3,"Olympic Stadium, Sydney (AUS)",30 SEP 2000,1226
68,69,30:23.07,Alla ZHILYAYEVA,05 FEB 1969,RUS,5,"Stade de France, Paris-St-Denis (FRA)",23 AUG 2003,1226
69,70,30:23.25,Ingrid KRISTIANSEN,21 MAR 1956,NOR,1,"Neckarstadion, Stuttgart (GER)",30 AUG 1986,1226
70,71,30:23.69,Girmawit GEBRZIHAIR,21 NOV 2001,ETH,5,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",23 JUN 2023,1226
71,72,30:24.02,Tirunesh DIBABA,01 OCT 1985,ETH,1,"Olympiastadion, Helsinki (FIN)",06 AUG 2005,1225
72,73,30:24.27,Hellen OBIRI,13 DEC 1989,KEN,4,"National Stadium, Tokyo (JPN)",07 AUG 2021,1225
73,74,30:24.36,Huina XING,25 FEB 1984,CHN,1,"Olympic Stadium, Athina (GRE)",27 AUG 2004,1225
74,75,30:24.39,Tirunesh DIBABA,01 OCT 1985,ETH,1,"Hayward Field, Eugene, OR (USA)",01 JUN 2012,1225
75,76,30:24.56,Gete WAMI,11 DEC 1974,ETH,1,"La Cartuja, Sevilla (ESP)",26 AUG 1999,1225
76,77,30:24.85,Florence KIPLAGAT,27 FEB 1987,KEN,2,"Hayward Field, Eugene, OR (USA)",01 JUN 2012,1225
77,78,30:24.98,Ejegayehu DIBABA,21 MAR 1982,ETH,2,"Olympic Stadium, Athina (GRE)",27 AUG 2004,1225
78,79,30:25.20,Agnes Jebet TIROP,23 OCT 1995,KEN,3,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1224
79,80,30:25.41,Berhane ADERE,23 NOV 1973,ETH,2,"Olympiastadion, Helsinki (FIN)",06 AUG 2005,1224
80,81,30:26.00,Ejegayehu DIBABA,21 MAR 1982,ETH,3,"Olympiastadion, Helsinki (FIN)",06 AUG 2005,1224
81,82,30:26.20,Galina BOGOMOLOVA,15 OCT 1977,RUS,6,"Stade de France, Paris-St-Denis (FRA)",23 AUG 2003,1223
82,83,30:26.37,Sally KIPYEGO,19 DEC 1985,KEN,2,"Olympic Stadium, London (GBR)",03 AUG 2012,1223
83,84,30:26.40,Selah BUSIENEI,27 DEC 1991,KEN,4,"FBK Stadium, Hengelo (NED)",03 JUN 2023,1223
84,85,30:26.41,Yasemin CAN,11 DEC 1996,TUR,7,"Estádio Olímpico, Rio de Janeiro (BRA)",12 AUG 2016,1223
85,86,30:26.42,Derartu TULU,21 MAR 1972,ETH,3,"Olympic Stadium, Athina (GRE)",27 AUG 2004,1223
86,87,30:26.50,Linet Chepkwemoi MASAI,05 DEC 1989,KEN,3,"National Stadium, Beijing (CHN)",15 AUG 2008,1223
87,88,30:26.66,Gelete BURKA,23 JAN 1986,ETH,8,"Estádio Olímpico, Rio de Janeiro (BRA)",12 AUG 2016,1223
88,89,30:26.67,Tirunesh DIBABA,01 OCT 1985,ETH,1,"Mestský Stadion, Ostrava (CZE)",27 JUN 2013,1223
89,90,30:26.70,Belaynesh OLJIRA,26 JUN 1990,ETH,3,"Hayward Field, Eugene, OR (USA)",01 JUN 2012,1223
90,91,30:26.94,Alice Aprot NAWOWUNA,02 JAN 1994,KEN,1,Durban (RSA),25 JUN 2016,1223
91,92,30:26.97,Paula RADCLIFFE,17 DEC 1973,GBR,4,"Olympic Stadium, Sydney (AUS)",30 SEP 2000,1223
92,93,30:27.13,Paula RADCLIFFE,17 DEC 1973,GBR,2,"La Cartuja, Sevilla (ESP)",26 AUG 1999,1223
93,94,30:27.18,Huina XING,25 FEB 1984,CHN,4,"Olympiastadion, Helsinki (FIN)",06 AUG 2005,1223
94,95,30:27.94,Betty CHELANGAT,07 APR 2003,KEN,5,"FBK Stadium, Hengelo (NED)",03 JUN 2023,1222
95,96,30:28.26,Yingjie SUN,19 JAN 1979,CHN,1,Busan (KOR),08 OCT 2002,1222
96,97,30:28.30,Werknesh KIDANE,07 JAN 1981,ETH,4,"Olympic Stadium, Athina (GRE)",27 AUG 2004,1222
97,98,30:28.47,Gelete BURKA,23 JAN 1986,ETH,2,Hengelo (NED),29 JUN 2016,1221
98,99,30:28.53,Tirunesh DIBABA,01 OCT 1985,ETH,3,Hengelo (NED),29 JUN 2016,1221
99,100,30:29.23,Gladys CHERONO,12 MAY 1983,KEN,2,"Mestský Stadion, Ostrava (CZE)",27 JUN 2013,1221
0,101,30:29.36,Liliya SHOBUKHOVA,13 NOV 1977,RUS,1,Cheboksary (RUS),23 JUL 2009,1221
1,102,30:30.26,Edith MASAI,04 APR 1967,KEN,5,"Olympiastadion, Helsinki (FIN)",06 AUG 2005,1220
2,103,30:30.44,Vivian Jepkemoi CHERUIYOT,11 SEP 1983,KEN,3,"Olympic Stadium, London (GBR)",03 AUG 2012,1220
3,104,30:31.03,Mariya KONOVALOVA,14 AUG 1974,RUS,2,Cheboksary (RUS),23 JUL 2009,1219
4,105,30:31.42,Inga ABITOVA,06 MAR 1982,RUS,1,"Ullevi Stadium, Göteborg (SWE)",07 AUG 2006,1219
5,106,30:31.44,Belaynesh OLJIRA,26 JUN 1990,ETH,3,"Mestský Stadion, Ostrava (CZE)",27 JUN 2013,1219
6,107,30:31.55,Huina XING,25 FEB 1984,CHN,7,"Stade de France, Paris-St-Denis (FRA)",23 AUG 2003,1219
7,108,30:31.92,Lornah KIPLAGAT,01 MAY 1974,NED,5,"Olympic Stadium, Athina (GRE)",27 AUG 2004,1218
8,109,30:32.03,Tegla LOROUPE,09 MAY 1973,KEN,3,"La Cartuja, Sevilla (ESP)",26 AUG 1999,1218
9,110,30:32.36,Susanne WIGENE,12 FEB 1978,NOR,2,"Ullevi Stadium, Göteborg (SWE)",07 AUG 2006,1218
10,111,30:32.47,Werknesh KIDANE,07 JAN 1981,ETH,6,"Olympiastadion, Helsinki (FIN)",06 AUG 2005,1218
11,112,30:32.57,Yasemin CAN,11 DEC 1996,TUR,1,"Olympiastadion, München (GER)",15 AUG 2022,1218
12,113,30:32.72,Lidiya GRIGORYEVA,21 JAN 1974,RUS,3,"Ullevi Stadium, Göteborg (SWE)",07 AUG 2006,1217
13,114,30:33.53,Yingjie SUN,19 JAN 1979,CHN,7,"Olympiastadion, Helsinki (FIN)",06 AUG 2005,1217
14,115,30:33.75,Galina BOGOMOLOVA,15 OCT 1977,RUS,8,"Olympiastadion, Helsinki (FIN)",06 AUG 2005,1217
15,116,30:34.49,Shalane FLANAGAN,08 JUL 1981,USA,1f1,"Palo Alto, CA (USA)",04 MAY 2008,1216
16,117,30:34.60,Eilish MCCOLGAN,25 NOV 1990,GBR,10,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1216
17,118,30:35.54,Kimberley SMITH,19 NOV 1981,NZL,2f1,"Palo Alto, CA (USA)",04 MAY 2008,1215
18,119,30:35.75,Rosemary WANJIRU,09 DEC 1994,KEN,4,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1215
19,120,30:35.82,Hellen OBIRI,13 DEC 1989,KEN,5,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1215
20,121,30:35.84,Mariya KONOVALOVA,14 AUG 1974,RUS,4,"National Stadium, Beijing (CHN)",15 AUG 2008,1215
21,122,30:35.90,Galina BOGOMOLOVA,15 OCT 1977,RUS,4,"Ullevi Stadium, Göteborg (SWE)",07 AUG 2006,1215
22,123,30:35.91,Ababel YESHANEH,22 JUL 1991,ETH,4,"Mestský Stadion, Ostrava (CZE)",27 JUN 2013,1215
23,124,30:35.93,Jess JUDD,07 JAN 1995,GBR,11,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1215
24,125,30:36.75,Netsanet GUDETA,12 FEB 1991,ETH,4,Hengelo (NED),29 JUN 2016,1214
25,126,30:37.24,Irine Jepchumba KIMAIS,10 OCT 1998,KEN,2,"FBK Stadium, Hengelo (NED)",06 JUN 2021,1213
26,127,30:37.26,Tegla LOROUPE,09 MAY 1973,KEN,5,"Olympic Stadium, Sydney (AUS)",30 SEP 2000,1213
27,127,30:37.26,Lornah KIPLAGAT,01 MAY 1974,NED,5,"Ullevi Stadium, Göteborg (SWE)",07 AUG 2006,1213
28,129,30:37.31,Daisy CHEROTICH,30 MAY 1997,KEN,3,"FBK Stadium, Hengelo (NED)",06 JUN 2021,1213
29,130,30:37.38,Genet YALEW,31 DEC 1992,ETH,5,Hengelo (NED),29 JUN 2016,1213
30,131,30:37.68,Benita WILLIS-JOHNSON,06 MAY 1979,AUS,8,"Stade de France, Paris-St-Denis (FRA)",23 AUG 2003,1213
31,132,30:37.89,Letesenbet GIDEY,20 MAR 1998,ETH,1,Hengelo (NED),17 JUL 2019,1213
32,133,30:38.09,Yanmei DONG,16 FEB 1977,CHN,1,Shanghai (CHN),19 OCT 1997,1213
33,134,30:38.18,Rosemary WANJIRU,09 DEC 1994,KEN,1,"Athletic Track, Abashiri (JPN)",15 JUL 2020,1213
34,135,30:38.33,Mestawat TUFA,14 SEP 1983,ETH,1,Nijmegen (NED),25 JUN 2008,1212
35,136,30:38.35,Sally KIPYEGO,19 DEC 1985,KEN,1f1,"Palo Alto, CA (USA)",01 MAY 2011,1212
36,137,30:38.78,Jeļena PROKOPČUKA,21 SEP 1976,LAT,6,"Ullevi Stadium, Göteborg (SWE)",07 AUG 2006,1212
37,138,30:39.38,Werknesh KIDANE,07 JAN 1981,ETH,4,"Olympic Stadium, London (GBR)",03 AUG 2012,1211
38,139,30:39.41,Lixin LAN,14 FEB 1979,CHN,2,Shanghai (CHN),19 OCT 1997,1211
39,140,30:39.57,Shalane FLANAGAN,08 JUL 1981,USA,2f1,"Palo Alto, CA (USA)",01 MAY 2011,1211
40,141,30:39.60,Bosena MULATIE,21 NOV 2001,ETH,6,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",23 JUN 2023,1211
41,142,30:39.71,Ririka HIRONAKA,24 NOV 2000,JPN,12,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1211
42,143,30:39.96,Lucy Kabuu WANGUI,24 MAR 1984,KEN,5,"National Stadium, Beijing (CHN)",15 AUG 2008,1211
43,144,30:39.98,Lili YIN,11 NOV 1979,CHN,3,Shanghai (CHN),19 OCT 1997,1211
44,145,30:40.27,Lornah KIPLAGAT,01 MAY 1974,NED,6,"National Stadium, Beijing (CHN)",15 AUG 2008,1211
45,146,30:40.59,Senbere TEFERI,03 MAY 1995,ETH,6,Hengelo (NED),29 JUN 2016,1210
46,147,30:40.70,Paula RADCLIFFE,17 DEC 1973,GBR,1,Barakaldo (ESP),10 APR 1999,1210
47,148,30:40.85,Netsanet GUDETA,12 FEB 1991,ETH,2,Hengelo (NED),17 JUL 2019,1210
48,149,30:40.87,Gelete BURKA,23 JAN 1986,ETH,1,"FBK Stadium, Hengelo (NED)",10 JUN 2017,1210
49,150,30:41.05,Eilish MCCOLGAN,25 NOV 1990,GBR,2,"Olympiastadion, München (GER)",15 AUG 2022,1210
50,151,30:41.40,Werknesh KIDANE,07 JAN 1981,ETH,1,"Palo Alto, CA (USA)",07 JUN 2003,1210
