"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
56,57,42:57.92,Kerry SAXBY,02 JUN 1961,AUS,1,Sydney (AUS),07 JAN 1990,1158
57,58,42:58.1h,Madelein SVENSSON,20 JUL 1969,SWE,1,Örnsköldsvik (SWE),04 JUL 1992,1158
58,58,42:58.1h,Sari ESSAYAH,21 FEB 1967,FIN,1,Brunflo (SWE),04 JUL 1993,1158
59,60,42:59.48,Yelena LASHMANOVA,09 APR 1992,RUS,1,Tallinn (EST),21 JUL 2011,1157
60,61,43:01.0h,Wang YAN,02 MAY 1971,CHN,1,Shenzhen (CHN),21 FEB 1993,1156
61,62,43:01.6h,Anne-Marie JUDKINS,01 MAR 1964,NZL,2,Örnsköldsvik (SWE),04 JUL 1992,1156
62,62,43:01.60,Mayumi KAWASAKI,10 MAY 1980,JPN,1,Niigata (JPN),25 SEP 2010,1156
63,64,43:02.04,María VASCO,26 DEC 1975,ESP,1,Valencia (ESP),21 JUL 2001,1156
64,65,43:02.4h,Ileana SALVADOR,16 JAN 1962,ITA,1,Santhià (ITA),18 APR 1992,1156
65,66,43:02.97,Jemima MONTAG,15 FEB 1998,AUS,1,"SOPAC, Sydney (AUS)",30 MAR 2022,1155
66,67,43:05.6h,Madelein SVENSSON,20 JUL 1969,SWE,2,Brunflo (SWE),04 JUL 1993,1154
67,68,43:05.7h,Jemima MONTAG,15 FEB 1998,AUS,1,"AIS Athletics Track, Canberra (AUS)",15 JAN 2022,1154
68,69,43:07.62,Mayumi KAWASAKI,10 MAY 1980,JPN,1,Niigata (JPN),05 OCT 2009,1152
69,70,43:08.0h,Ileana SALVADOR,16 JAN 1962,ITA,1,Torino (ITA),04 APR 1993,1152
70,71,43:08.17,Ana CABECINHA,29 APR 1984,POR,1,Seixal (POR),19 JUL 2008,1152
71,72,43:08.4h,Nadezhda RYASHKINA,22 JAN 1967,URS,1,Fana (NOR),28 APR 1989,1152
72,73,43:08.91,Elvira CHEPAREVA,10 JAN 2000,ANA,2,"Olympic Stadium, Cheboksary (RUS)",02 AUG 2022,1152
73,74,43:09.40,Yiaoling FAN,14 MAY 1971,CHN,7,Jinan (CHN),15 MAR 1992,1151
74,75,43:10.4h,Qinghua ZHANG,06 MAR 1973,CHN,8,Jinan (CHN),15 MAR 1992,1151
75,76,43:10.95,Júlia TAKÁCS,29 JUN 1989,ESP,1,São Paulo (BRA),01 AUG 2014,1150
76,77,43:11.34,Vera SOKOLOVA,23 JUN 1987,RUS,1,Kaunas (LTU),24 JUL 2005,1150
77,78,43:11.40,Xiaolan ZHOU,01 JUL 1972,CHN,9,Jinan (CHN),15 MAR 1992,1150
78,79,43:13.5h,Tamara KOVALENKO,05 JUN 1964,URS,1,Bryansk (URS),09 SEP 1989,1149
79,80,43:14.45,Beatriz PASCUAL,09 MAY 1982,ESP,1,Santa Cruz de Tenerife (ESP),26 JUL 2008,1148
80,81,43:15.1h,Yan GU,17 MAR 1974,CHN,10,Jinan (CHN),15 MAR 1992,1148
81,82,43:15.43,Kumi OTOSHI,29 JUL 1985,JPN,1,Naruto (JPN),24 SEP 2011,1148
82,83,43:15.60,Bingjie JIN,03 JUN 1971,CHN,1,Anshan (CHN),04 SEP 1989,1148
83,84,43:16.76,Laura GARCÍA-CARO,16 APR 1995,ESP,1,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",24 JUN 2022,1147
84,85,43:18.00,Hong LI,01 JUN 1979,CHN,1,Nanjing (CHN),28 APR 1996,1146
85,86,43:18.72,Ana CABECINHA,29 APR 1984,POR,1,Vagos (POR),10 JUN 2017,1146
86,87,43:18.97,Beatriz PASCUAL,09 MAY 1982,ESP,1,Pamplona (ESP),25 AUG 2012,1146
87,88,43:18.99,Viktória MADARÁSZ,12 MAY 1985,HUN,1,Debrecen (HUN),05 SEP 2015,1146
88,89,43:19.12,Ana CABECINHA,29 APR 1984,POR,1,Leiria (POR),25 JUL 2015,1146
89,90,43:19.3h,Inês HENRIQUES,01 MAY 1980,POR,1,Leiria (POR),07 JUL 2018,1145
90,91,43:20.38,Valentina TRAPLETTI,12 JUL 1985,ITA,1f1,"Campo Sportivo Putti, Bergamo (ITA)",18 APR 2021,1145
91,92,43:20.65,Katie HAYWARD,23 JUL 2000,AUS,1,Sydney (AUS),05 APR 2019,1145
92,93,43:21.1h,Kjersti TYSSE-PLÄTZER,18 JAN 1972,NOR,1,Kristiansand (NOR),18 AUG 2000,1144
93,94,43:21.9h,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1,Canberra (AUS),03 DEC 1995,1144
94,94,43:21.90,Mayumi KAWASAKI,10 MAY 1980,JPN,1,Okayama (JPN),26 SEP 2009,1144
95,96,43:22.20,Sun YAN,04 MAY 1973,CHN,11,Jinan (CHN),15 MAR 1992,1144
96,97,43:22.86,Kimberly GARCÍA LEÓN,19 OCT 1993,PER,1,"Estadio Atlético de la VIDENA, Lima (PER)",13 NOV 2021,1143
97,98,43:24.00,Masumi FUCHISE,02 SEP 1986,JPN,2,Naruto (JPN),24 SEP 2011,1143
98,99,43:24.22,Kumi OTOSHI,29 JUL 1985,JPN,2,Niigata (JPN),25 SEP 2010,1142
99,100,43:24.72,Tatyana MINEYEVA,10 AUG 1990,RUS,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",09 JUL 2008,1142
0,101,43:26.12,Kerry SAXBY,02 JUN 1961,AUS,1.0,Canberra (AUS),26 JAN 1989,1141
1,102,43:26.18,María Graciela MENDOZA,23 MAR 1963,MEX,1.0,Hull (GBR),08 OCT 1989,1141
2,103,43:27.20,Anisiya KORNIKOVA-KIRDYAPKINA,23 OCT 1989,RUS,1.0,"FBK Stadium, Hengelo (NED)",19 JUL 2007,1141
3,104,43:27.53,Quanming WU,16 NOV 2001,CHN,1.0,"Campo Mauro Ferrari, Prato (ITA)",16 APR 2023,1140
4,105,43:27.6h,Elisabetta PERRONE,09 JUL 1968,ITA,1.0,Fana (NOR),07 MAY 1994,1140
5,106,43:29.3h,Kerry SAXBY,02 JUN 1961,AUS,1.0,Melbourne (AUS),26 OCT 1989,1139
6,107,43:29.51,Ana CABECINHA,29 APR 1984,POR,1.0,Leiria (POR),17 JUL 2010,1139
7,108,43:29.57,Ana CABECINHA,29 APR 1984,POR,1.0,Maia (POR),25 JUN 2016,1139
8,109,43:30.15,Hong LIU,12 MAY 1987,CHN,1.0,Mondovi (ITA),12 JUN 2011,1139
9,110,43:30.20,Olga KARDOPOLTSEVA,11 SEP 1966,BLR,2.0,"Olympic Stadium, Athina (GRE)",07 AUG 1997,1139
10,111,43:30.22,Encarna GRANADOS,30 JAN 1972,ESP,1.0,Barcelona (ESP),02 SEP 2000,1139
11,112,43:31.21,Ana CABECINHA,29 APR 1984,POR,1.0,San Fernando (ESP),04 JUN 2010,1138
12,112,43:31.21,Raquel GONZÁLEZ,16 NOV 1989,ESP,2.0,Alcobendas (ESP),26 JUL 2014,1138
13,114,43:31.29,Inês HENRIQUES,01 MAY 1980,POR,1.0,Leiria (POR),27 JUL 2013,1138
14,115,43:32.05,Rimma MAKAROVA,18 JUL 1963,RUS,1.0,St. Petersburg (RUS),29 JUL 1995,1138
15,116,43:32.21,Elisa RIGAUDO,17 JUN 1980,ITA,2.0,Mondovi (ITA),12 JUN 2011,1138
16,117,43:33.72,Laura GARCÍA-CARO,16 APR 1995,ESP,1.0,La Nucia (ESP),21 MAY 2022,1137
17,118,43:33.75,María José POVES,16 MAR 1978,ESP,2.0,Alcobendas (ESP),27 JUL 2013,1137
18,119,43:34.93,María VASCO,26 DEC 1975,ESP,2.0,Santa Cruz de Tenerife (ESP),26 JUL 2008,1136
19,120,43:35.2h,Lyudmila YEFIMKINA,22 AUG 1981,RUS,1.0,Moskva (RUS),20 MAY 2000,1136
20,121,43:35.50,Júlia TAKÁCS,29 JUN 1989,ESP,2.0,San Fernando (ESP),04 JUN 2010,1136
21,122,43:35.74,Jemima MONTAG,15 FEB 1998,AUS,1.0,"AIS Athletics Track, Canberra (AUS)",06 JAN 2023,1136
22,123,43:36.41,Yelena NIKOLAYEVA,01 FEB 1966,URS,1.0,Kiev (URS),30 JUL 1988,1135
23,124,43:36.5h,Yelena NIKOLAYEVA,01 FEB 1966,URS,1.0,Fana (NOR),07 MAY 1988,1135
24,125,43:36.88,Klavdiya AFANASYEVA,15 JAN 1996,RUS,1.0,Eskilstuna (SWE),16 JUL 2015,1135
25,126,43:37.91,Ana CABECINHA,29 APR 1984,POR,1.0,Lisboa (POR),07 JUL 2012,1134
26,127,43:37.95,Raquel GONZÁLEZ,16 NOV 1989,ESP,1.0,Getafe (ESP),21 JUL 2018,1134
27,128,43:38.64,Inês HENRIQUES,01 MAY 1980,POR,2.0,Leiria (POR),17 JUL 2010,1134
28,129,43:38.83,. PRIYANKA,10 MAR 1996,IND,2.0,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1134
29,130,43:39.10,Lijuan XU,1972,CHN,12.0,Jinan (CHN),15 MAR 1992,1134
30,131,43:39.27,Alina YUSHCHANKA,29 JUL 1990,BLR,1.0,"RTSOP, Minsk (BLR)",29 JUL 2022,1133
31,132,43:39.42,Beatriz PASCUAL,09 MAY 1982,ESP,3.0,Alcobendas (ESP),27 JUL 2013,1133
32,133,43:40.45,Nadezhda SERGEYEVA,12 MAR 1994,ANA,3.0,"Olympic Stadium, Cheboksary (RUS)",02 AUG 2022,1133
33,134,43:40.68,Inês HENRIQUES,01 MAY 1980,POR,2.0,Leiria (POR),25 JUL 2015,1133
34,135,43:41.0h,Yelena LASHMANOVA,09 APR 1992,RUS,2.0,Sochi (RUS),27 FEB 2011,1132
35,136,43:41.1h,Yevdokiya KOROTKOVA,28 FEB 1979,RUS,1.0,Buy (RUS),21 SEP 2008,1132
36,137,43:41.30,Erica SENA,03 MAY 1985,BRA,2.0,São Paulo (BRA),01 AUG 2014,1132
37,138,43:41.50,Kimberly GARCÍA LEÓN,19 OCT 1993,PER,2.0,La Nucia (ESP),21 MAY 2022,1132
38,139,43:41.51,Lorena ARENAS,17 SEP 1993,COL,1.0,Canberra (AUS),28 JAN 2019,1132
39,140,43:41.70,Claudia IOVAN,25 FEB 1978,ROU,1.0,Bucureşti (ROU),24 MAY 1997,1132
40,141,43:42.04,María PÉREZ,29 APR 1996,ESP,1.0,"Polideportivo Juan de la Cierva, Getafe (ESP)",26 JUN 2021,1132
41,142,43:42.80,Se JUAN,,CHN,13.0,Jinan (CHN),15 MAR 1992,1131
42,143,43:42.84,Klavdiya AFANASYEVA,15 JAN 1996,RUS,4.0,"Olympic Stadium, Cheboksary (RUS)",02 AUG 2022,1131
43,144,43:44.96,Elisa RIGAUDO,17 JUN 1980,ITA,1.0,Milano (ITA),26 JUL 2013,1130
44,145,43:45.16,Elmira ALEMBEKOVA,30 JUN 1990,RUS,2.0,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",09 JUL 2008,1130
45,146,43:45.2h,Tatyana KOROTKOVA,24 APR 1980,RUS,2.0,Buy (RUS),21 SEP 2008,1130
46,146,43:45.2h,Jemima MONTAG,15 FEB 1998,AUS,1.0,"George Knott Track, Collingwood, Melbourne (AUS)",10 JAN 2021,1130
47,148,43:46.01,Jemima MONTAG,15 FEB 1998,AUS,1.0,"AIS Athletics Track, Canberra (AUS)",02 FEB 2023,1129
48,149,43:46.05,Katie HAYWARD,23 JUL 2000,AUS,1.0,"SOPAC, Sydney (AUS)",15 APR 2021,1129
49,150,43:46.06,Inês HENRIQUES,01 MAY 1980,POR,2.0,Vagos (POR),10 JUN 2017,1129
50,151,43:46.50,Olena SOBCHUK,23 NOV 1995,UKR,1.0,"Avangard Stadium, Lutsk (UKR)",25 JUN 2022,1129
51,152,43:46.70,Liying TANG,1963,CHN,1.0,Jinan (CHN),15 FEB 1992,1129
52,153,43:47.84,Ana CABECINHA,29 APR 1984,POR,1.0,Lisboa (POR),26 JUL 2014,1128
53,154,43:48.08,Beki SMITH,25 NOV 1986,AUS,1.0,"SOPAC, Sydney (AUS)",01 APR 2016,1128
54,155,43:48.8h,Alina YUSHCHANKA,29 JUL 1990,BLR,1.0,"RTSOP, Minsk (BLR)",31 MAY 2022,1128
55,156,43:49.24,Valentina TSYBULSKAYA,19 FEB 1968,BLR,3.0,"Olympic Stadium, Athina (GRE)",07 AUG 1997,1128
56,157,43:49.70,Larisa RAMAZANOVA-KHMELNITSKAYA,23 SEP 1971,BLR,1.0,Gomel (BLR),23 JUN 1998,1127
57,158,43:50.25,Laura GARCÍA-CARO,16 APR 1995,ESP,2.0,Getafe (ESP),21 JUL 2018,1127
58,159,43:50.84,Jemima MONTAG,15 FEB 1998,AUS,1.0,Townsville (AUS),25 JUN 2019,1127
59,160,43:50.86,Emily Wamusyi NGII,13 AUG 1986,KEN,3.0,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1127
60,161,43:51.0h,Svetlana TOLSTAYA,09 AUG 1971,KAZ,1.0,Almaty (KAZ),17 SEP 1997,1126
61,162,43:51.47,Jemima MONTAG,15 FEB 1998,AUS,2.0,Sydney (AUS),05 APR 2019,1126
62,163,43:51.8h,Ana CABECINHA,29 APR 1984,POR,2.0,Leiria (POR),07 JUL 2018,1126
63,164,43:51.97,Yelena NIKOLAYEVA,01 FEB 1966,RUS,1.0,"Uniondale, NY (USA)",21 JUL 1998,1126
64,165,43:51.98,Antigoni NTRISMPIOTI,21 MAR 1984,GRE,2.0,"AIS Athletics Track, Canberra (AUS)",06 JAN 2023,1126
65,166,43:52.08,María PÉREZ,29 APR 1996,ESP,1.0,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",01 SEP 2019,1126
66,167,43:52.1h,Yueling CHEN,01 APR 1968,CHN,1.0,Zhengzhou (CHN),25 OCT 1987,1126
67,168,43:52.39,Rossella GIORDANO,01 DEC 1972,ITA,1.0,Rieti (ITA),29 MAR 2009,1126
68,169,43:52.70,Ping ZHU,,CHN,15.0,Jinan (CHN),15 MAR 1992,1125
69,170,43:52.73,Vera SANTOS,03 DEC 1981,POR,3.0,Leiria (POR),17 JUL 2010,1125
70,171,43:52.80,Inês HENRIQUES,01 MAY 1980,POR,1.0,Vagos (POR),15 MAR 2016,1125
71,172,43:53.04,Ana CABECINHA,29 APR 1984,POR,1.0,"Estádio Dr. Magalhães Pessoa, Leiria (POR)",25 JUN 2022,1125
72,173,43:53.45,Antigoni NTRISMPIOTI,21 MAR 1984,GRE,2.0,"AIS Athletics Track, Canberra (AUS)",02 FEB 2023,1125
73,174,43:53.51,Mayumi KAWASAKI,10 MAY 1980,JPN,1.0,Oita (JPN),06 OCT 2008,1125
74,175,43:53.65,Ana CABECINHA,29 APR 1984,POR,2.0,Leiria (POR),27 JUL 2013,1125
75,176,43:54.05,Ana CABECINHA,29 APR 1984,POR,1.0,"Estádio José Vieira de Carvalho, Maia (POR)",26 JUN 2021,1125
76,177,43:55.05,Kumiko OKADA,17 OCT 1991,JPN,1.0,Gifu (JPN),26 SEP 2015,1124
77,178,43:55.22,Kumiko OKADA,17 OCT 1991,JPN,1.0,Osaka (JPN),22 SEP 2018,1124
78,179,43:55.51,Ana CABECINHA,29 APR 1984,POR,1.0,Vila Real de Santo António (POR),11 JAN 2015,1124
79,180,43:55.70,Júlia TAKÁCS,29 JUN 1989,ESP,3.0,Gijón (ESP),23 JUL 2016,1124
80,181,43:56.80,Chen YAN,30 JAN 1974,CHN,16.0,Jinan (CHN),15 MAR 1992,1123
81,182,43:56.86,Hongyu LIU,11 JAN 1975,CHN,4.0,"Olympic Stadium, Athina (GRE)",07 AUG 1997,1123
82,183,43:56.95,Eleonora Anna GIORGI,14 SEP 1989,ITA,1.0,Trieste (ITA),30 JUN 2017,1123
83,184,43:57.13,Beatriz PASCUAL,09 MAY 1982,ESP,3.0,Alcobendas (ESP),26 JUL 2014,1123
84,185,43:57.44,Kimberly GARCÍA LEÓN,19 OCT 1993,PER,3.0,São Paulo (BRA),01 AUG 2014,1123
85,186,43:58.10,Xiong YAN,01 APR 1967,CHN,2.0,Xiangtan (CHN),28 FEB 1989,1122
86,187,43:58.94,Tatyana RAGOZINA,03 SEP 1964,UKR,,Kyiv (UKR),02 APR 1992,1122
87,188,43:59.08,Inês HENRIQUES,01 MAY 1980,POR,1.0,Lisboa (POR),30 JUL 2011,1122
88,189,43:59.46,Jemima MONTAG,15 FEB 1998,AUS,2.0,Canberra (AUS),28 JAN 2019,1121
89,190,43:59.73,Erica ALFRIDI,22 FEB 1968,ITA,5.0,"Olympic Stadium, Athina (GRE)",07 AUG 1997,1121
90,190,43:59.73,Inês HENRIQUES,01 MAY 1980,POR,1.0,Seixal (POR),25 JUL 2009,1121
