"",Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
0,1,41:37.9h,Hongmiao GAO,17 MAR 1974,CHN,1,Beijing (CHN),07 APR 1994,1207
1,2,41:42.5h,Lyudmila OLYANOVSKA,20 FEB 1993,UKR,1,Mukachevo (UKR),01 NOV 2014,1204
2,3,41:45.84,Elvira KHASANOVA,10 JAN 2000,RUS,1,Cheboksary (RUS),03 AUG 2019,1202
3,4,41:56.23,Nadezhda RYASHKINA,22 JAN 1967,URS,1,"Seattle, WA (USA)",24 JUL 1990,1196
4,5,41:57.22,Kerry SAXBY,02 JUN 1961,AUS,2,"Seattle, WA (USA)",24 JUL 1990,1195
5,6,41:57.29,Antonella PALMISANO,06 AUG 1991,ITA,1,Orvieto (ITA),23 APR 2017,1195
6,7,42:02.99,Lorena ARENAS,17 SEP 1993,COL,1,Trujillo (PER),25 AUG 2018,1192
7,8,42:11.5h,Beate ANDERS,04 FEB 1968,GER,1,Fana (NOR),15 MAY 1992,1186
8,9,42:13.7h,Madelein SVENSSON,20 JUL 1969,SWE,2,Fana (NOR),15 MAY 1992,1185
9,10,42:14.12,Raquel GONZÁLEZ,16 NOV 1989,ESP,1,Gijón (ESP),23 JUL 2016,1185
10,11,42:22.6h,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1,Fana (NOR),08 MAY 1993,1180
11,12,42:23.37,Júlia TAKÁCS,29 JUN 1989,ESP,1,Alcobendas (ESP),26 JUL 2014,1179
12,13,42:23.7h,Ileana SALVADOR,16 JAN 1962,ITA,2,Fana (NOR),08 MAY 1993,1179
13,14,42:23.9h,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,3,Fana (NOR),15 MAY 1992,1179
14,15,42:25.2h,Kerry SAXBY,02 JUN 1961,AUS,1,Bergen (NOR),26 MAY 1990,1178
15,16,42:26.29,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1,Sydney (AUS),10 JAN 1993,1177
16,17,42:27.5h,Kerry SAXBY-JUNNA,02 JUN 1961,AUS,1,Fana (NOR),25 MAY 1995,1177
17,18,42:29.06,Elisa RIGAUDO,17 JUN 1980,ITA,1,Mondovi (ITA),01 MAY 2013,1176
18,19,42:29.4h,Beate ANDERS,04 FEB 1968,GDR,2,Bergen (NOR),26 MAY 1990,1176
19,20,42:30.13,Hongmiao GAO,17 MAR 1974,CHN,1,Nanjing (CHN),24 OCT 1995,1175
20,21,42:30.31,Olimpiada IVANOVA,29 AUG 1970,RUS,1,St. Petersburg (RUS),26 JUL 1994,1175
21,22,42:32.74,Júlia TAKÁCS,29 JUN 1989,ESP,1,Alcobendas (ESP),27 JUL 2013,1174
22,23,42:34.30,Jemima MONTAG,15 FEB 1998,AUS,1,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1173
23,24,42:35.2h,Jemima MONTAG,15 FEB 1998,AUS,1,"George Knott Track, Collingwood, Melbourne (AUS)",31 JAN 2021,1172
24,25,42:35.69,Beatriz PASCUAL,09 MAY 1982,ESP,2,Gijón (ESP),23 JUL 2016,1172
25,26,42:37.0h,Sari ESSAYAH,21 FEB 1967,FIN,3,Fana (NOR),08 MAY 1993,1171
26,27,42:38.24,Hongyu LIU,11 JAN 1975,CHN,2,Nanjing (CHN),24 OCT 1995,1170
27,28,42:39.2h,Ileana SALVADOR,16 JAN 1962,ITA,1,Roma (ITA),17 JUN 1989,1170
28,28,42:39.2h,Jemima MONTAG,15 FEB 1998,AUS,1,"AIS Athletics Track, Canberra (AUS)",22 JAN 2022,1170
29,30,42:40.33,Beatriz PASCUAL,09 MAY 1982,ESP,1,Avilés (ESP),17 JUL 2010,1169
30,31,42:40.37,Haixia FENG,23 FEB 1975,CHN,3,Nanjing (CHN),24 OCT 1995,1169
31,32,42:40.9h,Antonella PALMISANO,06 AUG 1991,ITA,1,Roma (ITA),28 APR 2019,1169
32,33,42:42.81,Reykhan KAGRAMANOVA,01 JUN 1997,RUS,1,"Olympic Stadium, Cheboksary (RUS)",02 AUG 2022,1167
33,34,42:43.0h,Svetlana VASILYEVA,24 JUL 1992,RUS,1,Sochi (RUS),27 FEB 2011,1167
34,35,42:43.23,Yelena SAYKO,24 DEC 1967,RUS,2,St. Petersburg (RUS),26 JUL 1994,1167
35,36,42:45.0h,Elisabetta PERRONE,09 JUL 1968,ITA,1,Catania (ITA),30 MAY 1999,1166
36,37,42:45.4h,Sari ESSAYAH,21 FEB 1967,FIN,3,St. Petersburg (RUS),26 JUL 1994,1166
37,38,42:46.70,Yingzi CUI,26 JAN 1971,CHN,1,Jinan (CHN),15 MAR 1992,1165
38,38,42:46.70,Yueling CHEN,01 APR 1968,CHN,2,Jinan (CHN),15 MAR 1992,1165
39,40,42:47.25,Anežka DRAHOTOVÁ,22 JUL 1995,CZE,1,"Hayward Field, Eugene, OR (USA)",23 JUL 2014,1165
40,41,42:47.4h,Katarzyna RADTKE,31 AUG 1969,POL,4,Fana (NOR),08 MAY 1993,1165
41,42,42:47.6h,Chunxiu LI,13 AUG 1969,CHN,3,Jinan (CHN),15 MAR 1992,1165
42,43,42:48.51,Beate ANDERS,04 FEB 1968,GDR,3,"Seattle, WA (USA)",24 JUL 1990,1164
43,44,42:49.7h,Hongmiao GAO,17 MAR 1974,CHN,4,Jinan (CHN),15 MAR 1992,1163
44,45,42:50.00,Ping GUAN,01 FEB 1966,CHN,5,Jinan (CHN),15 MAR 1992,1163
45,46,42:51.82,Kumiko OKADA,17 OCT 1991,JPN,1,"Municipal Stadium, Sasebo (JPN)",08 DEC 2019,1162
46,47,42:53.90,Lihong TAN,13 FEB 1973,CHN,6,Jinan (CHN),15 MAR 1992,1161
47,48,42:54.16,Norica CÎMPEAN,22 MAR 1972,ROU,1,Bucureşti (ROU),14 JUN 1996,1161
48,49,42:55.35,Elisa RIGAUDO,17 JUN 1980,ITA,,Rieti (ITA),13 JUN 2015,1160
49,50,42:55.38,Yingzi CUI,26 JAN 1971,CHN,1,Tangshan (CHN),27 SEP 1991,1160
50,51,42:55.49,Annarita SIDOTI,25 JUL 1969,ITA,1,"Olympic Stadium, Athina (GRE)",07 AUG 1997,1160
51,52,42:55.85,Despina ZAPOUNIDOU,05 OCT 1985,GRE,1,Drama (GRE),23 APR 2016,1160
52,53,42:56.09,Hongmiao GAO,17 MAR 1974,CHN,2,Tangshan (CHN),27 SEP 1991,1159
53,54,42:56.74,Viktória MADARÁSZ,12 MAY 1985,HUN,1,Budapest (HUN),03 SEP 2017,1159
54,55,42:56.9h,Rossella GIORDANO,01 DEC 1972,ITA,1,Castelnovo Monti (ITA),31 MAR 1996,1159
55,56,42:56.97,Kimberly GARCÍA LEÓN,19 OCT 1993,PER,2,Trujillo (PER),25 AUG 2018,1159
